"Date","WPU027A0106"
2011-12-01,100
2012-01-01,99.6
2012-02-01,93.9
2012-03-01,93.1
2012-04-01,93.5
2012-05-01,96.3
2012-06-01,100.4
2012-07-01,101.5
2012-08-01,103.3
2012-09-01,103.4
2012-10-01,101.4
2012-11-01,101.7
2012-12-01,102
2013-01-01,101.7
2013-02-01,101.3
2013-03-01,100.5
2013-04-01,100.3
2013-05-01,102.2
2013-06-01,103.1
2013-07-01,103.7
2013-08-01,102.8
2013-09-01,102
2013-10-01,101.3
2013-11-01,101.7
2013-12-01,102.6
2014-01-01,102.8
2014-02-01,102.6
2014-03-01,103.1
2014-04-01,103.2
2014-05-01,103
2014-06-01,103.1
2014-07-01,100.7
2014-08-01,99.8
2014-09-01,100.6
2014-10-01,100
2014-11-01,105
2014-12-01,104.5
2015-01-01,104.5
2015-02-01,104.5
2015-03-01,104.3
2015-04-01,104.4
2015-05-01,103.7
2015-06-01,103.8
2015-07-01,104.2
2015-08-01,104.2
2015-09-01,103.8
2015-10-01,103.4
2015-11-01,103.4
2015-12-01,103.3
2016-01-01,103.3
2016-02-01,103.1
2016-03-01,103.1
2016-04-01,102.5
2016-05-01,102.8
2016-06-01,103
2016-07-01,103
2016-08-01,102.9
2016-09-01,103.3
2016-10-01,103.3
2016-11-01,102.8
2016-12-01,102.9
2017-01-01,103.2
2017-02-01,102.9
2017-03-01,102.8
2017-04-01,102.6
2017-05-01,102.5
2017-06-01,102.6
2017-07-01,102.5
2017-08-01,102.5
2017-09-01,102.4
2017-10-01,102.4
2017-11-01,102.3
2017-12-01,102.3
2018-01-01,102.2
2018-02-01,102.5
2018-03-01,102.4
2018-04-01,102.3
2018-05-01,102.6
2018-06-01,102.5
2018-07-01,102.6
2018-08-01,102.1
2018-09-01,101.8
2018-10-01,102.1
2018-11-01,102.5
2018-12-01,102.2
2019-01-01,102.3
2019-02-01,102.1
2019-03-01,102.7
2019-04-01,102.4
2019-05-01,102.2
2019-06-01,99.2
2019-07-01,99.5
2019-08-01,99.5
2019-09-01,99.7
2019-10-01,99.6
2019-11-01,99.7
2019-12-01,99.8
2020-01-01,99.8
2020-02-01,NA
2020-03-01,NA
2020-04-01,94.3
2020-05-01,93.1
2020-06-01,92.5
2020-07-01,93.8
2020-08-01,98.1
2020-09-01,98.7
2020-10-01,109.9
2020-11-01,110.2
2020-12-01,114.5
2021-01-01,120.2
2021-02-01,125.8
2021-03-01,133
2021-04-01,149.9
2021-05-01,159.2
2021-06-01,176.4
2021-07-01,181.098
2021-08-01,174.99
2021-09-01,174.919
2021-10-01,171.176
2021-11-01,182.903
2021-12-01,190.471
2022-01-01,192.786
2022-02-01,192.66
2022-03-01,195.973
2022-04-01,201.678
2022-05-01,200.535
2022-06-01,200.768
2022-07-01,201.376
2022-08-01,197.995
2022-09-01,197.016
2022-10-01,198.486
2022-11-01,195.452
2022-12-01,196.057
2023-01-01,195.078
2023-02-01,195.929
2023-03-01,196.102
2023-04-01,197.115
2023-05-01,195.138
2023-06-01,191.435
2023-07-01,190.581
2023-08-01,192.156
2023-09-01,192.885
2023-10-01,192.93
2023-11-01,192.993
