"Date","CES5552300001"
1990-01-01,490.2
1990-02-01,492.1
1990-03-01,488.9
1990-04-01,488.7
1990-05-01,488.6
1990-06-01,489
1990-07-01,489.1
1990-08-01,488.4
1990-09-01,489.5
1990-10-01,488.5
1990-11-01,486
1990-12-01,485.8
1991-01-01,485.8
1991-02-01,484.6
1991-03-01,485.7
1991-04-01,485
1991-05-01,484.8
1991-06-01,485.3
1991-07-01,486
1991-08-01,486
1991-09-01,487.4
1991-10-01,488.7
1991-11-01,491.2
1991-12-01,492.2
1992-01-01,493.5
1992-02-01,497.7
1992-03-01,500
1992-04-01,502.8
1992-05-01,505.8
1992-06-01,507.3
1992-07-01,509.6
1992-08-01,512.4
1992-09-01,514.1
1992-10-01,515.5
1992-11-01,517
1992-12-01,519.8
1993-01-01,521
1993-02-01,523.2
1993-03-01,525.8
1993-04-01,529.8
1993-05-01,532.6
1993-06-01,536.9
1993-07-01,541.2
1993-08-01,546.7
1993-09-01,551.9
1993-10-01,557.6
1993-11-01,562.9
1993-12-01,567.3
1994-01-01,571.9
1994-02-01,576.2
1994-03-01,581.7
1994-04-01,585.4
1994-05-01,587.6
1994-06-01,591.8
1994-07-01,593.8
1994-08-01,594.5
1994-09-01,594.6
1994-10-01,593.6
1994-11-01,595.7
1994-12-01,596.6
1995-01-01,596.2
1995-02-01,596.6
1995-03-01,596.2
1995-04-01,594.8
1995-05-01,595
1995-06-01,594.7
1995-07-01,594
1995-08-01,595.8
1995-09-01,599
1995-10-01,600
1995-11-01,602.1
1995-12-01,604.5
1996-01-01,607.7
1996-02-01,610.1
1996-03-01,612.9
1996-04-01,616.1
1996-05-01,620.3
1996-06-01,624
1996-07-01,627.4
1996-08-01,632.9
1996-09-01,634.2
1996-10-01,636.7
1996-11-01,640.6
1996-12-01,645.6
1997-01-01,650.3
1997-02-01,656.3
1997-03-01,660
1997-04-01,664.6
1997-05-01,667.7
1997-06-01,669
1997-07-01,675.1
1997-08-01,679.6
1997-09-01,683.8
1997-10-01,690.6
1997-11-01,696.1
1997-12-01,700.3
1998-01-01,706.4
1998-02-01,711.4
1998-03-01,716.4
1998-04-01,721.5
1998-05-01,727.1
1998-06-01,733.5
1998-07-01,740
1998-08-01,744
1998-09-01,749
1998-10-01,754.4
1998-11-01,752.8
1998-12-01,755.1
1999-01-01,758.2
1999-02-01,758.1
1999-03-01,761.2
1999-04-01,767
1999-05-01,772.6
1999-06-01,777.9
1999-07-01,786
1999-08-01,790.3
1999-09-01,792.5
1999-10-01,799.9
1999-11-01,807.9
1999-12-01,812.8
2000-01-01,817
2000-02-01,823.5
2000-03-01,829.4
2000-04-01,834.5
2000-05-01,840.7
2000-06-01,846.9
2000-07-01,852.5
2000-08-01,859.9
2000-09-01,870.1
2000-10-01,874.8
2000-11-01,879.5
2000-12-01,884.1
2001-01-01,884.8
2001-02-01,887.8
2001-03-01,891.8
2001-04-01,887.8
2001-05-01,885.5
2001-06-01,884.2
2001-07-01,872.9
2001-08-01,882.1
2001-09-01,875.8
2001-10-01,869.3
2001-11-01,870.3
2001-12-01,858.5
2002-01-01,854.5
2002-02-01,850.8
2002-03-01,848.1
2002-04-01,849.6
2002-05-01,845.6
2002-06-01,841.7
2002-07-01,834.4
2002-08-01,829.9
2002-09-01,827.3
2002-10-01,822.3
2002-11-01,819
2002-12-01,816.5
2003-01-01,816.3
2003-02-01,812.5
2003-03-01,808
2003-04-01,806.1
2003-05-01,803.2
2003-06-01,801.5
2003-07-01,800.9
2003-08-01,798.8
2003-09-01,799.5
2003-10-01,798.3
2003-11-01,800.2
2003-12-01,802.4
2004-01-01,802.6
2004-02-01,804.8
2004-03-01,804.5
2004-04-01,805.6
2004-05-01,808.4
2004-06-01,812.4
2004-07-01,815.6
2004-08-01,817
2004-09-01,818.1
2004-10-01,820.6
2004-11-01,820.3
2004-12-01,826.3
2005-01-01,828.7
2005-02-01,830.1
2005-03-01,831.4
2005-04-01,829.3
2005-05-01,829.1
2005-06-01,828.7
2005-07-01,830.4
2005-08-01,834.2
2005-09-01,836.2
2005-10-01,841.8
2005-11-01,844.3
2005-12-01,846.8
2006-01-01,849.9
2006-02-01,854.7
2006-03-01,858.5
2006-04-01,863.7
2006-05-01,865.4
2006-06-01,862.7
2006-07-01,868.8
2006-08-01,872.5
2006-09-01,877.3
2006-10-01,883.2
2006-11-01,884.3
2006-12-01,885
2007-01-01,887.5
2007-02-01,889.2
2007-03-01,891.1
2007-04-01,891.5
2007-05-01,896.8
2007-06-01,899.4
2007-07-01,901.2
2007-08-01,904.8
2007-09-01,908.2
2007-10-01,907.8
2007-11-01,909.4
2007-12-01,908.6
2008-01-01,911.3
2008-02-01,916.3
2008-03-01,919.9
2008-04-01,923.6
2008-05-01,921.1
2008-06-01,923.9
2008-07-01,918.6
2008-08-01,923.6
2008-09-01,914.3
2008-10-01,908.6
2008-11-01,907.5
2008-12-01,906.9
2009-01-01,894.2
2009-02-01,884.3
2009-03-01,877.3
2009-04-01,866.6
2009-05-01,862.2
2009-06-01,856.8
2009-07-01,850.9
2009-08-01,849.6
2009-09-01,850.4
2009-10-01,849.3
2009-11-01,849.4
2009-12-01,853.2
2010-01-01,849.7
2010-02-01,848.2
2010-03-01,845.9
2010-04-01,851.3
2010-05-01,851.1
2010-06-01,851.5
2010-07-01,850.8
2010-08-01,848.6
2010-09-01,854.9
2010-10-01,849.9
2010-11-01,849.8
2010-12-01,852
2011-01-01,854.4
2011-02-01,856.2
2011-03-01,857
2011-04-01,858.5
2011-05-01,858.6
2011-06-01,860.5
2011-07-01,861.7
2011-08-01,864
2011-09-01,863.5
2011-10-01,862.8
2011-11-01,862.9
2011-12-01,861.9
2012-01-01,861.6
2012-02-01,862.4
2012-03-01,863.2
2012-04-01,860.7
2012-05-01,860.5
2012-06-01,860.4
2012-07-01,859.1
2012-08-01,858.5
2012-09-01,856.3
2012-10-01,857.2
2012-11-01,856.1
2012-12-01,856.6
2013-01-01,858.2
2013-02-01,860.6
2013-03-01,861.3
2013-04-01,863.7
2013-05-01,865.3
2013-06-01,864.7
2013-07-01,867.1
2013-08-01,865.8
2013-09-01,866.7
2013-10-01,868.2
2013-11-01,868.4
2013-12-01,871.1
2014-01-01,872.3
