"Date","CANTOT"
1990-12-01,90.2
1991-01-01,NA
1991-02-01,NA
1991-03-01,87.2
1991-04-01,NA
1991-05-01,NA
1991-06-01,87.3
1991-07-01,NA
1991-08-01,NA
1991-09-01,86.9
1991-10-01,NA
1991-11-01,NA
1991-12-01,87.2
1992-01-01,NA
1992-02-01,NA
1992-03-01,86.5
1992-04-01,NA
1992-05-01,NA
1992-06-01,87.4
1992-07-01,NA
1992-08-01,NA
1992-09-01,87.5
1992-10-01,88
1992-11-01,86.8
1992-12-01,86.3
1993-01-01,86
1993-02-01,85.8
1993-03-01,86.5
1993-04-01,86.6
1993-05-01,86.3
1993-06-01,85.9
1993-07-01,85.5
1993-08-01,85.2
1993-09-01,85.2
1993-10-01,85.4
1993-11-01,85.1
1993-12-01,85.1
1994-01-01,84.9
1994-02-01,85.2
1994-03-01,85.5
1994-04-01,85.6
1994-05-01,86.4
1994-06-01,87.2
1994-07-01,87.6
1994-08-01,88
1994-09-01,88.1
1994-10-01,88.9
1994-11-01,90.2
1994-12-01,90.2
1995-01-01,91.1
1995-02-01,91.6
1995-03-01,92.1
1995-04-01,92.9
1995-05-01,93.8
1995-06-01,93.8
1995-07-01,93.7
1995-08-01,94.1
1995-09-01,94.8
1995-10-01,94.3
1995-11-01,94.4
1995-12-01,94.7
1996-01-01,94.3
1996-02-01,94.3
1996-03-01,94.3
1996-04-01,94.7
1996-05-01,93.6
1996-06-01,93.5
1996-07-01,93.2
1996-08-01,93.1
1996-09-01,93.8
1996-10-01,93.9
1996-11-01,94.1
1996-12-01,95.1
1997-01-01,95.9
1997-02-01,94.3
1997-03-01,93.2
1997-04-01,92.5
1997-05-01,92.7
1997-06-01,92.6
1997-07-01,92.5
1997-08-01,92.8
1997-09-01,93.2
1997-10-01,93.2
1997-11-01,93
1997-12-01,92
1998-01-01,91.3
1998-02-01,90.3
1998-03-01,90.1
1998-04-01,90.2
1998-05-01,90.6
1998-06-01,89.7
1998-07-01,89.7
1998-08-01,89.6
1998-09-01,89.3
1998-10-01,89.8
1998-11-01,89.5
1998-12-01,88.7
1999-01-01,88.6
1999-02-01,88.6
1999-03-01,88.8
1999-04-01,89.1
1999-05-01,90.3
1999-06-01,90.6
1999-07-01,91.9
1999-08-01,92.9
1999-09-01,93.5
1999-10-01,93.9
1999-11-01,94.5
1999-12-01,94.7
2000-01-01,95.5
2000-02-01,97.2
2000-03-01,97.2
2000-04-01,97.8
2000-05-01,97.9
2000-06-01,99.8
2000-07-01,100.4
2000-08-01,100
2000-09-01,102.4
2000-10-01,103.4
2000-11-01,102.9
2000-12-01,105.6
2001-01-01,110.3
2001-02-01,106.2
2001-03-01,102.6
2001-04-01,103.2
2001-05-01,102.5
2001-06-01,101.8
2001-07-01,99
2001-08-01,98.9
2001-09-01,97
2001-10-01,95
2001-11-01,94.9
2001-12-01,93.2
2002-01-01,93.6
2002-02-01,94.2
2002-03-01,96.1
2002-04-01,98.1
2002-05-01,97.9
2002-06-01,97.8
2002-07-01,98.6
2002-08-01,99.2
2002-09-01,99.6
2002-10-01,99.9
2002-11-01,99.1
2002-12-01,99.2
2003-01-01,101.4
2003-02-01,103.3
2003-03-01,106.6
2003-04-01,102.5
2003-05-01,101.8
2003-06-01,103.1
2003-07-01,103.9
2003-08-01,103.5
2003-09-01,103.9
2003-10-01,103.7
2003-11-01,104
2003-12-01,104.4
2004-01-01,106.4
2004-02-01,109.3
2004-03-01,110
2004-04-01,110.6
2004-05-01,111.7
2004-06-01,112.3
2004-07-01,112.2
2004-08-01,114.5
2004-09-01,114.4
2004-10-01,115.5
2004-11-01,117.2
2004-12-01,116.6
2005-01-01,116.7
2005-02-01,117.6
2005-03-01,120.1
2005-04-01,120.7
2005-05-01,119.4
2005-06-01,119.6
2005-07-01,121.7
2005-08-01,123.6
2005-09-01,128.2
2005-10-01,133.1
2005-11-01,130.8
2005-12-01,129.6
2006-01-01,130.5
2006-02-01,127.2
2006-03-01,125.4
2006-04-01,127.8
2006-05-01,131.2
2006-06-01,130.6
2006-07-01,131.1
2006-08-01,132.7
2006-09-01,129.7
2006-10-01,124
2006-11-01,127.2
2006-12-01,129.2
2007-01-01,127.7
2007-02-01,128.2
2007-03-01,130.2
2007-04-01,132.2
2007-05-01,133.5
2007-06-01,135
2007-07-01,135.5
2007-08-01,135.2
2007-09-01,135
2007-10-01,136.7
2007-11-01,143.6
2007-12-01,142.3
2008-01-01,144.4
2008-02-01,146.5
2008-03-01,152
2008-04-01,160
2008-05-01,165.3
2008-06-01,171.2
2008-07-01,173.8
2008-08-01,168.7
2008-09-01,160.1
2008-10-01,149.3
2008-11-01,135.8
2008-12-01,129.8
2009-01-01,127.5
2009-02-01,124.8
2009-03-01,124.4
2009-04-01,123.5
2009-05-01,125.6
2009-06-01,129
2009-07-01,128.2
2009-08-01,129.7
2009-09-01,131.1
2009-10-01,132.7
2009-11-01,136.4
2009-12-01,137.7
2010-01-01,142.7
2010-02-01,143.7
2010-03-01,143.7
2010-04-01,144.3
2010-05-01,142.1
2010-06-01,139.3
2010-07-01,139.8
2010-08-01,140.3
2010-09-01,139.9
2010-10-01,140.7
2010-11-01,144.4
2010-12-01,148.1
2011-01-01,149.8
2011-02-01,151.8
2011-03-01,155.7
2011-04-01,161.8
2011-05-01,163.2
2011-06-01,159.7
2011-07-01,159.2
2011-08-01,157
2011-09-01,155
2011-10-01,153.4
2011-11-01,155
2011-12-01,155.4
2012-01-01,154.5
2012-02-01,154.6
2012-03-01,153.6
2012-04-01,151.4
2012-05-01,150.3
2012-06-01,147.4
2012-07-01,144.9
2012-08-01,147.3
2012-09-01,150.7
2012-10-01,151.8
2012-11-01,152.3
2012-12-01,149.4
2013-01-01,149.6
2013-02-01,150.8
2013-03-01,151.9
2013-04-01,152.7
2013-05-01,153.6
2013-06-01,152.9
2013-07-01,152.6
2013-08-01,154.5
2013-09-01,154
2013-10-01,150.5
2013-11-01,147.3
2013-12-01,147.2
2014-01-01,150
2014-02-01,157.5
2014-03-01,160.1
2014-04-01,155.8
2014-05-01,155.4
2014-06-01,156.5
2014-07-01,155.6
2014-08-01,151.9
2014-09-01,150.4
2014-10-01,147.9
2014-11-01,143.2
2014-12-01,134.7
2015-01-01,127.2
2015-02-01,126
2015-03-01,125.1
2015-04-01,125.9
2015-05-01,129.1
2015-06-01,130.9
2015-07-01,128
2015-08-01,121.5
2015-09-01,117.9
2015-10-01,118.4
2015-11-01,117.7
2015-12-01,114.3
2016-01-01,110.1
2016-02-01,108.6
2016-03-01,110.3
2016-04-01,113.9
2016-05-01,117.4
2016-06-01,120.1
2016-07-01,120
2016-08-01,118.4
2016-09-01,118.5
2016-10-01,120.5
2016-11-01,119.8
2016-12-01,122
2017-01-01,124.4
2017-02-01,125.8
2017-03-01,124.4
2017-04-01,124.4
2017-05-01,125.2
2017-06-01,123.5
2017-07-01,123.3
2017-08-01,124.6
2017-09-01,125.8
2017-10-01,126.6
2017-11-01,130.3
2017-12-01,131.4
2018-01-01,133.3
2018-02-01,131.7
2018-03-01,131
2018-04-01,133.1
2018-05-01,137.4
2018-06-01,137.7
2018-07-01,137.5
2018-08-01,135.9
2018-09-01,133.3
2018-10-01,133.9
2018-11-01,124.9
2018-12-01,119.5
2019-01-01,129.6
2019-02-01,139.4
2019-03-01,143.8
2019-04-01,146.3
2019-05-01,146.4
2019-06-01,140
2019-07-01,139.4
2019-08-01,138.3
2019-09-01,138.9
2019-10-01,137.6
2019-11-01,138.9
2019-12-01,138
2020-01-01,137.1
2020-02-01,130.8
2020-03-01,120.5
2020-04-01,106.3
2020-05-01,108.3
2020-06-01,123.2
2020-07-01,127.3
2020-08-01,133.7
2020-09-01,133.5
2020-10-01,133.3
2020-11-01,132.9
2020-12-01,138.2
2021-01-01,145.6
2021-02-01,151.1
2021-03-01,158.2
2021-04-01,161
2021-05-01,168.6
2021-06-01,174.4
2021-07-01,172
2021-08-01,166.3
2021-09-01,165.8
2021-10-01,175.4
2021-11-01,178.9
2021-12-01,173.5
2022-01-01,184.4
2022-02-01,193.6
2022-03-01,210.2
2022-04-01,211.3
2022-05-01,216.7
2022-06-01,218.8
2022-07-01,206.9
2022-08-01,197.9
2022-09-01,192.1
2022-10-01,188.4
2022-11-01,185
2022-12-01,181.3
2023-01-01,181.5
2023-02-01,174.3
2023-03-01,172.4
2023-04-01,174
2023-05-01,170.7
2023-06-01,169.7
2023-07-01,172.2
2023-08-01,177.6
2023-09-01,180
2023-10-01,178.6
2023-11-01,174.5
