"Date","WPU072C"
2011-12-01,100
2012-01-01,101.8
2012-02-01,121.1
2012-03-01,123.7
2012-04-01,119.8
2012-05-01,116.8
2012-06-01,99.6
2012-07-01,95.7
2012-08-01,93.6
2012-09-01,99.3
2012-10-01,97.9
2012-11-01,90.5
2012-12-01,92.6
2013-01-01,101.3
2013-02-01,104.4
2013-03-01,104.3
2013-04-01,95.3
2013-05-01,92.8
2013-06-01,91.9
2013-07-01,91.8
2013-08-01,92.1
2013-09-01,92.9
2013-10-01,92.7
2013-11-01,88.7
2013-12-01,86.9
2014-01-01,85.7
2014-02-01,90.5
2014-03-01,97.7
2014-04-01,100.3
2014-05-01,95.5
2014-06-01,96.6
2014-07-01,93.4
2014-08-01,88
2014-09-01,90.8
2014-10-01,95
2014-11-01,94.1
2014-12-01,88.4
2015-01-01,86.3
2015-02-01,81.3
2015-03-01,80
2015-04-01,79.7
2015-05-01,79.2
2015-06-01,79.7
2015-07-01,80.1
2015-08-01,79.3
2015-09-01,78.2
2015-10-01,75.1
2015-11-01,75.2
2015-12-01,73.7
2016-01-01,72.7
2016-02-01,71.6
2016-03-01,72.1
2016-04-01,71.4
2016-05-01,71.5
2016-06-01,73.3
2016-07-01,73.1
2016-08-01,71.6
2016-09-01,70.4
2016-10-01,69.1
2016-11-01,69
2016-12-01,68.9
2017-01-01,68.4
2017-02-01,69.2
2017-03-01,70.6
2017-04-01,71.7
2017-05-01,73.1
2017-06-01,73.6
2017-07-01,74.5
2017-08-01,72.1
2017-09-01,72.3
2017-10-01,71.2
2017-11-01,71.5
2017-12-01,71.4
2018-01-01,72.2
2018-02-01,73.2
2018-03-01,70.6
2018-04-01,72.4
2018-05-01,73.9
2018-06-01,76.5
2018-07-01,76.1
2018-08-01,77.1
2018-09-01,76.6
2018-10-01,74.8
2018-11-01,70.8
2018-12-01,73
2019-01-01,74
2019-02-01,75
2019-03-01,74.2
2019-04-01,75.7
2019-05-01,75.1
2019-06-01,75.3
2019-07-01,74
2019-08-01,73.5
2019-09-01,76.4
2019-10-01,70.8
2019-11-01,73.3
2019-12-01,68.8
2020-01-01,68.9
2020-02-01,68.3
2020-03-01,70.2
2020-04-01,67.3
2020-05-01,71.5
2020-06-01,70.6
2020-07-01,74.3
2020-08-01,68.8
2020-09-01,68.7
2020-10-01,64.9
2020-11-01,67.7
2020-12-01,70.3
2021-01-01,69.4
2021-02-01,71.3
2021-03-01,72.8
2021-04-01,77.8
2021-05-01,84.5
2021-06-01,91.1
2021-07-01,88.359
2021-08-01,89.976
2021-09-01,96.14
2021-10-01,96.148
2021-11-01,97.537
2021-12-01,97.96
2022-01-01,97.565
2022-02-01,99.216
2022-03-01,97.078
2022-04-01,105.053
2022-05-01,106.842
2022-06-01,107.393
2022-07-01,107.348
2022-08-01,107.049
2022-09-01,99.703
2022-10-01,91.51
2022-11-01,86.61
2022-12-01,86.141
2023-01-01,87.481
2023-02-01,86.857
2023-03-01,84.823
2023-04-01,87.278
2023-05-01,92.548
2023-06-01,86.007
2023-07-01,86.363
2023-08-01,81.606
2023-09-01,79.274
2023-10-01,79.732
