"Date","WPUID61122"
2009-11-01,100
2009-12-01,99.9
2010-01-01,100
2010-02-01,100.1
2010-03-01,100.3
2010-04-01,100.7
2010-05-01,100.9
2010-06-01,100.9
2010-07-01,100.9
2010-08-01,101
2010-09-01,101
2010-10-01,101
2010-11-01,101
2010-12-01,101.1
2011-01-01,101.8
2011-02-01,102.2
2011-03-01,102.5
2011-04-01,103
2011-05-01,103.2
2011-06-01,103.4
2011-07-01,103.7
2011-08-01,103.8
2011-09-01,103.7
2011-10-01,103.9
2011-11-01,103.9
2011-12-01,103.9
2012-01-01,104.1
2012-02-01,104.3
2012-03-01,104.4
2012-04-01,104.6
2012-05-01,104.7
2012-06-01,104.7
2012-07-01,104.7
2012-08-01,104.7
2012-09-01,104.7
2012-10-01,104.7
2012-11-01,104.8
2012-12-01,104.8
2013-01-01,105.1
2013-02-01,105.1
2013-03-01,105.5
2013-04-01,105.6
2013-05-01,105.6
2013-06-01,105.6
2013-07-01,105.7
2013-08-01,105.7
2013-09-01,105.6
2013-10-01,105.7
2013-11-01,105.7
2013-12-01,105.7
2014-01-01,105.9
2014-02-01,105.9
2014-03-01,106
2014-04-01,106.1
2014-05-01,106.2
2014-06-01,106.2
2014-07-01,106.3
2014-08-01,106.3
2014-09-01,106.3
2014-10-01,106.4
2014-11-01,106.4
2014-12-01,106.4
2015-01-01,106.7
2015-02-01,106.6
2015-03-01,106.6
2015-04-01,106.5
2015-05-01,106.4
2015-06-01,106.4
2015-07-01,106.3
2015-08-01,106.2
2015-09-01,106.2
2015-10-01,106.1
2015-11-01,106
2015-12-01,106
2016-01-01,105.8
2016-02-01,105.8
2016-03-01,105.8
2016-04-01,105.8
2016-05-01,105.7
2016-06-01,105.7
2016-07-01,105.8
2016-08-01,105.9
2016-09-01,105.8
2016-10-01,105.9
2016-11-01,105.9
2016-12-01,105.9
2017-01-01,106
2017-02-01,106.1
2017-03-01,106.2
2017-04-01,106.5
2017-05-01,106.5
2017-06-01,106.5
2017-07-01,106.5
2017-08-01,106.6
2017-09-01,106.7
2017-10-01,106.8
2017-11-01,107
2017-12-01,107
2018-01-01,107.4
2018-02-01,107.7
2018-03-01,108
2018-04-01,108.3
2018-05-01,108.5
2018-06-01,108.6
2018-07-01,109
2018-08-01,109
2018-09-01,109.3
2018-10-01,109.5
2018-11-01,109.6
2018-12-01,109.6
2019-01-01,109.8
2019-02-01,109.9
2019-03-01,110
2019-04-01,109.9
2019-05-01,109.9
2019-06-01,110
2019-07-01,110.1
2019-08-01,110
2019-09-01,110.1
2019-10-01,110.1
2019-11-01,110.2
2019-12-01,110.2
2020-01-01,110.3
2020-02-01,110.4
2020-03-01,110.5
2020-04-01,110.5
2020-05-01,110.7
2020-06-01,110.7
2020-07-01,110.6
2020-08-01,110.6
2020-09-01,110.7
2020-10-01,110.7
2020-11-01,110.8
2020-12-01,111
2021-01-01,111.6
2021-02-01,112.1
2021-03-01,113
2021-04-01,114
2021-05-01,114.9
2021-06-01,116.1
2021-07-01,117.25
2021-08-01,118.419
2021-09-01,119.443
2021-10-01,120.687
2021-11-01,121.622
2021-12-01,122.604
2022-01-01,124.267
2022-02-01,125.13
2022-03-01,126.289
2022-04-01,127.2
2022-05-01,128.275
2022-06-01,129.088
2022-07-01,129.473
2022-08-01,129.789
2022-09-01,130.132
2022-10-01,130.201
2022-11-01,130.37
2022-12-01,130.497
2023-01-01,131.416
2023-02-01,131.766
2023-03-01,132.061
2023-04-01,132.553
2023-05-01,132.393
2023-06-01,132.426
2023-07-01,132.585
2023-08-01,132.601
2023-09-01,132.68
2023-10-01,132.75
2023-11-01,132.843
