"Date","M04195USM350NNBR"
1946-07-01,88.6
1946-08-01,89.4
1946-09-01,87.8
1946-10-01,92.5
1946-11-01,108.6
1946-12-01,114.2
1947-01-01,114.8
1947-02-01,120.2
1947-03-01,128.1
1947-04-01,123.1
1947-05-01,114.3
1947-06-01,113.8
1947-07-01,116
1947-08-01,117.3
1947-09-01,125.1
1947-10-01,131.4
1947-11-01,136.6
1947-12-01,138.2
1948-01-01,138.9
1948-02-01,129.2
1948-03-01,125
1948-04-01,126.8
1948-05-01,127.1
1948-06-01,130.9
1948-07-01,129.8
1948-08-01,128
1948-09-01,124.9
1948-10-01,120.2
1948-11-01,120.9
1948-12-01,117.3
1949-01-01,112.2
1949-02-01,104.4
1949-03-01,99.1
1949-04-01,92.3
1949-05-01,91.6
1949-06-01,89.4
1949-07-01,91.3
1949-08-01,96.4
1949-09-01,96
1949-10-01,92.6
1949-11-01,93.2
1949-12-01,93.4
1950-01-01,95.1
1950-02-01,94.5
1950-03-01,94.3
1950-04-01,95.6
1950-05-01,100.8
1950-06-01,103.1
1950-07-01,113.3
1950-08-01,123.8
1950-09-01,131.6
1950-10-01,132.7
1950-11-01,139.5
1950-12-01,145
1951-01-01,153.5
1951-02-01,155.6
1951-03-01,151.7
1951-04-01,150.2
1951-05-01,149
1951-06-01,142.5
1951-07-01,131
1951-08-01,128.5
1951-09-01,127.1
1951-10-01,128.4
1951-11-01,126.2
1951-12-01,126.5
1952-01-01,124.3
1952-02-01,119.9
1952-03-01,116.2
1952-04-01,112.9
1952-05-01,113.5
1952-06-01,111.9
1952-07-01,111.3
1952-08-01,110.9
1952-09-01,109.8
1952-10-01,106.6
1952-11-01,105.4
1952-12-01,104.2
1953-01-01,103.4
1953-02-01,102.3
1953-03-01,103.9
1953-04-01,101.4
1953-05-01,101.5
1953-06-01,100.5
1953-07-01,101.3
1953-08-01,102.3
1953-09-01,102.4
1953-10-01,99.5
1953-11-01,100.7
1953-12-01,102
1954-01-01,101.5
1954-02-01,101.4
1954-03-01,103.4
1954-04-01,106.6
1954-05-01,106.9
1954-06-01,106.4
1954-07-01,105.4
