"Date","EXPTOTOH"
2022-05-01,4511.556808
2022-06-01,4810.153523
2022-07-01,4325.872398
2022-08-01,5071.727791
2022-09-01,5320.94986
2022-10-01,5165.059616
2022-11-01,4543.588927
2022-12-01,4782.20237
2023-01-01,4412.974867
2023-02-01,4694.960348
2023-03-01,4867.722992
2023-04-01,4540.760935
2023-05-01,4768.09663
2023-06-01,4672.226159
2023-07-01,4386.629371
2023-08-01,4835.972145
2023-09-01,4786.596757
2023-10-01,4639.824949
