"Date","M02108USM324NNBR"
1914-01-01,71
1914-02-01,83
1914-03-01,142
1914-04-01,113
1914-05-01,155
1914-06-01,128
1914-07-01,139
1914-08-01,118
1914-09-01,95
1914-10-01,108
1914-11-01,84
1914-12-01,62
1915-01-01,48
1915-02-01,76
1915-03-01,75
1915-04-01,82
1915-05-01,96
1915-06-01,105
1915-07-01,129
1915-08-01,126
1915-09-01,116
1915-10-01,101
1915-11-01,150
1915-12-01,89
1916-01-01,96
1916-02-01,95
1916-03-01,90
1916-04-01,137
1916-05-01,129
1916-06-01,129
1916-07-01,136
1916-08-01,130
1916-09-01,145
1916-10-01,97
1916-11-01,105
1916-12-01,106
1917-01-01,69
1917-02-01,47
1917-03-01,55
1917-04-01,65
1917-05-01,50
1917-06-01,57
1917-07-01,87
1917-08-01,63
1917-09-01,166
1917-10-01,87
1917-11-01,76
1917-12-01,49
1918-01-01,57
1918-02-01,151
1918-03-01,90
1918-04-01,58
1918-05-01,67
1918-06-01,106
1918-07-01,107
1918-08-01,111
1918-09-01,145
1918-10-01,67
1918-11-01,66
1918-12-01,27
1919-01-01,38
1919-02-01,91
1919-03-01,52
1919-04-01,78
1919-05-01,80
1919-06-01,129
1919-07-01,122
1919-08-01,135
1919-09-01,113
1919-10-01,207
1919-11-01,71
1919-12-01,41
1920-01-01,138
1920-02-01,130
1920-03-01,113
1920-04-01,134
1920-05-01,126
1920-06-01,92
1920-07-01,83
1920-08-01,86
1920-09-01,80
1920-10-01,79
1920-11-01,57
1920-12-01,63
1921-01-01,52
1921-02-01,55
1921-03-01,90
1921-04-01,109
1921-05-01,108
1921-06-01,119
1921-07-01,115
1921-08-01,116
1921-09-01,109
1921-10-01,130
1921-11-01,106
1921-12-01,117
1922-01-01,100
1922-02-01,68
1922-03-01,186
1922-04-01,161
1922-05-01,221
1922-06-01,178
1922-07-01,146
1922-08-01,137
1922-09-01,149
1922-10-01,154
1922-11-01,114
1922-12-01,134
1923-01-01,151
1923-02-01,129
1923-03-01,162
