"Date","IMPMANUS"
2008-01-01,125298.2
2008-02-01,126409.7
2008-03-01,129525.7
2008-04-01,136221.1
2008-05-01,135628.9
2008-06-01,138501.9
2008-07-01,142932.2
2008-08-01,137253.8
2008-09-01,138221
2008-10-01,141544.5
2008-11-01,116647.4
2008-12-01,109330.2
2009-01-01,97457.8
2009-02-01,87630
2009-03-01,97804.9
2009-04-01,94395.9
2009-05-01,92665.1
2009-06-01,99984.5
2009-07-01,106137.3
2009-08-01,104143.8
2009-09-01,110663.1
2009-10-01,118257.3
2009-11-01,113859.8
2009-12-01,113411.8
2010-01-01,105464.9
2010-02-01,104218
2010-03-01,121422.4
2010-04-01,117960.2
2010-05-01,122892.3
2010-06-01,134171.8
2010-07-01,130097.3
2010-08-01,136263.2
2010-09-01,133673.4
2010-10-01,138652.1
2010-11-01,136750
2010-12-01,131135.1
2011-01-01,128786
2011-02-01,123200.4
2011-03-01,144199.9
2011-04-01,138449.7
2011-05-01,145098.3
2011-06-01,147135.3
2011-07-01,144901.5
2011-08-01,152027.7
2011-09-01,147936.9
2011-10-01,152482.5
2011-11-01,149647.2
2011-12-01,141716.5
2012-01-01,141588.6
2012-02-01,135246.4
2012-03-01,153831.3
2012-04-01,146296.9
2012-05-01,156075
2012-06-01,152731.3
2012-07-01,153801.9
2012-08-01,156332.4
2012-09-01,149672.9
2012-10-01,159461.1
2012-11-01,156898.9
2012-12-01,143222.1
2013-01-01,146957.106015
2013-02-01,138280.669484
2013-03-01,146626.319449
2013-04-01,153354.78663
2013-05-01,158723.144653
2013-06-01,149455.594232
2013-07-01,158419.721555
2013-08-01,156323.41998
2013-09-01,155716.226971
2013-10-01,166670.972471
2013-11-01,155683.516239
2013-12-01,147772.10243
2014-01-01,147402.918403
2014-02-01,136565.203531
2014-03-01,156925.114245
2014-04-01,162260.197945
2014-05-01,165486.268815
2014-06-01,163235.124175
2014-07-01,166771.045423
2014-08-01,163305.075297
2014-09-01,168412.934575
2014-10-01,176542.620896
2014-11-01,160928.128343
2014-12-01,162850.723657
2015-01-01,152600.735595
2015-02-01,138876.404987
2015-03-01,171433.091925
2015-04-01,163708.541586
2015-05-01,162473.206992
2015-06-01,170641.144245
2015-07-01,166838.141273
2015-08-01,165749.460191
2015-09-01,167680.152835
2015-10-01,171761.406934
2015-11-01,158947.120393
2015-12-01,156087.534136
2016-01-01,144529.974885
2016-02-01,148215.224752
2016-03-01,155689.256576
2016-04-01,152517.885609
2016-05-01,161586.772285
2016-06-01,164953.061845
2016-07-01,159150.535757
2016-08-01,169558.924341
2016-09-01,162129.123324
2016-10-01,167724.407226
2016-11-01,166568.925862
2016-12-01,158711.13648
2017-01-01,158309.849641
2017-02-01,144162.652629
2017-03-01,166091.034629
2017-04-01,159223.961602
2017-05-01,172402.227134
2017-06-01,171303.509533
2017-07-01,166862.069864
2017-08-01,175484.566295
2017-09-01,170533.827612
2017-10-01,182590.488208
2017-11-01,179083.912754
2017-12-01,173299.005304
2018-01-01,172564.359597
2018-02-01,161298.88836
2018-03-01,179522.221599
2018-04-01,174322.617478
2018-05-01,185783.010935
2018-06-01,180923.479519
2018-07-01,184827.981748
2018-08-01,190290.88498
2018-09-01,182382.10405
2018-10-01,202187.726108
2018-11-01,183385.833543
2018-12-01,179618.208795
2019-01-01,176735.373258
2019-02-01,160555.809847
2019-03-01,179166.178071
2019-04-01,179053.145343
2019-05-01,188966.505634
2019-06-01,177136.89811
2019-07-01,189065.334615
2019-08-01,188001.09015
2019-09-01,179199.758712
2019-10-01,188612.993306
2019-11-01,173212.970314
2019-12-01,173219.160891
2020-01-01,167675.925336
2020-02-01,152828.68479
2020-03-01,168568.821941
2020-04-01,147636.585431
2020-05-01,146151.570228
2020-06-01,160027.557698
2020-07-01,179193.052507
2020-08-01,181267.988662
2020-09-01,183945.476522
2020-10-01,196204.516325
2020-11-01,189808.413886
2020-12-01,190576.991314
2021-01-01,181107.620409
2021-02-01,168297.50624
2021-03-01,207194.806903
2021-04-01,197551.92883
2021-05-01,201656.600186
2021-06-01,210585.435017
2021-07-01,205372.94778
2021-08-01,213527.111389
2021-09-01,211251.759859
2021-10-01,217393.078988
2021-11-01,222445.22938
2021-12-01,222226.036478
2022-01-01,213012.0252
2022-02-01,200984.356803
2022-03-01,255195.914344
2022-04-01,233568.907736
2022-05-01,244706.287937
2022-06-01,244563.4012
2022-07-01,231375.955488
2022-08-01,244810.306506
2022-09-01,240069.008289
2022-10-01,244922.969693
2022-11-01,221101.607273
2022-12-01,218830.291845
2023-01-01,219355.719555
2023-02-01,198102.796031
2023-03-01,226234.557741
2023-04-01,217549.922299
2023-05-01,229169.665797
2023-06-01,225343.631491
2023-07-01,223608.297316
2023-08-01,231473.874079
2023-09-01,227522.919361
2023-10-01,240900.656733
