"Date","M0401BUSM350NNBR"
1946-07-01,84.3
1946-08-01,80.3
1946-09-01,80.6
1946-10-01,81.4
1946-11-01,101.7
1946-12-01,111.3
1947-01-01,112.8
1947-02-01,117.2
1947-03-01,123
1947-04-01,120.1
1947-05-01,111.1
1947-06-01,109
1947-07-01,110.1
1947-08-01,111.6
1947-09-01,116.3
1947-10-01,123.3
1947-11-01,128.5
1947-12-01,129.1
1948-01-01,129.6
1948-02-01,124.7
1948-03-01,119.7
1948-04-01,121.2
1948-05-01,120.4
1948-06-01,121.8
1948-07-01,121.6
1948-08-01,122.4
1948-09-01,120.7
1948-10-01,118.5
1948-11-01,121.8
1948-12-01,119.9
1949-01-01,117.1
1949-02-01,110.7
1949-03-01,102.2
1949-04-01,91.6
1949-05-01,90.3
1949-06-01,87.3
1949-07-01,89
1949-08-01,93.9
1949-09-01,95.4
1949-10-01,91.5
1949-11-01,94.2
1949-12-01,93.2
1950-01-01,94.5
1950-02-01,93.6
1950-03-01,93.3
1950-04-01,94.4
1950-05-01,98.6
1950-06-01,102.2
1950-07-01,113.3
1950-08-01,128.2
1950-09-01,143.3
1950-10-01,148.7
1950-11-01,159.3
1950-12-01,164.7
1951-01-01,173.7
1951-02-01,175
1951-03-01,170.1
1951-04-01,167.8
1951-05-01,165.4
1951-06-01,157.4
1951-07-01,139.6
1951-08-01,134.5
1951-09-01,133.1
1951-10-01,136
1951-11-01,134
1951-12-01,133.8
1952-01-01,130.8
1952-02-01,123.8
1952-03-01,118.9
1952-04-01,115.5
1952-05-01,113.8
1952-06-01,110.8
1952-07-01,109.3
1952-08-01,108.8
1952-09-01,109.2
1952-10-01,106.1
1952-11-01,106.1
1952-12-01,105.2
1953-01-01,102.6
1953-02-01,101.9
1953-03-01,103
1953-04-01,98.2
1953-05-01,97.5
1953-06-01,97
1953-07-01,96.3
1953-08-01,95.8
1953-09-01,93.7
1953-10-01,90.8
1953-11-01,93.2
1953-12-01,93.1
1954-01-01,92
1954-02-01,91.4
1954-03-01,92.7
1954-04-01,96.1
1954-05-01,97.1
1954-06-01,97.8
1954-07-01,96.7
1954-08-01,96.3
1954-09-01,97.7
1954-10-01,99.4
1954-11-01,99.9
1954-12-01,99.7
1955-01-01,102.1
1955-02-01,103.7
1955-03-01,101.8
1955-04-01,103.4
1955-05-01,102.1
1955-06-01,103.4
1955-07-01,107.2
1955-08-01,108.6
1955-09-01,110
1955-10-01,109.2
1955-11-01,110.7
1955-12-01,114
1956-01-01,112.6
1956-02-01,110.8
1956-03-01,111.1
1956-04-01,111.6
1956-05-01,107.7
1956-06-01,104.8
1956-07-01,105.3
1956-08-01,108.2
1956-09-01,110.2
1956-10-01,109.4
1956-11-01,112.3
1956-12-01,112.4
1957-01-01,109.4
1957-02-01,106
1957-03-01,105.7
1957-04-01,104.7
1957-05-01,103.8
1957-06-01,104.4
1957-07-01,103.8
1957-08-01,103.1
1957-09-01,100
1957-10-01,96.9
1957-11-01,94.9
1957-12-01,94.3
1958-01-01,93.2
1958-02-01,93.4
1958-03-01,92.6
1958-04-01,90.2
1958-05-01,90.6
1958-06-01,92.1
1958-07-01,94.7
1958-08-01,96.4
1958-09-01,96.3
1958-10-01,99.3
1958-11-01,101.8
1958-12-01,100.3
1959-01-01,99.6
1959-02-01,99.5
1959-03-01,101.1
1959-04-01,102.1
1959-05-01,102.8
1959-06-01,103.2
