"Date","IMPMANWV"
2008-01-01,254.4
2008-02-01,243.7
2008-03-01,282.1
2008-04-01,278.3
2008-05-01,250.6
2008-06-01,230.4
2008-07-01,267.6
2008-08-01,310.9
2008-09-01,277
2008-10-01,294
2008-11-01,219.2
2008-12-01,214.7
2009-01-01,189.3
2009-02-01,158.1
2009-03-01,188.3
2009-04-01,186.1
2009-05-01,175.4
2009-06-01,199.2
2009-07-01,206.6
2009-08-01,218.3
2009-09-01,207.5
2009-10-01,246.7
2009-11-01,227.8
2009-12-01,200.7
2010-01-01,228.2
2010-02-01,223.1
2010-03-01,270.4
2010-04-01,242.5
2010-05-01,233.7
2010-06-01,251.7
2010-07-01,237.9
2010-08-01,278.9
2010-09-01,275.3
2010-10-01,286.8
2010-11-01,236.3
2010-12-01,234
2011-01-01,246.2
2011-02-01,251.7
2011-03-01,296.9
2011-04-01,256.9
2011-05-01,323.9
2011-06-01,252.1
2011-07-01,296
2011-08-01,325.6
2011-09-01,281.1
2011-10-01,288.4
2011-11-01,239.6
2011-12-01,258.9
2012-01-01,276
2012-02-01,312.6
2012-03-01,308.3
2012-04-01,334.7
2012-05-01,299
2012-06-01,277.5
2012-07-01,301.1
2012-08-01,289.7
2012-09-01,282.4
2012-10-01,341.7
2012-11-01,276.6
2012-12-01,262.3
2013-01-01,275.685874
2013-02-01,311.96605
2013-03-01,299.927696
2013-04-01,321.25285
2013-05-01,278.691479
2013-06-01,261.456795
2013-07-01,316.182356
2013-08-01,294.619893
2013-09-01,304.617274
2013-10-01,326.431404
2013-11-01,281.455158
2013-12-01,298.022229
2014-01-01,290.032981
2014-02-01,284.291572
2014-03-01,297.584413
2014-04-01,326.978498
2014-05-01,316.622528
2014-06-01,326.273313
2014-07-01,339.969247
2014-08-01,316.534613
2014-09-01,287.407056
2014-10-01,334.456284
2014-11-01,261.093207
2014-12-01,298.15707
2015-01-01,299.986378
2015-02-01,259.865927
2015-03-01,377.539734
2015-04-01,313.908532
2015-05-01,274.092483
2015-06-01,291.817861
2015-07-01,310.03867
2015-08-01,311.067485
2015-09-01,297.174458
2015-10-01,282.289165
2015-11-01,297.490348
2015-12-01,277.211948
2016-01-01,268.065466
2016-02-01,312.349964
2016-03-01,302.528458
2016-04-01,274.37868
2016-05-01,279.025544
2016-06-01,281.695832
2016-07-01,261.35792
2016-08-01,269.960782
2016-09-01,246.382794
2016-10-01,234.023899
2016-11-01,231.097409
2016-12-01,222.693864
2017-01-01,235.921742
2017-02-01,238.813479
2017-03-01,288.298004
2017-04-01,265.979058
2017-05-01,276.861073
2017-06-01,258.500744
2017-07-01,311.025439
2017-08-01,310.545483
2017-09-01,259.71031
2017-10-01,247.772757
2017-11-01,266.261204
2017-12-01,262.274985
2018-01-01,280.908918
2018-02-01,206.225769
2018-03-01,240.901
2018-04-01,284.57744
2018-05-01,278.818614
2018-06-01,292.852495
2018-07-01,290.77664
2018-08-01,285.72053
2018-09-01,226.30116
2018-10-01,283.972496
2018-11-01,259.908421
2018-12-01,281.993354
2019-01-01,261.025775
2019-02-01,244.73123
2019-03-01,301.280698
2019-04-01,293.807006
2019-05-01,266.221636
2019-06-01,293.07317
2019-07-01,306.329962
2019-08-01,306.960786
2019-09-01,289.638634
2019-10-01,251.477914
2019-11-01,253.299091
2019-12-01,266.850182
2020-01-01,249.433828
2020-02-01,271.662296
2020-03-01,296.357995
2020-04-01,195.993046
2020-05-01,164.396226
2020-06-01,159.157724
2020-07-01,206.173634
2020-08-01,240.025567
2020-09-01,227.587481
2020-10-01,248.372408
2020-11-01,224.709219
2020-12-01,229.955876
2021-01-01,210.954769
2021-02-01,240.098949
2021-03-01,292.87269
2021-04-01,253.442414
2021-05-01,286.905619
2021-06-01,264.797417
2021-07-01,305.677767
2021-08-01,314.213586
2021-09-01,336.751851
2021-10-01,350.026754
2021-11-01,265.900075
2021-12-01,290.752053
2022-01-01,259.578484
2022-02-01,287.298991
2022-03-01,370.558795
2022-04-01,364.543517
2022-05-01,367.960649
2022-06-01,339.582284
2022-07-01,331.833372
2022-08-01,322.248828
2022-09-01,301.497901
2022-10-01,342.605655
2022-11-01,369.273773
2022-12-01,294.193871
2023-01-01,385.113004
2023-02-01,375.519405
2023-03-01,388.645141
2023-04-01,430.732057
2023-05-01,394.429237
2023-06-01,365.928422
2023-07-01,411.400732
2023-08-01,367.144783
2023-09-01,339.882976
2023-10-01,405.345018
