"Date","WPU112B"
1999-12-01,100
2000-01-01,100.5
2000-02-01,100.5
2000-03-01,100.6
2000-04-01,100.6
2000-05-01,100
2000-06-01,100
2000-07-01,100.1
2000-08-01,100.1
2000-09-01,100.1
2000-10-01,100.1
2000-11-01,100.1
2000-12-01,100.1
2001-01-01,98.8
2001-02-01,98.8
2001-03-01,98.8
2001-04-01,98.8
2001-05-01,98.8
2001-06-01,98.8
2001-07-01,98.8
2001-08-01,98.8
2001-09-01,98.8
2001-10-01,98.9
2001-11-01,98.9
2001-12-01,98.9
2002-01-01,99.2
2002-02-01,99.2
2002-03-01,107.2
2002-04-01,107.5
2002-05-01,106.7
2002-06-01,106.7
2002-07-01,106.3
2002-08-01,106.3
2002-09-01,106.3
2002-10-01,106.3
2002-11-01,106.3
2002-12-01,106.4
2003-01-01,106.6
2003-02-01,106.6
2003-03-01,106.6
2003-04-01,108.6
2003-05-01,108.6
2003-06-01,108.6
2003-07-01,108.6
2003-08-01,108.6
2003-09-01,108.6
2003-10-01,108.6
2003-11-01,108.7
2003-12-01,108.7
2004-01-01,109.4
2004-02-01,109.6
2004-03-01,109.7
2004-04-01,110.3
2004-05-01,110.3
2004-06-01,110.5
2004-07-01,111
2004-08-01,111.1
2004-09-01,111.1
2004-10-01,112
2004-11-01,112
2004-12-01,112.4
2005-01-01,114.2
2005-02-01,114.2
2005-03-01,115.5
2005-04-01,115.5
2005-05-01,118.1
2005-06-01,117.9
2005-07-01,117.9
2005-08-01,117.9
2005-09-01,118.3
2005-10-01,118.2
2005-11-01,118.1
2005-12-01,118.7
2006-01-01,121.1
2006-02-01,123.5
2006-03-01,123.8
2006-04-01,123.8
2006-05-01,123.8
2006-06-01,123.8
2006-07-01,123.7
2006-08-01,123.7
2006-09-01,123.7
2006-10-01,123.7
2006-11-01,123.7
2006-12-01,123.7
2007-01-01,124.6
2007-02-01,124.6
2007-03-01,124.6
2007-04-01,124.6
2007-05-01,124.6
2007-06-01,124.6
2007-07-01,125.3
2007-08-01,125.2
2007-09-01,125.2
2007-10-01,125.5
2007-11-01,125.5
2007-12-01,125.5
2008-01-01,125.6
2008-02-01,125.6
2008-03-01,125.7
2008-04-01,125.8
2008-05-01,125.1
2008-06-01,126.4
2008-07-01,126.7
2008-08-01,126.7
2008-09-01,126.6
2008-10-01,126.4
2008-11-01,126.8
2008-12-01,126.8
2009-01-01,128.7
2009-02-01,129.6
2009-03-01,129.6
2009-04-01,129.6
2009-05-01,130.2
2009-06-01,130.2
2009-07-01,130.2
2009-08-01,130.1
2009-09-01,128.8
2009-10-01,128.8
2009-11-01,128.8
2009-12-01,128.7
2010-01-01,129.1
2010-02-01,128.9
2010-03-01,128.9
2010-04-01,128.7
2010-05-01,129.2
2010-06-01,128.7
2010-07-01,128.7
2010-08-01,128.7
2010-09-01,128.7
2010-10-01,128.7
2010-11-01,128.2
2010-12-01,128.2
2011-01-01,130.9
2011-02-01,132.5
2011-03-01,132.4
2011-04-01,132
2011-05-01,132.1
2011-06-01,132.1
2011-07-01,132.9
2011-08-01,133.1
2011-09-01,133.1
2011-10-01,133.1
2011-11-01,133.6
2011-12-01,134.6
2012-01-01,135
2012-02-01,135.3
2012-03-01,134.1
2012-04-01,134.1
2012-05-01,133.7
2012-06-01,133.8
2012-07-01,134.1
2012-08-01,134.1
2012-09-01,134.3
2012-10-01,134.3
2012-11-01,135.4
2012-12-01,135.4
2013-01-01,136.7
2013-02-01,136.6
2013-03-01,137
2013-04-01,137
2013-05-01,137.4
2013-06-01,137.4
2013-07-01,137.4
2013-08-01,137.4
2013-09-01,137.6
2013-10-01,137.4
2013-11-01,137.4
2013-12-01,137.6
2014-01-01,139.1
2014-02-01,139.2
2014-03-01,139.1
2014-04-01,139.2
2014-05-01,139.2
2014-06-01,139.4
2014-07-01,139.3
2014-08-01,139.4
2014-09-01,138.6
2014-10-01,138.6
2014-11-01,138.6
2014-12-01,138.6
2015-01-01,140.9
2015-02-01,140.9
2015-03-01,140.9
2015-04-01,141
2015-05-01,141
2015-06-01,141
2015-07-01,141.1
2015-08-01,141.1
2015-09-01,141.1
2015-10-01,141.1
2015-11-01,141.4
2015-12-01,141.4
2016-01-01,141.5
2016-02-01,141.6
2016-03-01,141.4
2016-04-01,141.4
2016-05-01,141.4
2016-06-01,141.4
2016-07-01,141.5
2016-08-01,141.5
2016-09-01,141.5
2016-10-01,141.5
2016-11-01,141.5
2016-12-01,141.5
2017-01-01,142.7
2017-02-01,142.7
2017-03-01,143
2017-04-01,143
