"Date","WPUIP2311201"
2014-12-01,100
2015-01-01,98.5
2015-02-01,99
2015-03-01,99.5
2015-04-01,99.9
2015-05-01,100.9
2015-06-01,101
2015-07-01,100.8
2015-08-01,100.1
2015-09-01,99
2015-10-01,98.7
2015-11-01,98.4
2015-12-01,97.5
2016-01-01,97.2
2016-02-01,96.7
2016-03-01,97.5
2016-04-01,98.4
2016-05-01,99.4
2016-06-01,100.1
2016-07-01,100.1
2016-08-01,100.1
2016-09-01,100.2
2016-10-01,100.3
2016-11-01,100
2016-12-01,100.4
2017-01-01,101.2
2017-02-01,101.8
2017-03-01,102
2017-04-01,103.1
2017-05-01,103
2017-06-01,103.1
2017-07-01,103.2
2017-08-01,103.8
2017-09-01,104.6
2017-10-01,104.6
2017-11-01,105.1
2017-12-01,105.1
2018-01-01,106.2
2018-02-01,106.9
2018-03-01,108.3
2018-04-01,109.2
2018-05-01,111.3
2018-06-01,111.9
2018-07-01,111.8
2018-08-01,111.5
2018-09-01,111.7
2018-10-01,111.9
2018-11-01,110.4
2018-12-01,108.6
2019-01-01,108
2019-02-01,108.9
2019-03-01,110.2
2019-04-01,111.7
2019-05-01,111.9
2019-06-01,110.8
2019-07-01,111.3
2019-08-01,110.5
2019-09-01,110.1
2019-10-01,110
2019-11-01,109.7
2019-12-01,109.6
2020-01-01,109.9
2020-02-01,109.6
2020-03-01,108.5
2020-04-01,104.8
2020-05-01,105.5
2020-06-01,107.7
2020-07-01,109.6
2020-08-01,110.9
2020-09-01,112.1
2020-10-01,111.9
2020-11-01,111.3
2020-12-01,113.1
2021-01-01,115.4
2021-02-01,118.1
2021-03-01,121.5
2021-04-01,124.6
2021-05-01,128.9
2021-06-01,131.7
2021-07-01,131.881
2021-08-01,130.688
2021-09-01,130.905
2021-10-01,132.736
2021-11-01,134.859
2021-12-01,136.184
2022-01-01,141.176
2022-02-01,144.573
2022-03-01,148.947
2022-04-01,149.625
2022-05-01,152.008
2022-06-01,153.302
2022-07-01,151.684
2022-08-01,150.787
2022-09-01,150.422
2022-10-01,150.79
2022-11-01,149.858
2022-12-01,147.026
2023-01-01,148.767
2023-02-01,149.203
2023-03-01,149.558
2023-04-01,150.052
2023-05-01,150.114
2023-06-01,150.083
2023-07-01,150.456
2023-08-01,152.459
2023-09-01,153.054
2023-10-01,151.357
2023-11-01,151.054
