"Date","WPUID69115"
1973-01-01,42
1973-02-01,42.4
1973-03-01,43.2
1973-04-01,43.8
1973-05-01,44.3
1973-06-01,44.5
1973-07-01,44.4
1973-08-01,44.7
1973-09-01,45
1973-10-01,45.2
1973-11-01,45.7
1973-12-01,46.3
1974-01-01,47.3
1974-02-01,47.8
1974-03-01,49.4
1974-04-01,51
1974-05-01,52.8
1974-06-01,54
1974-07-01,55.5
1974-08-01,57.2
1974-09-01,57.8
1974-10-01,58.2
1974-11-01,58.6
1974-12-01,58.6
1975-01-01,59.2
1975-02-01,59.6
1975-03-01,59.6
1975-04-01,59.8
1975-05-01,60
1975-06-01,60
1975-07-01,60.1
1975-08-01,60.3
1975-09-01,60.4
1975-10-01,61
1975-11-01,61.1
1975-12-01,61.4
1976-01-01,61.9
1976-02-01,62.3
1976-03-01,62.7
1976-04-01,63.1
1976-05-01,63.3
1976-06-01,63.6
1976-07-01,64
1976-08-01,64.4
1976-09-01,64.8
1976-10-01,65
1976-11-01,65.1
1976-12-01,65.3
1977-01-01,65.6
1977-02-01,65.9
1977-03-01,66.4
1977-04-01,67
1977-05-01,67.3
1977-06-01,67.4
1977-07-01,68
1977-08-01,68.3
1977-09-01,68.8
1977-10-01,68.8
1977-11-01,68.8
1977-12-01,69
1978-01-01,69.6
1978-02-01,70.3
1978-03-01,70.8
1978-04-01,71.4
1978-05-01,71.9
1978-06-01,72.2
1978-07-01,72.7
1978-08-01,73.3
1978-09-01,73.7
1978-10-01,74.5
1978-11-01,74.9
1978-12-01,75.1
1979-01-01,76.1
1979-02-01,77
1979-03-01,78
1979-04-01,79.3
1979-05-01,79.8
1979-06-01,80.1
1979-07-01,81.1
1979-08-01,81.9
1979-09-01,82.6
1979-10-01,83.9
1979-11-01,84.2
1979-12-01,84.8
1980-01-01,87.1
1980-02-01,88.3
1980-03-01,88.8
1980-04-01,89.2
1980-05-01,89.4
1980-06-01,89.9
1980-07-01,90.4
1980-08-01,91.1
1980-09-01,91.3
1980-10-01,92
1980-11-01,92.3
1980-12-01,93.3
1981-01-01,94.6
1981-02-01,95.1
1981-03-01,95.8
1981-04-01,97
1981-05-01,97.4
1981-06-01,97.7
1981-07-01,98.4
1981-08-01,98.9
1981-09-01,99.2
1981-10-01,99.4
1981-11-01,99.4
1981-12-01,99.4
1982-01-01,99.8
1982-02-01,100.1
1982-03-01,100.1
1982-04-01,100.2
1982-05-01,100.4
1982-06-01,100
1982-07-01,99.8
1982-08-01,99.7
1982-09-01,100.1
1982-10-01,100
1982-11-01,99.9
1982-12-01,100
1983-01-01,100.2
1983-02-01,100.8
1983-03-01,100.8
1983-04-01,101
1983-05-01,101.3
1983-06-01,101.4
1983-07-01,101.8
1983-08-01,102
1983-09-01,102.3
1983-10-01,102.4
1983-11-01,102.6
1983-12-01,102.9
1984-01-01,103.3
1984-02-01,103.8
1984-03-01,104.4
1984-04-01,104.7
1984-05-01,104.8
1984-06-01,104.9
1984-07-01,104.9
1984-08-01,105.1
1984-09-01,105
1984-10-01,105
1984-11-01,105.1
1984-12-01,105.1
1985-01-01,105.2
1985-02-01,105.2
1985-03-01,105.2
1985-04-01,105.4
1985-05-01,105.5
1985-06-01,105.5
1985-07-01,105.4
1985-08-01,105.3
1985-09-01,105.1
1985-10-01,105
1985-11-01,104.9
1985-12-01,105
1986-01-01,104.9
1986-02-01,104.9
1986-03-01,105
1986-04-01,104.9
1986-05-01,104.8
1986-06-01,104.7
1986-07-01,104.8
1986-08-01,104.9
1986-09-01,105
1986-10-01,105.1
1986-11-01,105.1
1986-12-01,105.1
1987-01-01,105.6
1987-02-01,105.9
1987-03-01,106.2
1987-04-01,106.6
1987-05-01,107
1987-06-01,107.5
1987-07-01,107.9
1987-08-01,108.2
1987-09-01,108.7
1987-10-01,109.6
1987-11-01,110.1
1987-12-01,110.6
1988-01-01,111.8
1988-02-01,112.2
1988-03-01,112.9
1988-04-01,113.8
1988-05-01,114.4
1988-06-01,114.9
1988-07-01,115.7
1988-08-01,116.1
