"Date","PPIFES"
2010-04-01,99.9
2010-05-01,100.2
2010-06-01,100.1
2010-07-01,100.3
2010-08-01,100.3
2010-09-01,100.5
2010-10-01,100.6
2010-11-01,100.7
2010-12-01,100.8
2011-01-01,101.2
2011-02-01,101.5
2011-03-01,102
2011-04-01,102.3
2011-05-01,102.5
2011-06-01,102.7
2011-07-01,102.9
2011-08-01,103.3
2011-09-01,103.5
2011-10-01,103.2
2011-11-01,103.4
2011-12-01,103.4
2012-01-01,103.8
2012-02-01,104.1
2012-03-01,104.3
2012-04-01,104.6
2012-05-01,104.8
2012-06-01,104.7
2012-07-01,104.6
2012-08-01,104.5
2012-09-01,104.8
2012-10-01,104.9
2012-11-01,105.4
2012-12-01,105.5
2013-01-01,105.6
2013-02-01,105.6
2013-03-01,105.8
2013-04-01,106
2013-05-01,105.7
2013-06-01,106.1
2013-07-01,106.4
2013-08-01,106.4
2013-09-01,106.5
2013-10-01,106.7
2013-11-01,106.9
2013-12-01,106.9
2014-01-01,107.1
2014-02-01,107.3
2014-03-01,107.6
2014-04-01,107.6
2014-05-01,107.9
2014-06-01,107.9
2014-07-01,108.4
2014-08-01,108.4
2014-09-01,108.3
2014-10-01,108.7
2014-11-01,108.7
2014-12-01,108.9
2015-01-01,108.9
2015-02-01,108.5
2015-03-01,108.6
2015-04-01,108.6
2015-05-01,108.7
2015-06-01,109
2015-07-01,109.2
2015-08-01,109.2
2015-09-01,109.1
2015-10-01,108.9
2015-11-01,109
2015-12-01,109.2
2016-01-01,109.8
2016-02-01,109.8
2016-03-01,109.7
2016-04-01,109.9
2016-05-01,109.9
2016-06-01,110.3
2016-07-01,110.2
2016-08-01,110.2
2016-09-01,110.4
2016-10-01,110.5
2016-11-01,110.8
2016-12-01,110.9
2017-01-01,111.3
2017-02-01,111.2
2017-03-01,111.4
2017-04-01,111.9
2017-05-01,112.2
2017-06-01,112.3
2017-07-01,112.4
2017-08-01,112.6
2017-09-01,112.7
2017-10-01,113.2
2017-11-01,113.4
2017-12-01,113.4
2018-01-01,113.8
2018-02-01,114
2018-03-01,114.4
2018-04-01,114.5
2018-05-01,114.8
2018-06-01,115.3
2018-07-01,115.5
2018-08-01,115.5
2018-09-01,115.6
2018-10-01,116.4
2018-11-01,116.6
2018-12-01,116.7
2019-01-01,116.8
2019-02-01,116.8
2019-03-01,117
2019-04-01,117.5
2019-05-01,117.7
2019-06-01,117.7
2019-07-01,117.9
2019-08-01,118.3
2019-09-01,118
2019-10-01,118.2
2019-11-01,118
2019-12-01,118.3
2020-01-01,118.6
2020-02-01,118.2
2020-03-01,118.3
2020-04-01,117.9
2020-05-01,117.9
2020-06-01,118.1
2020-07-01,118.7
2020-08-01,118.9
2020-09-01,119.1
2020-10-01,119.7
2020-11-01,119.7
2020-12-01,119.8
2021-01-01,120.9
2021-02-01,121.3
2021-03-01,121.9
2021-04-01,123.2
2021-05-01,124.2
2021-06-01,125
2021-07-01,126.273
2021-08-01,127.246
2021-09-01,127.478
2021-10-01,128.026
2021-11-01,129.349
2021-12-01,130.242
2022-01-01,131.367
2022-02-01,132.074
2022-03-01,133.704
2022-04-01,134.272
2022-05-01,134.936
2022-06-01,135.399
2022-07-01,135.863
2022-08-01,136.415
2022-09-01,136.618
2022-10-01,136.887
2022-11-01,137.429
2022-12-01,137.692
2023-01-01,137.989
2023-02-01,138.243
2023-03-01,138.227
2023-04-01,138.51
2023-05-01,138.747
2023-06-01,138.825
2023-07-01,139.54
2023-08-01,139.806
2023-09-01,140.089
2023-10-01,140.081
2023-11-01,140.125
