"Date","WPUIP2312001"
2010-06-01,100
2010-07-01,99.9
2010-08-01,100.3
2010-09-01,100.1
2010-10-01,100.7
2010-11-01,101.2
2010-12-01,102
2011-01-01,103.3
2011-02-01,104.4
2011-03-01,106.7
2011-04-01,108.4
2011-05-01,109.6
2011-06-01,109.4
2011-07-01,109.9
2011-08-01,108.9
2011-09-01,109.3
2011-10-01,108.4
2011-11-01,108.3
2011-12-01,107.8
2012-01-01,108.5
2012-02-01,109
2012-03-01,110.4
2012-04-01,110.9
2012-05-01,110.4
2012-06-01,109.4
2012-07-01,108.6
2012-08-01,109.8
2012-09-01,111
2012-10-01,110.5
2012-11-01,109
2012-12-01,108.8
2013-01-01,109.3
2013-02-01,110.8
2013-03-01,110.6
2013-04-01,110.7
2013-05-01,110.7
2013-06-01,110.6
2013-07-01,110.6
2013-08-01,111.1
2013-09-01,110.9
2013-10-01,110.3
2013-11-01,109.6
2013-12-01,109.8
2014-01-01,110.5
2014-02-01,111.2
2014-03-01,111.8
2014-04-01,112.4
2014-05-01,112.4
2014-06-01,112.3
2014-07-01,112.4
2014-08-01,112.4
2014-09-01,112.1
2014-10-01,110.8
2014-11-01,109.7
2014-12-01,107.7
2015-01-01,105.4
2015-02-01,105.9
2015-03-01,106.6
2015-04-01,106.7
2015-05-01,108.1
2015-06-01,108.3
2015-07-01,108
2015-08-01,107.1
2015-09-01,105.4
2015-10-01,105.1
2015-11-01,104.6
2015-12-01,103.3
2016-01-01,102.5
2016-02-01,101.9
2016-03-01,102.6
2016-04-01,103.5
2016-05-01,104.6
2016-06-01,105.6
2016-07-01,105.5
2016-08-01,105.3
2016-09-01,105.4
2016-10-01,105.5
2016-11-01,104.9
2016-12-01,105.4
2017-01-01,106.6
2017-02-01,106.9
2017-03-01,107.1
2017-04-01,108.1
2017-05-01,108
2017-06-01,108
2017-07-01,107.8
2017-08-01,108.7
2017-09-01,109.8
2017-10-01,109.8
2017-11-01,110.4
2017-12-01,110.4
2018-01-01,111.6
2018-02-01,112.1
2018-03-01,113.4
2018-04-01,114.9
2018-05-01,117.2
2018-06-01,117.8
2018-07-01,118
2018-08-01,117.7
2018-09-01,118.1
2018-10-01,118.7
2018-11-01,117
2018-12-01,115
2019-01-01,114.1
2019-02-01,115.2
2019-03-01,116.5
2019-04-01,118.2
2019-05-01,118.3
2019-06-01,116.8
2019-07-01,117.8
2019-08-01,116.5
2019-09-01,116.1
2019-10-01,116.1
2019-11-01,115.9
2019-12-01,115.8
2020-01-01,116.2
2020-02-01,115.5
2020-03-01,113.9
2020-04-01,109.1
2020-05-01,109.9
2020-06-01,112.5
2020-07-01,114.5
2020-08-01,115.8
2020-09-01,116.7
2020-10-01,116.4
2020-11-01,116.3
2020-12-01,118.3
2021-01-01,121.4
2021-02-01,124.3
2021-03-01,128.6
2021-04-01,131.5
2021-05-01,136.8
2021-06-01,140.5
2021-07-01,140.983
2021-08-01,139.797
2021-09-01,140.359
2021-10-01,142.709
2021-11-01,145.028
2021-12-01,146.479
2022-01-01,151.852
2022-02-01,156.358
2022-03-01,162.112
2022-04-01,162.97
2022-05-01,166.15
2022-06-01,168.361
2022-07-01,165.064
2022-08-01,163.12
2022-09-01,162.723
2022-10-01,163.24
2022-11-01,161.884
2022-12-01,157.458
2023-01-01,159.932
2023-02-01,160.369
2023-03-01,160.808
2023-04-01,161.332
2023-05-01,160.157
2023-06-01,160.238
2023-07-01,160.701
2023-08-01,163.363
2023-09-01,163.954
2023-10-01,161.762
2023-11-01,161.289
