"Date","WPU01830171"
2011-12-01,100
2012-01-01,101.3
2012-02-01,107.8
2012-03-01,117.8
2012-04-01,120.9
2012-05-01,120.4
2012-06-01,119.1
2012-07-01,115.7
2012-08-01,110
2012-09-01,117.4
2012-10-01,115.7
2012-11-01,116.1
2012-12-01,120.9
2013-01-01,116.5
2013-02-01,120.9
2013-03-01,118.7
2013-04-01,119.6
2013-05-01,122.6
2013-06-01,119.1
2013-07-01,113.9
2013-08-01,96.5
2013-09-01,90
2013-10-01,91.3
2013-11-01,88.7
2013-12-01,92.2
2014-01-01,80
2014-02-01,80.4
2014-03-01,80
2014-04-01,83.9
2014-05-01,94.3
2014-06-01,90.9
2014-07-01,90
2014-08-01,77.4
2014-09-01,70.4
2014-10-01,67.8
2014-11-01,74.3
2014-12-01,72.2
2015-01-01,77.4
2015-02-01,74.8
2015-03-01,74.8
2015-04-01,73.8
2015-05-01,75.9
2015-06-01,81.4
2015-07-01,79.8
2015-08-01,73.6
2015-09-01,66
2015-10-01,69.3
2015-11-01,67.3
2015-12-01,68.8
2016-01-01,68.4
2016-02-01,66.5
2016-03-01,75.3
2016-04-01,76.1
2016-05-01,83.5
2016-06-01,83.4
2016-07-01,73.3
2016-08-01,69.6
2016-09-01,65.5
2016-10-01,71.4
2016-11-01,76.7
2016-12-01,79.5
2017-01-01,77.5
2017-02-01,80.8
2017-03-01,77.7
2017-04-01,78.2
2017-05-01,80.6
2017-06-01,81.5
2017-07-01,86
2017-08-01,78.2
2017-09-01,79.3
2017-10-01,79.8
2017-11-01,80.7
2017-12-01,79.2
2018-01-01,82
2018-02-01,82.2
2018-03-01,82.5
2018-04-01,86.7
2018-05-01,86.1
2018-06-01,82.9
2018-07-01,74.4
2018-08-01,72.8
2018-09-01,70.7
2018-10-01,73.3
2018-11-01,72.7
2018-12-01,73.4
2019-01-01,73.5
2019-02-01,75
2019-03-01,72
2019-04-01,71.8
2019-05-01,68.1
2019-06-01,68.8
2019-07-01,65.6
2019-08-01,64.6
2019-09-01,63.3
2019-10-01,67.2
2019-11-01,69.2
2019-12-01,69.9
2020-01-01,74.2
2020-02-01,69.1
2020-03-01,67.8
2020-04-01,66.5
2020-05-01,68.5
2020-06-01,73.1
2020-07-01,68.9
2020-08-01,71
2020-09-01,77.8
2020-10-01,80.3
2020-11-01,86.9
2020-12-01,91.1
2021-01-01,103.2
2021-02-01,107.1
2021-03-01,127.1
2021-04-01,135.3
2021-05-01,153.4
2021-06-01,124.3
2021-07-01,156.592
2021-08-01,151.301
2021-09-01,139.694
2021-10-01,147.504
2021-11-01,162.393
2021-12-01,159.079
2022-01-01,167.928
2022-02-01,159.079
2022-03-01,159.474
2022-04-01,186.692
2022-05-01,185.3
2022-06-01,184.035
2022-07-01,140.177
2022-08-01,135.625
2022-09-01,123.088
2022-10-01,126.843
2022-11-01,138.163
2022-12-01,132.021
2023-01-01,131.91
2023-02-01,129.535
2023-03-01,117.944
2023-04-01,118.999
2023-05-01,117.353
2023-06-01,113.155
2023-07-01,123.264
2023-08-01,116.918
2023-09-01,111.203
2023-10-01,106.811
2023-11-01,109.653
