"Date","WPSID6122"
2009-11-01,100.1
2009-12-01,100.1
2010-01-01,100.3
2010-02-01,100.5
2010-03-01,100.9
2010-04-01,101.2
2010-05-01,101.5
2010-06-01,101.6
2010-07-01,101.7
2010-08-01,101.8
2010-09-01,101.8
2010-10-01,102
2010-11-01,102.1
2010-12-01,102.5
2011-01-01,103.2
2011-02-01,103.8
2011-03-01,104.6
2011-04-01,105.3
2011-05-01,105.9
2011-06-01,106.6
2011-07-01,107
2011-08-01,107
2011-09-01,107
2011-10-01,107.2
2011-11-01,107.1
2011-12-01,107.1
2012-01-01,107.5
2012-02-01,108.5
2012-03-01,108.5
2012-04-01,108.8
2012-05-01,109
2012-06-01,108.9
2012-07-01,108.4
2012-08-01,108.7
2012-09-01,108.9
2012-10-01,109.1
2012-11-01,109.3
2012-12-01,109.4
2013-01-01,109.6
2013-02-01,109.8
2013-03-01,109.5
2013-04-01,109.4
2013-05-01,109.4
2013-06-01,109.4
2013-07-01,109.6
2013-08-01,109.8
2013-09-01,109.6
2013-10-01,109.6
2013-11-01,109.9
2013-12-01,110
2014-01-01,110.5
2014-02-01,110.7
2014-03-01,110.9
2014-04-01,111.1
2014-05-01,111.2
2014-06-01,111
2014-07-01,111.2
2014-08-01,111.4
2014-09-01,111.5
2014-10-01,111.7
2014-11-01,111.7
2014-12-01,111.8
2015-01-01,111.9
2015-02-01,112
2015-03-01,112.2
2015-04-01,112.2
2015-05-01,112.3
2015-06-01,112.3
2015-07-01,112.1
2015-08-01,111.7
2015-09-01,111.7
2015-10-01,111.7
2015-11-01,111.7
2015-12-01,111.4
2016-01-01,111.2
2016-02-01,111.2
2016-03-01,111.1
2016-04-01,111.1
2016-05-01,111.4
2016-06-01,111.8
2016-07-01,112.1
2016-08-01,112.4
2016-09-01,112.5
2016-10-01,112.3
2016-11-01,112.3
2016-12-01,112.5
2017-01-01,113
2017-02-01,113.3
2017-03-01,113.5
2017-04-01,113.8
2017-05-01,114
2017-06-01,114.1
2017-07-01,113.8
2017-08-01,114.5
2017-09-01,114.9
2017-10-01,115.2
2017-11-01,115.8
2017-12-01,115.8
2018-01-01,116.5
2018-02-01,116.7
2018-03-01,118.3
2018-04-01,118.9
2018-05-01,120.1
2018-06-01,120.2
2018-07-01,120.7
2018-08-01,121.2
2018-09-01,121.6
2018-10-01,122.2
2018-11-01,122.5
2018-12-01,122.9
2019-01-01,123.4
2019-02-01,123.6
2019-03-01,123.4
2019-04-01,123.5
2019-05-01,123.3
2019-06-01,123.2
2019-07-01,124
2019-08-01,123.3
2019-09-01,123.3
2019-10-01,123.4
2019-11-01,123.3
2019-12-01,123.5
2020-01-01,123.6
2020-02-01,123.6
2020-03-01,124.2
2020-04-01,123.9
2020-05-01,123.8
2020-06-01,123.8
2020-07-01,123.8
2020-08-01,124.4
2020-09-01,125
2020-10-01,125.6
2020-11-01,126.2
2020-12-01,126.9
2021-01-01,127.9
2021-02-01,130
2021-03-01,133.2
2021-04-01,136.8
2021-05-01,140
2021-06-01,144.7
2021-07-01,148.655
2021-08-01,152.2
2021-09-01,154.438
2021-10-01,157.14
2021-11-01,160.456
2021-12-01,163.053
2022-01-01,165.916
2022-02-01,168.015
2022-03-01,170.535
2022-04-01,173.175
2022-05-01,175.424
2022-06-01,176.974
2022-07-01,177.769
2022-08-01,178.221
2022-09-01,177.983
2022-10-01,178.042
2022-11-01,177.272
2022-12-01,177.204
2023-01-01,178.161
2023-02-01,177.848
2023-03-01,178.955
2023-04-01,179.006
2023-05-01,178.054
2023-06-01,177.777
2023-07-01,177.967
2023-08-01,178.097
2023-09-01,178.381
2023-10-01,178.896
2023-11-01,179.299
