"Date","INDUSTOT"
1990-12-01,89.8
1991-01-01,NA
1991-02-01,NA
1991-03-01,89.6
1991-04-01,NA
1991-05-01,NA
1991-06-01,87.9
1991-07-01,NA
1991-08-01,NA
1991-09-01,87.9
1991-10-01,NA
1991-11-01,NA
1991-12-01,88.9
1992-01-01,NA
1992-02-01,NA
1992-03-01,89.2
1992-04-01,NA
1992-05-01,NA
1992-06-01,89.6
1992-07-01,NA
1992-08-01,NA
1992-09-01,90.9
1992-10-01,91.7
1992-11-01,91.1
1992-12-01,90.1
1993-01-01,90.1
1993-02-01,90.1
1993-03-01,90.5
1993-04-01,90.9
1993-05-01,91.4
1993-06-01,91.4
1993-07-01,91.5
1993-08-01,91.3
1993-09-01,91.5
1993-10-01,92.2
1993-11-01,92.2
1993-12-01,91.7
1994-01-01,91.8
1994-02-01,91.9
1994-03-01,92.3
1994-04-01,92.6
1994-05-01,93
1994-06-01,93.4
1994-07-01,94
1994-08-01,94.7
1994-09-01,94.8
1994-10-01,95.5
1994-11-01,96.1
1994-12-01,96.1
1995-01-01,96.2
1995-02-01,96.8
1995-03-01,97.4
1995-04-01,98.8
1995-05-01,99.9
1995-06-01,99.8
1995-07-01,100.2
1995-08-01,100.2
1995-09-01,100
1995-10-01,99.6
1995-11-01,100
1995-12-01,100
1996-01-01,100
1996-02-01,99.7
1996-03-01,99.7
1996-04-01,99.9
1996-05-01,99.3
1996-06-01,98.8
1996-07-01,98.7
1996-08-01,98.8
1996-09-01,99.3
1996-10-01,99.2
1996-11-01,99.1
1996-12-01,99.4
1997-01-01,99.5
1997-02-01,98.5
1997-03-01,97.4
1997-04-01,96.6
1997-05-01,96.4
1997-06-01,96.5
1997-07-01,96.4
1997-08-01,96.7
1997-09-01,96.4
1997-10-01,96.4
1997-11-01,96.5
1997-12-01,96.1
1998-01-01,95.1
1998-02-01,94.6
1998-03-01,94.6
1998-04-01,94.5
1998-05-01,94.7
1998-06-01,94
1998-07-01,93.7
1998-08-01,93.4
1998-09-01,93.3
1998-10-01,93.7
1998-11-01,94.2
1998-12-01,93.8
1999-01-01,94.2
1999-02-01,94.3
1999-03-01,94.1
1999-04-01,94.4
1999-05-01,94.9
1999-06-01,94.8
1999-07-01,95.2
1999-08-01,95.7
1999-09-01,96.4
1999-10-01,96.8
1999-11-01,97.5
1999-12-01,97.5
2000-01-01,98
2000-02-01,99.2
2000-03-01,99.5
2000-04-01,99.3
2000-05-01,99.3
2000-06-01,100.1
2000-07-01,100.6
2000-08-01,100.5
2000-09-01,100.9
2000-10-01,100.8
2000-11-01,100.4
2000-12-01,101.4
2001-01-01,103.6
2001-02-01,102.4
2001-03-01,100.2
2001-04-01,99.7
2001-05-01,99.3
2001-06-01,99
2001-07-01,97.4
2001-08-01,96.8
2001-09-01,96.5
2001-10-01,95.3
2001-11-01,94.6
2001-12-01,93.7
2002-01-01,93.8
2002-02-01,93.7
2002-03-01,94.3
2002-04-01,95.5
2002-05-01,95.5
2002-06-01,95.7
2002-07-01,96.3
2002-08-01,96.7
2002-09-01,96.9
2002-10-01,96.9
2002-11-01,96.5
2002-12-01,96.7
2003-01-01,97.7
2003-02-01,99.1
2003-03-01,100
2003-04-01,98.1
2003-05-01,97.5
2003-06-01,98.4
2003-07-01,98.8
2003-08-01,98.6
2003-09-01,98.6
2003-10-01,98.9
2003-11-01,99.4
2003-12-01,100
2004-01-01,101.5
2004-02-01,102.9
2004-03-01,103.4
2004-04-01,103.9
2004-05-01,104.5
2004-06-01,104.7
2004-07-01,104.9
2004-08-01,106.2
2004-09-01,106.3
2004-10-01,106.9
2004-11-01,107.7
2004-12-01,107.5
2005-01-01,107.9
2005-02-01,108.5
2005-03-01,109.7
2005-04-01,110.2
2005-05-01,109.4
2005-06-01,110
2005-07-01,111.1
2005-08-01,111.6
2005-09-01,113.5
2005-10-01,115.6
2005-11-01,114.7
2005-12-01,114.1
2006-01-01,114.6
2006-02-01,114
2006-03-01,113.5
2006-04-01,114.7
2006-05-01,116.9
2006-06-01,117.4
2006-07-01,117.1
2006-08-01,117.7
2006-09-01,117
2006-10-01,114.4
2006-11-01,115.9
2006-12-01,116.4
2007-01-01,116.3
2007-02-01,116.4
2007-03-01,117.9
2007-04-01,117.9
2007-05-01,118.7
2007-06-01,119.7
2007-07-01,120.4
2007-08-01,120.2
2007-09-01,120.4
2007-10-01,121.2
2007-11-01,124.1
2007-12-01,124.2
2008-01-01,126.7
2008-02-01,127.8
2008-03-01,130.9
2008-04-01,134.6
2008-05-01,137
2008-06-01,139.6
2008-07-01,141.7
2008-08-01,139.5
2008-09-01,135.1
2008-10-01,129.8
2008-11-01,122.7
2008-12-01,119.1
2009-01-01,118.4
2009-02-01,117.8
2009-03-01,117.5
