"Date","UKTOT"
2003-12-01,100
2004-01-01,101.3
2004-02-01,101.9
2004-03-01,103.2
2004-04-01,102.4
2004-05-01,103.2
2004-06-01,103.2
2004-07-01,104.5
2004-08-01,106.2
2004-09-01,107.1
2004-10-01,108.5
2004-11-01,108.9
2004-12-01,108.2
2005-01-01,107.7
2005-02-01,108.2
2005-03-01,110.6
2005-04-01,111.6
2005-05-01,110.3
2005-06-01,111
2005-07-01,113.1
2005-08-01,113.4
2005-09-01,115.1
2005-10-01,115.5
2005-11-01,113.3
2005-12-01,112.7
2006-01-01,115.6
2006-02-01,115.8
2006-03-01,115.8
2006-04-01,117.6
2006-05-01,118.3
2006-06-01,119.9
2006-07-01,119.5
2006-08-01,117.5
2006-09-01,119
2006-10-01,116.5
2006-11-01,115.4
2006-12-01,115.7
2007-01-01,115.1
2007-02-01,116.2
2007-03-01,117.5
2007-04-01,118.5
2007-05-01,119.6
2007-06-01,120.5
2007-07-01,122.4
2007-08-01,120.8
2007-09-01,123.3
2007-10-01,122.9
2007-11-01,124.7
2007-12-01,126.5
2008-01-01,129
2008-02-01,131.8
2008-03-01,136.2
2008-04-01,137.7
2008-05-01,140.9
2008-06-01,142.5
2008-07-01,144.4
2008-08-01,139.8
2008-09-01,133.9
2008-10-01,128.6
2008-11-01,121.6
2008-12-01,118.5
2009-01-01,118.4
2009-02-01,117.8
2009-03-01,118.2
2009-04-01,118.6
2009-05-01,119
2009-06-01,120.8
2009-07-01,120.9
2009-08-01,121.6
2009-09-01,121.8
2009-10-01,123
2009-11-01,123.7
2009-12-01,124.8
2010-01-01,125
2010-02-01,124.8
2010-03-01,125.8
2010-04-01,125.9
2010-05-01,126
2010-06-01,125.2
2010-07-01,124.8
2010-08-01,125.6
2010-09-01,126
2010-10-01,126.5
2010-11-01,127.3
2010-12-01,128.4
2011-01-01,130.5
2011-02-01,131.1
2011-03-01,132.6
2011-04-01,134
2011-05-01,134.1
2011-06-01,135.2
2011-07-01,134.4
2011-08-01,134.1
2011-09-01,133.6
2011-10-01,133.1
2011-11-01,132.9
2011-12-01,132.4
2012-01-01,133.6
2012-02-01,134.8
2012-03-01,136.6
2012-04-01,136.6
2012-05-01,135
2012-06-01,132.2
2012-07-01,132
2012-08-01,134
2012-09-01,134.5
2012-10-01,135.1
2012-11-01,134.3
2012-12-01,132.5
2013-01-01,133.3
2013-02-01,133.4
2013-03-01,129
2013-04-01,128.1
2013-05-01,127.7
2013-06-01,127.7
2013-07-01,127.6
2013-08-01,127.6
2013-09-01,128.5
2013-10-01,128.8
2013-11-01,129.3
2013-12-01,129.1
2014-01-01,129.5
2014-02-01,129.3
2014-03-01,129.6
2014-04-01,130.5
2014-05-01,131.1
2014-06-01,131.3
2014-07-01,132.2
2014-08-01,132.1
2014-09-01,131.8
2014-10-01,130.8
2014-11-01,127.2
2014-12-01,127.3
2015-01-01,120
2015-02-01,121.9
2015-03-01,121.9
2015-04-01,121.4
2015-05-01,121.6
2015-06-01,121.7
2015-07-01,121.6
2015-08-01,121.1
2015-09-01,121.1
2015-10-01,121
2015-11-01,120.4
2015-12-01,119.5
2016-01-01,121.8
2016-02-01,121.4
2016-03-01,118.3
2016-04-01,118.4
2016-05-01,118.8
2016-06-01,118.8
2016-07-01,118.7
2016-08-01,118.8
2016-09-01,118.2
2016-10-01,118
2016-11-01,117.6
2016-12-01,117.5
2017-01-01,117.5
2017-02-01,117.7
2017-03-01,117.7
2017-04-01,117.1
2017-05-01,117.2
2017-06-01,117.6
2017-07-01,117.6
2017-08-01,117.9
2017-09-01,118.3
2017-10-01,118.6
2017-11-01,119
2017-12-01,119.1
2018-01-01,120.1
2018-02-01,120.6
2018-03-01,121.1
2018-04-01,121.5
2018-05-01,122.2
2018-06-01,122.6
2018-07-01,122.1
2018-08-01,121.7
2018-09-01,121.4
2018-10-01,122.3
2018-11-01,120.7
2018-12-01,120.2
2019-01-01,120.5
2019-02-01,120.5
2019-03-01,121.2
2019-04-01,121.9
2019-05-01,122
2019-06-01,121.2
2019-07-01,121.9
2019-08-01,121.4
2019-09-01,121.7
2019-10-01,122.1
2019-11-01,122.3
2019-12-01,122.5
2020-01-01,122.9
2020-02-01,123.8
2020-03-01,124.3
2020-04-01,118.3
2020-05-01,119.1
2020-06-01,119.2
2020-07-01,119.5
2020-08-01,120
2020-09-01,121.4
2020-10-01,121.8
2020-11-01,121.8
2020-12-01,123.6
2021-01-01,125.5
2021-02-01,127.2
2021-03-01,130.3
2021-04-01,129.9
2021-05-01,131.5
2021-06-01,130.3
2021-07-01,129.4
2021-08-01,130.2
2021-09-01,129.6
2021-10-01,129.6
2021-11-01,130.5
2021-12-01,131
2022-01-01,133.2
2022-02-01,134.2
2022-03-01,138.5
2022-04-01,136.9
2022-05-01,138.2
2022-06-01,139
2022-07-01,137.7
2022-08-01,136.4
2022-09-01,134.4
2022-10-01,134.8
2022-11-01,132.3
2022-12-01,134.9
2023-01-01,137.2
2023-02-01,135.8
2023-03-01,134.4
2023-04-01,136.8
2023-05-01,135.9
2023-06-01,135.5
2023-07-01,136.1
2023-08-01,136.4
2023-09-01,137.6
2023-10-01,137
2023-11-01,136.5
