"Date","WPU584101"
2009-03-01,100
2009-04-01,97.4
2009-05-01,98.6
2009-06-01,93
2009-07-01,93.3
2009-08-01,88.2
2009-09-01,87.3
2009-10-01,86.4
2009-11-01,88.1
2009-12-01,89.2
2010-01-01,92
2010-02-01,97.4
2010-03-01,94.1
2010-04-01,91
2010-05-01,88.4
2010-06-01,85.9
2010-07-01,90.7
2010-08-01,86.9
2010-09-01,84.4
2010-10-01,87.5
2010-11-01,92.3
2010-12-01,88.4
2011-01-01,87.4
2011-02-01,84.6
2011-03-01,83.2
2011-04-01,86
2011-05-01,83.9
2011-06-01,79.8
2011-07-01,79.7
2011-08-01,85.3
2011-09-01,89.8
2011-10-01,91
2011-11-01,91.2
2011-12-01,89.5
2012-01-01,90.5
2012-02-01,90.9
2012-03-01,89.1
2012-04-01,87.9
2012-05-01,86.5
2012-06-01,87.1
2012-07-01,88.4
2012-08-01,89.2
2012-09-01,88.5
2012-10-01,88.3
2012-11-01,89.6
2012-12-01,93.4
2013-01-01,94.2
2013-02-01,91.9
2013-03-01,90.1
2013-04-01,90.5
2013-05-01,85.3
2013-06-01,90.4
2013-07-01,87.8
2013-08-01,91.1
2013-09-01,91.9
2013-10-01,87.1
2013-11-01,90.1
2013-12-01,87.9
2014-01-01,86.1
2014-02-01,87.3
2014-03-01,85.7
2014-04-01,90.9
2014-05-01,94.8
2014-06-01,89.4
2014-07-01,89.3
2014-08-01,91
2014-09-01,87.6
2014-10-01,93
2014-11-01,92.2
2014-12-01,93.6
2015-01-01,91.2
2015-02-01,94.1
2015-03-01,90.2
2015-04-01,92.7
2015-05-01,93.1
2015-06-01,93.1
2015-07-01,103.8
2015-08-01,98.9
2015-09-01,104.7
2015-10-01,102.9
2015-11-01,100.6
2015-12-01,101.7
2016-01-01,103.3
2016-02-01,104.2
2016-03-01,97.7
2016-04-01,99
2016-05-01,97.4
2016-06-01,92.5
2016-07-01,94.4
2016-08-01,94.2
2016-09-01,94.4
2016-10-01,94.8
2016-11-01,94.3
2016-12-01,93.2
2017-01-01,91.6
2017-02-01,95.4
2017-03-01,97.8
2017-04-01,94.1
2017-05-01,95.1
2017-06-01,92.6
2017-07-01,93.6
2017-08-01,91.6
2017-09-01,91.2
2017-10-01,91.3
2017-11-01,90.9
2017-12-01,89.7
2018-01-01,88.5
2018-02-01,92.4
2018-03-01,93.6
2018-04-01,94.4
2018-05-01,93.9
2018-06-01,93.9
2018-07-01,93.1
2018-08-01,93.1
2018-09-01,94.1
2018-10-01,96.8
2018-11-01,92.2
2018-12-01,92.9
2019-01-01,93.4
2019-02-01,98.2
2019-03-01,99.6
2019-04-01,96.6
2019-05-01,97.2
2019-06-01,96.2
2019-07-01,95.2
2019-08-01,95.4
2019-09-01,94
2019-10-01,95.7
2019-11-01,92.7
2019-12-01,93.3
2020-01-01,93.6
2020-02-01,94.3
2020-03-01,97.3
2020-04-01,99.1
2020-05-01,101.6
2020-06-01,101.3
2020-07-01,100
2020-08-01,99.1
2020-09-01,99.5
2020-10-01,98.8
2020-11-01,97
2020-12-01,97.6
2021-01-01,97.1
2021-02-01,97.3
2021-03-01,97.4
2021-04-01,99
2021-05-01,96.2
2021-06-01,95.9
2021-07-01,96.378
2021-08-01,94.44
2021-09-01,95.278
2021-10-01,98.639
2021-11-01,90.489
2021-12-01,94.915
2022-01-01,100.448
2022-02-01,101.272
2022-03-01,101.841
2022-04-01,101.442
2022-05-01,98.395
2022-06-01,105.271
2022-07-01,102.579
2022-08-01,97.349
2022-09-01,97.656
2022-10-01,98.474
2022-11-01,92.351
2022-12-01,92.947
2023-01-01,91.453
2023-02-01,77.606
2023-03-01,79.346
2023-04-01,77.503
2023-05-01,77.063
2023-06-01,75.74
2023-07-01,75.609
2023-08-01,75.361
2023-09-01,76.435
2023-10-01,74.447
2023-11-01,74.339
