"Date","PPIDGS"
2009-11-01,100.5
2009-12-01,100.9
2010-01-01,102
2010-02-01,101.4
2010-03-01,102.1
2010-04-01,102.3
2010-05-01,102.3
2010-06-01,101.9
2010-07-01,102
2010-08-01,102.6
2010-09-01,103
2010-10-01,104.1
2010-11-01,104.7
2010-12-01,105.7
2011-01-01,106.7
2011-02-01,108
2011-03-01,108.8
2011-04-01,109.9
2011-05-01,110.4
2011-06-01,110.2
2011-07-01,110.6
2011-08-01,110.3
2011-09-01,111.1
2011-10-01,110.7
2011-11-01,111
2011-12-01,110.8
2012-01-01,111.2
2012-02-01,111.6
2012-03-01,111.9
2012-04-01,111.8
2012-05-01,111
2012-06-01,110.3
2012-07-01,110.5
2012-08-01,111.8
2012-09-01,112.8
2012-10-01,112.9
2012-11-01,112.3
2012-12-01,112.1
2013-01-01,112.7
2013-02-01,113.4
2013-03-01,112.8
2013-04-01,112
2013-05-01,112.3
2013-06-01,112.3
2013-07-01,112.3
2013-08-01,112.6
2013-09-01,112.4
2013-10-01,112.5
2013-11-01,112.7
2013-12-01,113.2
2014-01-01,113.9
2014-02-01,114.2
2014-03-01,114.5
2014-04-01,115
2014-05-01,114.6
2014-06-01,114.6
2014-07-01,114.5
2014-08-01,114.5
2014-09-01,114.2
2014-10-01,113.6
2014-11-01,113.1
2014-12-01,111.6
2015-01-01,109.6
2015-02-01,109.3
2015-03-01,109.5
2015-04-01,108.8
2015-05-01,109.9
2015-06-01,110.4
2015-07-01,110.3
2015-08-01,109.7
2015-09-01,108.5
2015-10-01,108.1
2015-11-01,108
2015-12-01,107.3
2016-01-01,106.8
2016-02-01,106.1
2016-03-01,106.4
2016-04-01,106.7
2016-05-01,107.3
2016-06-01,108.1
2016-07-01,108
2016-08-01,107.7
2016-09-01,108.1
2016-10-01,108.5
2016-11-01,108.4
2016-12-01,109.3
2017-01-01,110.2
2017-02-01,110.6
2017-03-01,110.7
2017-04-01,111.1
2017-05-01,110.3
2017-06-01,110.3
2017-07-01,110.4
2017-08-01,111
2017-09-01,111.8
2017-10-01,112.2
2017-11-01,112.9
2017-12-01,113.3
2018-01-01,113.7
2018-02-01,114.1
2018-03-01,114.2
2018-04-01,114.3
2018-05-01,114.9
2018-06-01,115.1
2018-07-01,115.2
2018-08-01,115.4
2018-09-01,115.7
2018-10-01,116.5
2018-11-01,115.9
2018-12-01,115.2
2019-01-01,114.3
2019-02-01,114.8
2019-03-01,115.5
2019-04-01,116.2
2019-05-01,115.8
2019-06-01,115.2
2019-07-01,115.5
2019-08-01,115.2
2019-09-01,115.1
2019-10-01,115.8
2019-11-01,116.1
2019-12-01,116.5
2020-01-01,116.6
2020-02-01,115.5
2020-03-01,113.4
2020-04-01,110.3
2020-05-01,111.9
2020-06-01,112.3
2020-07-01,113
2020-08-01,113.4
2020-09-01,114
2020-10-01,114.6
2020-11-01,115.2
2020-12-01,116.5
2021-01-01,118.1
2021-02-01,119.7
2021-03-01,121.1
2021-04-01,122.2
2021-05-01,123.8
2021-06-01,125.3
2021-07-01,126.424
2021-08-01,127.81
2021-09-01,129.478
2021-10-01,131.072
2021-11-01,132.53
2021-12-01,132.741
2022-01-01,134.616
2022-02-01,137.137
2022-03-01,140.095
2022-04-01,142.034
2022-05-01,143.996
2022-06-01,146.955
2022-07-01,144.667
2022-08-01,143.479
2022-09-01,144.153
2022-10-01,144.785
2022-11-01,145.193
2022-12-01,143.188
2023-01-01,145.005
2023-02-01,144.417
2023-03-01,142.855
2023-04-01,143.056
2023-05-01,140.921
2023-06-01,140.888
2023-07-01,141.248
2023-08-01,143.963
2023-09-01,145.155
2023-10-01,143.102
2023-11-01,143.091
