"Date","WPS022101"
1974-01-01,75.5
1974-02-01,71.2
1974-03-01,65.9
1974-04-01,63.7
1974-05-01,61.8
1974-06-01,55.3
1974-07-01,65
1974-08-01,70.4
1974-09-01,64.6
1974-10-01,62.9
1974-11-01,61.1
1974-12-01,58
1975-01-01,61.3
1975-02-01,58.7
1975-03-01,58.6
1975-04-01,67.7
1975-05-01,74.5
1975-06-01,78.8
1975-07-01,78.8
1975-08-01,76.6
1975-09-01,78.4
1975-10-01,77
1975-11-01,75.4
1975-12-01,76.6
1976-01-01,71
1976-02-01,68.3
1976-03-01,62.3
1976-04-01,69.9
1976-05-01,63.1
1976-06-01,61.5
1976-07-01,58.2
1976-08-01,59.3
1976-09-01,60.4
1976-10-01,61.6
1976-11-01,64.5
1976-12-01,64.9
1977-01-01,63.7
1977-02-01,62.5
1977-03-01,61
1977-04-01,61.2
1977-05-01,62.8
1977-06-01,60.8
1977-07-01,63.9
1977-08-01,65.6
1977-09-01,64
1977-10-01,68.1
1977-11-01,68.7
1977-12-01,70.1
1978-01-01,70.4
1978-02-01,75.6
1978-03-01,78.2
1978-04-01,83
1978-05-01,83.7
1978-06-01,88.5
1978-07-01,85.6
1978-08-01,80.8
1978-09-01,86
1978-10-01,87
1978-11-01,82.7
1978-12-01,88.5
1979-01-01,97.2
1979-02-01,99.7
1979-03-01,104.1
1979-04-01,108.6
1979-05-01,102.5
1979-06-01,101.4
1979-07-01,99.4
1979-08-01,95.9
1979-09-01,105.2
1979-10-01,104
1979-11-01,108.7
1979-12-01,108.5
1980-01-01,105.2
1980-02-01,106.7
1980-03-01,105.4
1980-04-01,99.8
1980-05-01,98.3
1980-06-01,103.2
1980-07-01,107.5
1980-08-01,114
1980-09-01,108.6
1980-10-01,111
1980-11-01,108.2
1980-12-01,107.2
1981-01-01,105
1981-02-01,100.1
1981-03-01,98.2
1981-04-01,97.7
1981-05-01,98.8
1981-06-01,100.2
1981-07-01,102.8
1981-08-01,103
1981-09-01,103.8
1981-10-01,102.1
1981-11-01,99.8
1981-12-01,97.9
1982-01-01,98.4
1982-02-01,99.8
1982-03-01,100.6
1982-04-01,102.5
1982-05-01,104.8
1982-06-01,107.2
1982-07-01,101.4
1982-08-01,100.3
1982-09-01,99
1982-10-01,96.1
1982-11-01,96
1982-12-01,94.2
1983-01-01,94.8
1983-02-01,95.6
1983-03-01,98
1983-04-01,102.1
1983-05-01,99.6
1983-06-01,99.3
1983-07-01,96.6
1983-08-01,95.3
1983-09-01,92.8
1983-10-01,93.9
1983-11-01,91.3
1983-12-01,97
1984-01-01,98.7
1984-02-01,100.4
1984-03-01,101.1
1984-04-01,97.8
1984-05-01,94
1984-06-01,92.7
1984-07-01,95.7
1984-08-01,96.3
1984-09-01,95.2
1984-10-01,93.7
1984-11-01,96.9
1984-12-01,97.3
1985-01-01,94.8
1985-02-01,94.8
1985-03-01,91.2
1985-04-01,88.6
1985-05-01,87.9
1985-06-01,88.6
1985-07-01,86.2
1985-08-01,85.6
1985-09-01,83.1
1985-10-01,90.4
1985-11-01,94.9
1985-12-01,97
1986-01-01,90
1986-02-01,86.2
1986-03-01,84.5
1986-04-01,81.5
1986-05-01,85.6
1986-06-01,84.6
1986-07-01,88.2
1986-08-01,92.6
1986-09-01,90.5
1986-10-01,92
1986-11-01,91.8
1986-12-01,90.4
1987-01-01,88.1
1987-02-01,91.2
1987-03-01,90.6
1987-04-01,96.7
1987-05-01,100.2
1987-06-01,100.8
1987-07-01,100.5
1987-08-01,97.5
1987-09-01,97.2
1987-10-01,96.2
1987-11-01,93.4
1987-12-01,93.8
1988-01-01,96.9
1988-02-01,97.2
1988-03-01,100.2
1988-04-01,99.4
1988-05-01,99.7
1988-06-01,101.8
1988-07-01,101.3
1988-08-01,100.4
1988-09-01,105.7
1988-10-01,103.9
1988-11-01,105.3
1988-12-01,106.2
1989-01-01,107.6
1989-02-01,108.5
1989-03-01,109.3
1989-04-01,109.3
1989-05-01,108.1
1989-06-01,105.3
1989-07-01,108.5
1989-08-01,111.2
1989-09-01,109.5
1989-10-01,107.3
1989-11-01,110.7
1989-12-01,112.4
1990-01-01,113.1
1990-02-01,113.2
1990-03-01,111.3
1990-04-01,112.8
1990-05-01,114
1990-06-01,113.9
1990-07-01,114.4
1990-08-01,118.2
1990-09-01,117.4
