"Date","WPU091501235"
2007-12-01,100
2008-01-01,NA
2008-02-01,NA
2008-03-01,NA
2008-04-01,NA
2008-05-01,NA
2008-06-01,NA
2008-07-01,NA
2008-08-01,NA
2008-09-01,NA
2008-10-01,NA
2008-11-01,NA
2008-12-01,NA
2009-01-01,NA
2009-02-01,NA
2009-03-01,NA
2009-04-01,NA
2009-05-01,NA
2009-06-01,NA
2009-07-01,NA
2009-08-01,NA
2009-09-01,NA
2009-10-01,NA
2009-11-01,NA
2009-12-01,NA
2010-01-01,NA
2010-02-01,NA
2010-03-01,NA
2010-04-01,NA
2010-05-01,NA
2010-06-01,NA
2010-07-01,NA
2010-08-01,NA
2010-09-01,NA
2010-10-01,NA
2010-11-01,NA
2010-12-01,NA
2011-01-01,NA
2011-02-01,NA
2011-03-01,NA
2011-04-01,NA
2011-05-01,NA
2011-06-01,NA
2011-07-01,NA
2011-08-01,NA
2011-09-01,NA
2011-10-01,NA
2011-11-01,NA
2011-12-01,NA
2012-01-01,NA
2012-02-01,NA
2012-03-01,NA
2012-04-01,116.1
2012-05-01,115.7
2012-06-01,116
2012-07-01,115.1
2012-08-01,115.1
2012-09-01,114.6
2012-10-01,114.1
2012-11-01,114.1
2012-12-01,114.1
2013-01-01,114.1
2013-02-01,114.1
2013-03-01,113.7
2013-04-01,113.7
2013-05-01,113.7
2013-06-01,113.7
2013-07-01,113.7
2013-08-01,113.8
2013-09-01,113.8
2013-10-01,113.8
2013-11-01,113.8
2013-12-01,113.8
2014-01-01,113.8
2014-02-01,113.8
2014-03-01,113.8
2014-04-01,113.8
2014-05-01,113.8
2014-06-01,113.8
2014-07-01,113.8
2014-08-01,113.8
2014-09-01,113.8
2014-10-01,113.9
2014-11-01,113.8
2014-12-01,114
2015-01-01,114
2015-02-01,114
2015-03-01,114
2015-04-01,113.9
2015-05-01,113.9
2015-06-01,114.5
2015-07-01,114.2
2015-08-01,113.1
2015-09-01,113.1
2015-10-01,113.1
2015-11-01,113.1
2015-12-01,113.1
2016-01-01,112.9
2016-02-01,112.9
2016-03-01,112.9
2016-04-01,112.9
2016-05-01,112.9
2016-06-01,112.9
2016-07-01,112.7
2016-08-01,112.7
2016-09-01,112.7
2016-10-01,112.7
2016-11-01,112.8
2016-12-01,112.7
2017-01-01,110.6
2017-02-01,110.9
2017-03-01,110.7
2017-04-01,110.2
2017-05-01,110.1
2017-06-01,109.1
2017-07-01,109.1
2017-08-01,109.1
2017-09-01,109.1
2017-10-01,109.1
2017-11-01,109.1
2017-12-01,109.1
2018-01-01,108.8
2018-02-01,109.1
2018-03-01,109.7
2018-04-01,110.3
2018-05-01,110.9
2018-06-01,111.4
2018-07-01,111.3
2018-08-01,111.1
2018-09-01,112.6
2018-10-01,112.8
2018-11-01,114
2018-12-01,113.9
2019-01-01,114.4
2019-02-01,113.7
2019-03-01,115.1
2019-04-01,115.5
2019-05-01,115.7
2019-06-01,115.7
2019-07-01,115.5
2019-08-01,115.9
2019-09-01,116
2019-10-01,116.1
2019-11-01,116
2019-12-01,115.7
2020-01-01,116
2020-02-01,116.2
2020-03-01,116.1
2020-04-01,115.6
2020-05-01,116
2020-06-01,115.9
2020-07-01,115.6
2020-08-01,116.2
2020-09-01,116
2020-10-01,115.6
2020-11-01,115.3
2020-12-01,115.3
2021-01-01,116.3
2021-02-01,115.5
2021-03-01,115.8
2021-04-01,116.9
2021-05-01,116.7
2021-06-01,117
2021-07-01,117.856
2021-08-01,116.487
2021-09-01,117.513
2021-10-01,116.789
2021-11-01,120.418
2021-12-01,123.313
2022-01-01,124.052
2022-02-01,124.566
2022-03-01,124.998
2022-04-01,125.301
2022-05-01,127.828
2022-06-01,128.296
2022-07-01,133.494
2022-08-01,134.147
2022-09-01,139.128
2022-10-01,140.026
2022-11-01,143.319
2022-12-01,143.999
2023-01-01,145.302
2023-02-01,146.77
2023-03-01,146.166
2023-04-01,145.912
2023-05-01,146.057
2023-06-01,149.071
2023-07-01,149.96
2023-08-01,148.138
2023-09-01,148.938
2023-10-01,149.159
2023-11-01,149.29
