"Date","WPU0613020T1"
1987-06-01,100
1987-07-01,98.7
1987-08-01,98.8
1987-09-01,98.7
1987-10-01,98.8
1987-11-01,99.7
1987-12-01,101.3
1988-01-01,104.1
1988-02-01,104.7
1988-03-01,105.4
1988-04-01,105.5
1988-05-01,106.2
1988-06-01,107.3
1988-07-01,107.1
1988-08-01,109
1988-09-01,109.1
1988-10-01,111
1988-11-01,111.2
1988-12-01,109.8
1989-01-01,111
1989-02-01,111.4
1989-03-01,110.9
1989-04-01,109.6
1989-05-01,109.6
1989-06-01,109.6
1989-07-01,112.2
1989-08-01,113.8
1989-09-01,112.4
1989-10-01,111.5
1989-11-01,110.3
1989-12-01,110.1
1990-01-01,109.9
1990-02-01,109.5
1990-03-01,110.1
1990-04-01,109.7
1990-05-01,110.5
1990-06-01,110.8
1990-07-01,111.3
1990-08-01,112
1990-09-01,112.2
1990-10-01,114.1
1990-11-01,113.9
1990-12-01,113.9
1991-01-01,112.9
1991-02-01,114.6
1991-03-01,115.1
1991-04-01,114.7
1991-05-01,114.1
1991-06-01,114.2
1991-07-01,114.3
1991-08-01,112.2
1991-09-01,112.4
1991-10-01,113.7
1991-11-01,111
1991-12-01,110.2
1992-01-01,109.2
1992-02-01,108.6
1992-03-01,108.5
1992-04-01,108
1992-05-01,108.3
1992-06-01,110.4
1992-07-01,106
1992-08-01,110.4
1992-09-01,108.3
1992-10-01,108.3
1992-11-01,103.8
1992-12-01,104
1993-01-01,103.9
1993-02-01,104.7
1993-03-01,104.8
1993-04-01,103.9
1993-05-01,104.5
1993-06-01,103.3
1993-07-01,102.1
1993-08-01,103.3
1993-09-01,102.6
1993-10-01,102.6
1993-11-01,102.5
1993-12-01,102.9
1994-01-01,102.7
1994-02-01,104.2
1994-03-01,100.5
1994-04-01,101.5
1994-05-01,105
1994-06-01,102.9
1994-07-01,101
1994-08-01,101.3
1994-09-01,104.1
1994-10-01,104.6
1994-11-01,105.1
1994-12-01,101.2
1995-01-01,101.8
1995-02-01,105.3
1995-03-01,101.4
1995-04-01,105.1
1995-05-01,104.7
1995-06-01,104.7
1995-07-01,104.7
1995-08-01,107
1995-09-01,107.2
1995-10-01,107.3
1995-11-01,107.2
1995-12-01,107.7
1996-01-01,107.1
1996-02-01,107.3
1996-03-01,107.1
1996-04-01,107.3
1996-05-01,107.7
1996-06-01,107.7
1996-07-01,107
1996-08-01,107
1996-09-01,107
1996-10-01,107.1
1996-11-01,107.6
1996-12-01,107.5
1997-01-01,107.3
1997-02-01,106.5
1997-03-01,107.4
1997-04-01,107.5
1997-05-01,107.4
1997-06-01,106.9
1997-07-01,107
1997-08-01,109.7
1997-09-01,110
1997-10-01,110
1997-11-01,110
1997-12-01,110.1
1998-01-01,110.1
1998-02-01,110.2
1998-03-01,110.1
1998-04-01,110.3
1998-05-01,101.8
1998-06-01,110.2
1998-07-01,100.4
1998-08-01,110.1
1998-09-01,102.5
1998-10-01,110.1
1998-11-01,111.3
1998-12-01,110
1999-01-01,110
1999-02-01,100.8
1999-03-01,100.8
1999-04-01,102
1999-05-01,100.5
1999-06-01,100.1
1999-07-01,100.1
1999-08-01,100.1
1999-09-01,99.7
1999-10-01,101.2
1999-11-01,101.2
1999-12-01,101.2
2000-01-01,99.8
2000-02-01,99.8
2000-03-01,108.6
2000-04-01,99.8
2000-05-01,99.8
2000-06-01,99.8
2000-07-01,89.9
2000-08-01,89.8
2000-09-01,98.8
2000-10-01,90.2
2000-11-01,91.5
2000-12-01,91.6
2001-01-01,90.4
2001-02-01,101.8
2001-03-01,91.9
2001-04-01,100.7
2001-05-01,91.3
2001-06-01,91.3
2001-07-01,91.4
2001-08-01,126
2001-09-01,125.4
2001-10-01,125.6
2001-11-01,125.8
2001-12-01,123.1
2002-01-01,120.4
2002-02-01,113.5
2002-03-01,120.5
2002-04-01,120.5
2002-05-01,120.5
2002-06-01,120.6
2002-07-01,127.9
2002-08-01,128.5
2002-09-01,129.4
2002-10-01,129.4
2002-11-01,129.9
2002-12-01,129.9
2003-01-01,121.9
2003-02-01,122.4
2003-03-01,132.6
2003-04-01,132.6
2003-05-01,132.9
2003-06-01,125
2003-07-01,157.2
2003-08-01,125.3
2003-09-01,134.8
2003-10-01,158.5
2003-11-01,134.7
2003-12-01,134.5
2004-01-01,134.9
2004-02-01,165.6
2004-03-01,135.1
2004-04-01,135.1
2004-05-01,135.1
2004-06-01,135.1
2004-07-01,135.1
2004-08-01,167.5
2004-09-01,167.4
2004-10-01,166.1
2004-11-01,166.4
2004-12-01,166.4
2005-01-01,166.7
2005-02-01,166.7
2005-03-01,166.4
2005-04-01,166.4
2005-05-01,166.4
2005-06-01,167.2
2005-07-01,167.3
2005-08-01,167.5
2005-09-01,167.5
2005-10-01,167.6
2005-11-01,167.8
2005-12-01,167.8
2006-01-01,169.2
2006-02-01,169.2
2006-03-01,169.2
2006-04-01,169.2
2006-05-01,169.2
2006-06-01,169.2
2006-07-01,169.2
2006-08-01,169.1
2006-09-01,169.1
2006-10-01,169.1
2006-11-01,169.1
2006-12-01,168.9
2007-01-01,169.2
2007-02-01,170.1
2007-03-01,170.1
2007-04-01,170.1
2007-05-01,170.6
2007-06-01,170.6
2007-07-01,170.6
2007-08-01,172.1
2007-09-01,174.8
2007-10-01,174.8
2007-11-01,175.8
2007-12-01,176.4
2008-01-01,179
2008-02-01,189.8
2008-03-01,192.4
2008-04-01,204.6
2008-05-01,250.6
2008-06-01,255.7
2008-07-01,257.1
2008-08-01,268.9
2008-09-01,296.9
2008-10-01,295.5
2008-11-01,254.8
2008-12-01,189.2
2009-01-01,NA
2009-02-01,NA
2009-03-01,NA
2009-04-01,NA
2009-05-01,NA
2009-06-01,NA
2009-07-01,NA
2009-08-01,NA
2009-09-01,NA
2009-10-01,NA
2009-11-01,NA
2009-12-01,NA
