"Date","WPU0652026A"
2014-12-01,100
2015-01-01,100
2015-02-01,102.4
2015-03-01,104.5
2015-04-01,106.2
2015-05-01,104
2015-06-01,104.4
2015-07-01,96.6
2015-08-01,97
2015-09-01,97.3
2015-10-01,95.9
2015-11-01,93.6
2015-12-01,91.9
2016-01-01,89.5
2016-02-01,84.1
2016-03-01,85.6
2016-04-01,87
2016-05-01,86
2016-06-01,85.3
2016-07-01,77.7
2016-08-01,76.9
2016-09-01,77
2016-10-01,77.5
2016-11-01,77.1
2016-12-01,75.2
2017-01-01,76
2017-02-01,76.1
2017-03-01,77.9
2017-04-01,80.9
2017-05-01,81.4
2017-06-01,79.6
2017-07-01,76.7
2017-08-01,75.4
2017-09-01,76.1
2017-10-01,76.2
2017-11-01,77.7
2017-12-01,78.3
2018-01-01,81.8
2018-02-01,85.6
2018-03-01,88.3
2018-04-01,88.3
2018-05-01,87.8
2018-06-01,89
2018-07-01,90.3
2018-08-01,89.2
2018-09-01,91.9
2018-10-01,94.2
2018-11-01,94.7
2018-12-01,94.9
2019-01-01,93.9
2019-02-01,92.9
2019-03-01,92.7
2019-04-01,87.8
2019-05-01,86.6
2019-06-01,84
2019-07-01,78.6
2019-08-01,78.4
2019-09-01,76.6
2019-10-01,72.5
2019-11-01,66.8
2019-12-01,67.6
2020-01-01,67.9
2020-02-01,67.6
2020-03-01,70.7
2020-04-01,70.8
2020-05-01,73.4
2020-06-01,73.6
2020-07-01,71.7
2020-08-01,72.4
2020-09-01,74.9
2020-10-01,77.9
2020-11-01,81.4
2020-12-01,83.7
2021-01-01,88.6
2021-02-01,95
2021-03-01,105.8
2021-04-01,111.5
2021-05-01,123.5
2021-06-01,128.2
2021-07-01,134.951
2021-08-01,137.501
2021-09-01,142.66
2021-10-01,146.916
2021-11-01,154.767
2021-12-01,160.409
2022-01-01,160.54
2022-02-01,160.546
2022-03-01,178.038
2022-04-01,180.997
2022-05-01,181.056
2022-06-01,168.488
2022-07-01,158.443
2022-08-01,158.443
2022-09-01,158.697
2022-10-01,158.567
2022-11-01,158.452
2022-12-01,141.5
2023-01-01,141.647
2023-02-01,139.934
2023-03-01,138.893
2023-04-01,139.671
2023-05-01,136.796
2023-06-01,134.462
2023-07-01,104.528
2023-08-01,112.591
2023-09-01,113.888
2023-10-01,120.338
2023-11-01,122.236
