"Date","EMVCOMMMKT"
1985-01-01,5.97498
1985-02-01,5.17565
1985-03-01,6.20167
1985-04-01,4.56244
1985-05-01,4.88513
1985-06-01,4.01282
1985-07-01,4.42368
1985-08-01,6.45461
1985-09-01,5.4616
1985-10-01,3.63416
1985-11-01,5.60179
1985-12-01,5.13067
1986-01-01,4.93166
1986-02-01,5.65547
1986-03-01,9.4103
1986-04-01,6.13419
1986-05-01,6.31733
1986-06-01,7.91592
1986-07-01,9.18064
1986-08-01,7.19434
1986-09-01,10.81986
1986-10-01,6.98102
1986-11-01,6.5739
1986-12-01,5.42197
1987-01-01,8.85025
1987-02-01,6.17855
1987-03-01,6.53114
1987-04-01,7.5583
1987-05-01,8.18521
1987-06-01,7.11936
1987-07-01,6.52273
1987-08-01,6.73264
1987-09-01,5.29031
1987-10-01,27.11467
1987-11-01,26.11812
1987-12-01,18.05297
1988-01-01,15.9559
1988-02-01,9.26635
1988-03-01,8.07167
1988-04-01,9.65029
1988-05-01,11.58675
1988-06-01,8.00635
1988-07-01,9.0668
1988-08-01,6.90648
1988-09-01,6.54285
1988-10-01,10.46575
1988-11-01,7.15122
1988-12-01,7.12069
1989-01-01,9.95016
1989-02-01,6.61359
1989-03-01,4.32612
1989-04-01,5.80649
1989-05-01,6.16082
1989-06-01,7.14956
1989-07-01,6.87491
1989-08-01,5.85585
1989-09-01,5.48222
1989-10-01,10.7092
1989-11-01,7.73232
1989-12-01,7.8394
1990-01-01,7.56993
1990-02-01,9.65361
1990-03-01,8.24137
1990-04-01,5.32604
1990-05-01,4.20141
1990-06-01,5.63703
1990-07-01,8.1728
1990-08-01,13.56898
1990-09-01,11.1009
1990-10-01,11.82319
1990-11-01,7.35891
1990-12-01,7.54102
1991-01-01,11.773
1991-02-01,8.70488
1991-03-01,6.33112
1991-04-01,5.20351
1991-05-01,5.53507
1991-06-01,6.09
1991-07-01,6.22712
1991-08-01,6.35404
1991-09-01,6.74805
1991-10-01,5.30593
1991-11-01,8.10653
1991-12-01,6.41888
1992-01-01,9.10349
1992-02-01,8.08055
1992-03-01,7.15654
1992-04-01,7.20399
1992-05-01,6.54273
1992-06-01,6.87605
1992-07-01,8.32614
1992-08-01,5.75299
1992-09-01,6.46766
1992-10-01,7.23731
1992-11-01,5.97279
1992-12-01,4.80913
1993-01-01,6.54725
1993-02-01,6.67715
1993-03-01,6.92907
1993-04-01,6.38066
1993-05-01,7.46252
1993-06-01,6.44959
1993-07-01,7.84381
1993-08-01,7.96075
1993-09-01,6.91907
1993-10-01,5.97406
1993-11-01,5.36113
1993-12-01,5.62497
1994-01-01,7.4959
1994-02-01,5.78495
1994-03-01,8.83635
1994-04-01,11.19426
1994-05-01,8.10061
1994-06-01,7.24482
1994-07-01,7.88424
1994-08-01,6.63538
1994-09-01,7.59864
1994-10-01,8.50934
1994-11-01,6.01508
1994-12-01,7.82461
1995-01-01,10.0137
1995-02-01,9.23353
1995-03-01,7.25953
1995-04-01,6.92495
1995-05-01,5.73784
1995-06-01,5.43088
