"Date","WPS118603"
2000-01-01,119.8
2000-02-01,120.2
2000-03-01,120.4
2000-04-01,120.8
2000-05-01,120.5
2000-06-01,120.6
2000-07-01,120.8
2000-08-01,120.8
2000-09-01,121.8
2000-10-01,122
2000-11-01,122.1
2000-12-01,122.1
2001-01-01,121.1
2001-02-01,121.7
2001-03-01,122.1
2001-04-01,122.3
2001-05-01,122.5
2001-06-01,122.9
2001-07-01,123
2001-08-01,123.2
2001-09-01,123.1
2001-10-01,123.3
2001-11-01,123.7
2001-12-01,124
2002-01-01,124.3
2002-02-01,124.4
2002-03-01,124.5
2002-04-01,124.8
2002-05-01,125.2
2002-06-01,125.2
2002-07-01,125.3
2002-08-01,125.5
2002-09-01,125.4
2002-10-01,125.1
2002-11-01,125.6
2002-12-01,125.8
2003-01-01,126
2003-02-01,126.3
2003-03-01,126.3
2003-04-01,126.5
2003-05-01,126.6
2003-06-01,126.6
2003-07-01,126.8
2003-08-01,126.9
2003-09-01,126.9
2003-10-01,126.9
2003-11-01,127
2003-12-01,127.2
2004-01-01,127.5
2004-02-01,127.8
2004-03-01,128.1
2004-04-01,128.2
2004-05-01,128.2
2004-06-01,128.4
2004-07-01,128.6
2004-08-01,128.7
2004-09-01,129
2004-10-01,129.2
2004-11-01,129.2
2004-12-01,129.4
2005-01-01,129.3
2005-02-01,129.5
2005-03-01,129.6
2005-04-01,129.9
2005-05-01,129.8
2005-06-01,129.8
2005-07-01,130.4
2005-08-01,130.5
2005-09-01,130.2
2005-10-01,131.2
2005-11-01,131.3
2005-12-01,131.5
2006-01-01,NA
2006-02-01,NA
2006-03-01,NA
2006-04-01,NA
2006-05-01,NA
2006-06-01,NA
2006-07-01,NA
2006-08-01,NA
2006-09-01,NA
2006-10-01,NA
2006-11-01,NA
2006-12-01,NA
2007-01-01,NA
2007-02-01,NA
2007-03-01,NA
2007-04-01,NA
2007-05-01,NA
2007-06-01,NA
2007-07-01,NA
2007-08-01,NA
2007-09-01,NA
2007-10-01,NA
2007-11-01,NA
2007-12-01,NA
2008-01-01,NA
2008-02-01,NA
2008-03-01,NA
2008-04-01,NA
2008-05-01,NA
2008-06-01,NA
2008-07-01,NA
2008-08-01,NA
2008-09-01,NA
2008-10-01,NA
2008-11-01,NA
2008-12-01,NA
2009-01-01,NA
2009-02-01,NA
2009-03-01,NA
2009-04-01,NA
2009-05-01,NA
2009-06-01,NA
2009-07-01,NA
2009-08-01,NA
2009-09-01,NA
2009-10-01,NA
2009-11-01,NA
2009-12-01,NA
2010-01-01,NA
2010-02-01,NA
2010-03-01,NA
2010-04-01,NA
2010-05-01,NA
2010-06-01,NA
2010-07-01,NA
2010-08-01,NA
2010-09-01,NA
2010-10-01,NA
2010-11-01,NA
2010-12-01,NA
2011-01-01,NA
2011-02-01,NA
2011-03-01,NA
2011-04-01,NA
2011-05-01,NA
2011-06-01,NA
2011-07-01,NA
2011-08-01,NA
2011-09-01,NA
2011-10-01,NA
2011-11-01,NA
2011-12-01,NA
2012-01-01,NA
2012-02-01,NA
2012-03-01,NA
2012-04-01,NA
2012-05-01,NA
2012-06-01,NA
2012-07-01,NA
2012-08-01,NA
2012-09-01,NA
2012-10-01,NA
2012-11-01,NA
2012-12-01,NA
2013-01-01,NA
2013-02-01,NA
2013-03-01,NA
2013-04-01,NA
2013-05-01,NA
2013-06-01,NA
2013-07-01,NA
2013-08-01,NA
2013-09-01,NA
2013-10-01,NA
2013-11-01,NA
2013-12-01,NA
2014-01-01,141.5
2014-02-01,141.6
2014-03-01,142.2
2014-04-01,142.6
2014-05-01,142.6
2014-06-01,142.9
2014-07-01,143.1
2014-08-01,143.3
2014-09-01,143.7
2014-10-01,144.2
2014-11-01,144.3
2014-12-01,144.4
2015-01-01,144.6
2015-02-01,144.5
2015-03-01,144.7
2015-04-01,144.7
2015-05-01,145.1
2015-06-01,145.3
2015-07-01,145.4
2015-08-01,145.6
2015-09-01,145.4
2015-10-01,146.5
2015-11-01,146.7
2015-12-01,146.7
2016-01-01,146.7
2016-02-01,147.1
2016-03-01,147.3
2016-04-01,147.5
2016-05-01,147.6
2016-06-01,147.8
2016-07-01,148.1
2016-08-01,148.4
2016-09-01,148.6
2016-10-01,148.7
2016-11-01,148.9
2016-12-01,149.1
2017-01-01,150.1
2017-02-01,150.7
2017-03-01,151.4
2017-04-01,151.4
2017-05-01,151.7
2017-06-01,151.9
2017-07-01,152.2
2017-08-01,152.6
2017-09-01,152.7
2017-10-01,152.9
2017-11-01,153
2017-12-01,153.2
2018-01-01,153
2018-02-01,152.9
2018-03-01,153
2018-04-01,153.4
2018-05-01,153.5
2018-06-01,153.8
2018-07-01,153.8
2018-08-01,154.1
2018-09-01,154.3
2018-10-01,154.6
2018-11-01,154.7
2018-12-01,155.1
2019-01-01,157.1
2019-02-01,156.8
2019-03-01,157.2
2019-04-01,157.3
2019-05-01,157.5
2019-06-01,157.7
2019-07-01,158
2019-08-01,158.4
2019-09-01,158.7
2019-10-01,158.9
2019-11-01,159.2
2019-12-01,159.5
2020-01-01,159
2020-02-01,158.9
2020-03-01,158.9
2020-04-01,158.9
2020-05-01,159
2020-06-01,159.3
2020-07-01,159.6
2020-08-01,160
2020-09-01,160.3
2020-10-01,160.4
2020-11-01,160.8
2020-12-01,161.1
2021-01-01,161.5
2021-02-01,161.1
2021-03-01,161.1
2021-04-01,161
2021-05-01,161
2021-06-01,161.3
2021-07-01,162.147
2021-08-01,162.509
2021-09-01,162.94
2021-10-01,163.93
2021-11-01,164.512
2021-12-01,164.716
2022-01-01,164.746
2022-02-01,168.793
2022-03-01,168.534
2022-04-01,171.23
2022-05-01,172.248
2022-06-01,172.885
2022-07-01,173.11
2022-08-01,173.716
2022-09-01,174.311
2022-10-01,174.771
2022-11-01,175.378
2022-12-01,176.201
2023-01-01,177.462
2023-02-01,179.753
2023-03-01,180.109
2023-04-01,180.389
2023-05-01,182.011
2023-06-01,182.535
2023-07-01,182.372
2023-08-01,182.782
2023-09-01,183.851
2023-10-01,183.987
2023-11-01,184.362
