"Date","IMPMANWA"
2008-01-01,2213
2008-02-01,2320.9
2008-03-01,2464.2
2008-04-01,2607
2008-05-01,2565.5
2008-06-01,2500.8
2008-07-01,3036.7
2008-08-01,2974.2
2008-09-01,2685.6
2008-10-01,2524.9
2008-11-01,2229.1
2008-12-01,2398.3
2009-01-01,2406.1
2009-02-01,1786.4
2009-03-01,2156.6
2009-04-01,2060.1
2009-05-01,2032.2
2009-06-01,1979.9
2009-07-01,2102.5
2009-08-01,2106
2009-09-01,2384.9
2009-10-01,2672.1
2009-11-01,2690.9
2009-12-01,2400.5
2010-01-01,2216.4
2010-02-01,2125
2010-03-01,2313.4
2010-04-01,2336.6
2010-05-01,2375.8
2010-06-01,2674.2
2010-07-01,2243.4
2010-08-01,2378.5
2010-09-01,2509.6
2010-10-01,2794.8
2010-11-01,2782.8
2010-12-01,2613.5
2011-01-01,2355.3
2011-02-01,2245.8
2011-03-01,2653.5
2011-04-01,2525.8
2011-05-01,2665
2011-06-01,2580.6
2011-07-01,2490.9
2011-08-01,2612.3
2011-09-01,2772.9
2011-10-01,3077.9
2011-11-01,2957
2011-12-01,2778.7
2012-01-01,2642.2
2012-02-01,2473.2
2012-03-01,2572.2
2012-04-01,2595.9
2012-05-01,2551.2
2012-06-01,2521.8
2012-07-01,2918.9
2012-08-01,2711.8
2012-09-01,2690.6
2012-10-01,3288.4
2012-11-01,3395.3
2012-12-01,2878.1
2013-01-01,2850.932559
2013-02-01,2747.256185
2013-03-01,2743.224473
2013-04-01,3043.743061
2013-05-01,2923.996722
2013-06-01,2901.082538
2013-07-01,3093.574581
2013-08-01,2950.465859
2013-09-01,3237.942091
2013-10-01,3277.086699
2013-11-01,3165.837891
2013-12-01,2822.810324
2014-01-01,3060.804474
2014-02-01,2631.947838
2014-03-01,3057.171516
2014-04-01,3101.079592
2014-05-01,3282.049521
2014-06-01,3354.658142
2014-07-01,3180.863871
2014-08-01,2984.650661
2014-09-01,3356.062502
2014-10-01,3523.78208
2014-11-01,3094.674304
2014-12-01,3185.721048
2015-01-01,3117.45137
2015-02-01,2941.679338
2015-03-01,3485.002454
2015-04-01,3646.581924
2015-05-01,3177.744068
2015-06-01,3477.087553
2015-07-01,3336.478027
2015-08-01,3611.237639
2015-09-01,3513.184214
2015-10-01,3495.060425
2015-11-01,3132.46204
2015-12-01,3118.79253
2016-01-01,3168.718198
2016-02-01,3310.386719
2016-03-01,3160.277106
2016-04-01,3067.95387
2016-05-01,2740.325195
2016-06-01,3072.773642
2016-07-01,3023.328523
2016-08-01,3142.121793
2016-09-01,3040.587346
2016-10-01,3120.600469
2016-11-01,3026.505079
2016-12-01,2845.87876
2017-01-01,3005.100205
2017-02-01,2487.938785
2017-03-01,3057.747927
2017-04-01,2847.421661
2017-05-01,2967.602201
2017-06-01,3181.512669
2017-07-01,3140.600937
2017-08-01,3525.673087
2017-09-01,3493.193376
2017-10-01,3612.664819
2017-11-01,3618.184661
2017-12-01,3193.826817
2018-01-01,3006.338093
2018-02-01,3055.899354
2018-03-01,3165.348023
2018-04-01,3300.774469
2018-05-01,3499.791204
2018-06-01,3458.724791
2018-07-01,3542.501908
2018-08-01,3455.252133
2018-09-01,3671.639186
2018-10-01,4223.452583
2018-11-01,3928.558423
2018-12-01,3372.984386
2019-01-01,2975.395301
2019-02-01,2743.603893
2019-03-01,2805.640784
2019-04-01,2982.718219
2019-05-01,3284.908966
2019-06-01,3186.449576
2019-07-01,3559.338868
2019-08-01,3921.92569
2019-09-01,3657.096227
2019-10-01,3572.37212
2019-11-01,3328.767738
2019-12-01,3059.365671
2020-01-01,2881.615969
2020-02-01,2545.674777
2020-03-01,2764.911836
2020-04-01,2446.469287
2020-05-01,2344.794825
2020-06-01,2643.413034
2020-07-01,3199.249853
2020-08-01,3360.018322
2020-09-01,3607.883907
2020-10-01,3990.091927
2020-11-01,3670.705645
2020-12-01,3310.1677
2021-01-01,3101.632661
2021-02-01,2532.527156
2021-03-01,3675.998187
2021-04-01,3423.572138
2021-05-01,3346.456026
2021-06-01,3811.82218
2021-07-01,3738.576792
2021-08-01,4008.24839
2021-09-01,3990.578613
2021-10-01,4280.657014
2021-11-01,4138.978844
2021-12-01,4124.993175
2022-01-01,4267.318483
2022-02-01,3993.794412
2022-03-01,4835.070942
2022-04-01,4122.698154
2022-05-01,4719.220979
2022-06-01,4059.131368
2022-07-01,4947.187317
2022-08-01,4759.756333
2022-09-01,4637.947072
2022-10-01,4497.390803
2022-11-01,4185.548385
2022-12-01,3701.374297
2023-01-01,3954.392491
2023-02-01,3787.681207
2023-03-01,3942.721474
2023-04-01,3838.880537
2023-05-01,3705.073627
2023-06-01,4379.131253
2023-07-01,3930.077833
2023-08-01,4463.055149
2023-09-01,4638.047154
2023-10-01,4101.757378
