"Date","WPUSI024011"
1967-01-01,30.7
1967-02-01,30.8
1967-03-01,30.8
1967-04-01,30.8
1967-05-01,30.8
1967-06-01,30.8
1967-07-01,30.9
1967-08-01,30.9
1967-09-01,30.9
1967-10-01,30.9
1967-11-01,31.5
1967-12-01,31.7
1968-01-01,31.9
1968-02-01,31.9
1968-03-01,31.9
1968-04-01,31.9
1968-05-01,31.9
1968-06-01,32
1968-07-01,32.1
1968-08-01,32.2
1968-09-01,32.3
1968-10-01,32.5
1968-11-01,32.8
1968-12-01,33.1
1969-01-01,33.3
1969-02-01,33.4
1969-03-01,33.4
1969-04-01,33.4
1969-05-01,33.4
1969-06-01,33.4
1969-07-01,33.5
1969-08-01,33.5
1969-09-01,33.7
1969-10-01,33.8
1969-11-01,34.4
1969-12-01,32.6
1970-01-01,34.7
1970-02-01,34.8
1970-03-01,34.8
1970-04-01,34.8
1970-05-01,34.8
1970-06-01,34.8
1970-07-01,34.8
1970-08-01,34.8
1970-09-01,35
1970-10-01,35.2
1970-11-01,36.1
1970-12-01,36.2
1971-01-01,36.1
1971-02-01,36.2
1971-03-01,36.1
1971-04-01,36.1
1971-05-01,36.1
1971-06-01,36.2
1971-07-01,36.4
1971-08-01,36.4
1971-09-01,36.4
1971-10-01,36.4
1971-11-01,36.4
1971-12-01,36.8
1972-01-01,37.3
1972-02-01,37.8
1972-03-01,37.9
1972-04-01,38
1972-05-01,38
1972-06-01,38.1
1972-07-01,38.1
1972-08-01,41.3
1972-09-01,38.1
1972-10-01,38.1
1972-11-01,38.2
1972-12-01,38.2
1973-01-01,38.4
1973-02-01,38.7
1973-03-01,38.7
1973-04-01,38.7
1973-05-01,38.8
1973-06-01,38.9
1973-07-01,39
1973-08-01,39
1973-09-01,39
1973-10-01,39.6
1973-11-01,40
1973-12-01,40.2
1974-01-01,40.7
1974-02-01,40.8
1974-03-01,41.3
1974-04-01,41.4
1974-05-01,42.7
1974-06-01,44
1974-07-01,44.9
1974-08-01,46.3
1974-09-01,47.6
1974-10-01,48.4
1974-11-01,49.8
1974-12-01,49.9
1975-01-01,51.1
1975-02-01,51.4
1975-03-01,51.8
1975-04-01,52.1
1975-05-01,52.1
1975-06-01,52.2
1975-07-01,52.4
1975-08-01,52.5
1975-09-01,52.6
1975-10-01,53.4
1975-11-01,54.5
1975-12-01,54.7
1976-01-01,55.3
1976-02-01,55.7
1976-03-01,56
1976-04-01,56.1
1976-05-01,56.3
1976-06-01,56.5
1976-07-01,56.7
1976-08-01,57.1
1976-09-01,57.8
1976-10-01,58.1
1976-11-01,59.1
1976-12-01,59.7
1977-01-01,60.2
1977-02-01,60.5
1977-03-01,60.7
1977-04-01,60.8
1977-05-01,61
1977-06-01,61.1
1977-07-01,61.2
1977-08-01,62
1977-09-01,62.6
1977-10-01,63
1977-11-01,64.4
1977-12-01,64.8
1978-01-01,64.9
1978-02-01,65.2
1978-03-01,65.3
1978-04-01,65.4
1978-05-01,65.6
1978-06-01,65.9
1978-07-01,66.4
1978-08-01,67
1978-09-01,68.6
1978-10-01,68.9
1978-11-01,69.7
1978-12-01,70.1
1979-01-01,70.4
1979-02-01,70.7
1979-03-01,71
1979-04-01,71.4
1979-05-01,71.8
1979-06-01,72.3
1979-07-01,73
1979-08-01,73.8
1979-09-01,75.4
1979-10-01,76.2
1979-11-01,77.6
1979-12-01,77.8
1980-01-01,79.3
1980-02-01,79.6
1980-03-01,80.4
1980-04-01,81.1
1980-05-01,81.7
1980-06-01,81.9
1980-07-01,82.4
1980-08-01,83
1980-09-01,84.5
1980-10-01,85
1980-11-01,86.9
1980-12-01,87.1
1981-01-01,88.2
1981-02-01,88.9
1981-03-01,89.2
1981-04-01,89.6
1981-05-01,90.9
1981-06-01,91.2
1981-07-01,91.5
1981-08-01,92.3
1981-09-01,93.3
1981-10-01,94.6
1981-11-01,96.7
1981-12-01,97.4
1982-01-01,97.5
1982-02-01,97.8
1982-03-01,98.5
1982-04-01,98.7
1982-05-01,99
1982-06-01,99.4
1982-07-01,99.6
1982-08-01,99.9
1982-09-01,100.7
1982-10-01,102.3
1982-11-01,102.8
1982-12-01,103.7
1983-01-01,104.3
1983-02-01,104.5
1983-03-01,104.5
1983-04-01,104.7
1983-05-01,105.7
1983-06-01,105.8
1983-07-01,106.1
1983-08-01,106.1
1983-09-01,106.4
1983-10-01,106.3
1983-11-01,106.5
1983-12-01,107.2
1984-01-01,107.4
1984-02-01,107.5
1984-03-01,108.1
1984-04-01,109.2
1984-05-01,110.5
1984-06-01,110.3
1984-07-01,110.6
1984-08-01,110.6
1984-09-01,109.9
1984-10-01,109.8
1984-11-01,109.6
1984-12-01,109.8
1985-01-01,110.1
1985-02-01,110
1985-03-01,110.1
1985-04-01,110
1985-05-01,110.1
1985-06-01,110.1
1985-07-01,110.1
1985-08-01,109.8
1985-09-01,109.5
1985-10-01,109.6
1985-11-01,109.7
1985-12-01,109.8
1986-01-01,110
1986-02-01,110
1986-03-01,110.3
1986-04-01,110.4
1986-05-01,110.4
1986-06-01,110.4
1986-07-01,110.4
1986-08-01,110.5
1986-09-01,110.3
1986-10-01,110.3
1986-11-01,110.5
1986-12-01,110.3
1987-01-01,110.2
1987-02-01,110.4
1987-03-01,110.4
1987-04-01,110.4
1987-05-01,110.8
1987-06-01,110.8
1987-07-01,110.9
1987-08-01,111
1987-09-01,110.8
1987-10-01,110.8
1987-11-01,110.9
1987-12-01,110.8
1988-01-01,112.8
1988-02-01,112.9
1988-03-01,113.5
1988-04-01,113.6
1988-05-01,113.7
1988-06-01,112.9
1988-07-01,113
1988-08-01,113.3
1988-09-01,113.5
1988-10-01,113.7
1988-11-01,113.9
1988-12-01,114.3
1989-01-01,114.3
1989-02-01,117.4
1989-03-01,117.5
1989-04-01,118.1
1989-05-01,118.9
1989-06-01,118.9
1989-07-01,119
1989-08-01,119.4
1989-09-01,120
1989-10-01,120
1989-11-01,121.1
1989-12-01,121.9
1990-01-01,122.3
1990-02-01,122.4
1990-03-01,122.8
1990-04-01,123.2
1990-05-01,123.2
1990-06-01,123.3
1990-07-01,123.3
1990-08-01,124.3
1990-09-01,124.5
1990-10-01,124.5
1990-11-01,125.3
1990-12-01,125.5
1991-01-01,125.8
1991-02-01,126.7
1991-03-01,127.1
1991-04-01,127.2
1991-05-01,127.3
1991-06-01,127.6
1991-07-01,127.7
1991-08-01,128.6
1991-09-01,128.9
1991-10-01,129.4
1991-11-01,130.9
1991-12-01,130.7
1992-01-01,131
1992-02-01,131.5
1992-03-01,131.6
1992-04-01,131.8
1992-05-01,131.9
1992-06-01,132
1992-07-01,131.9
1992-08-01,132.2
1992-09-01,133
1992-10-01,133.4
1992-11-01,133.6
1992-12-01,133.8
1993-01-01,134
1993-02-01,134.5
1993-03-01,134.7
1993-04-01,135
1993-05-01,135.2
1993-06-01,135.3
1993-07-01,135.3
1993-08-01,135.5
1993-09-01,136.5
1993-10-01,137
1993-11-01,137.2
1993-12-01,137.8
1994-01-01,138.1
1994-02-01,138.6
1994-03-01,138.6
1994-04-01,138.7
1994-05-01,138.9
1994-06-01,139
