"Date","WPU09110501"
2006-06-01,100
2006-07-01,100.2
2006-08-01,100.7
2006-09-01,101.3
2006-10-01,101.6
2006-11-01,103.3
2006-12-01,103.8
2007-01-01,106.5
2007-02-01,108.8
2007-03-01,109.2
2007-04-01,110.3
2007-05-01,111.7
2007-06-01,111.8
2007-07-01,113.3
2007-08-01,113.6
2007-09-01,113.7
2007-10-01,114.8
2007-11-01,115.3
2007-12-01,116.1
2008-01-01,119.5
2008-02-01,119.2
2008-03-01,118.4
2008-04-01,118.9
2008-05-01,118.9
2008-06-01,119.3
2008-07-01,120.8
2008-08-01,121.3
2008-09-01,121.4
2008-10-01,120.3
2008-11-01,115.7
2008-12-01,114.1
2009-01-01,109.7
2009-02-01,107.2
2009-03-01,106
2009-04-01,103.1
2009-05-01,100.1
2009-06-01,98.6
2009-07-01,98.9
2009-08-01,100.6
2009-09-01,103.4
2009-10-01,105.2
2009-11-01,108.7
2009-12-01,110.1
2010-01-01,112.2
2010-02-01,115.9
2010-03-01,118
2010-04-01,121.8
2010-05-01,129.2
2010-06-01,135.3
2010-07-01,136.1
2010-08-01,136.7
2010-09-01,138.7
2010-10-01,136.1
2010-11-01,134.7
2010-12-01,135.1
2011-01-01,135
2011-02-01,135.4
2011-03-01,136.8
2011-04-01,137.2
2011-05-01,137.9
2011-06-01,137.9
2011-07-01,139.1
2011-08-01,138.2
2011-09-01,135.5
2011-10-01,133.3
2011-11-01,130.4
2011-12-01,126.4
2012-01-01,128.8
2012-02-01,130
2012-03-01,129.4
2012-04-01,129.5
2012-05-01,129.2
2012-06-01,129.1
2012-07-01,131.3
2012-08-01,129.7
2012-09-01,129.2
2012-10-01,128.6
2012-11-01,126.1
2012-12-01,127.4
2013-01-01,124.9
2013-02-01,124
2013-03-01,124.8
2013-04-01,124.9
2013-05-01,124.4
2013-06-01,126.1
2013-07-01,125.4
2013-08-01,125.9
2013-09-01,126.1
2013-10-01,126.1
2013-11-01,125.8
2013-12-01,127.2
2014-01-01,125.6
2014-02-01,126.2
2014-03-01,126.1
2014-04-01,127.2
2014-05-01,129.7
2014-06-01,131.5
2014-07-01,130.9
2014-08-01,128.9
2014-09-01,128
2014-10-01,123.9
2014-11-01,127.6
2014-12-01,124.7
2015-01-01,124.2
2015-02-01,128
2015-03-01,127.9
2015-04-01,127.3
2015-05-01,126.9
2015-06-01,126.5
2015-07-01,127.2
2015-08-01,126.9
2015-09-01,126
2015-10-01,124.9
2015-11-01,123.9
2015-12-01,123.1
2016-01-01,121.7
2016-02-01,121.3
2016-03-01,121
2016-04-01,121.4
2016-05-01,118.4
2016-06-01,116.9
2016-07-01,117.8
2016-08-01,119.2
2016-09-01,118.4
2016-10-01,118.4
2016-11-01,116.7
2016-12-01,118
2017-01-01,117.8
2017-02-01,116.2
2017-03-01,117.8
2017-04-01,119.3
2017-05-01,120
2017-06-01,123
2017-07-01,124.3
2017-08-01,127.9
2017-09-01,130.1
2017-10-01,130.5
2017-11-01,131.1
2017-12-01,135.8
2018-01-01,139.8
2018-02-01,143.4
2018-03-01,147.3
2018-04-01,149.9
2018-05-01,150.4
2018-06-01,150.7
2018-07-01,152
2018-08-01,152.7
2018-09-01,153.7
2018-10-01,151.5
2018-11-01,153.4
2018-12-01,154.3
2019-01-01,147
2019-02-01,145.6
2019-03-01,133.6
2019-04-01,131.7
2019-05-01,135.7
2019-06-01,128.9
2019-07-01,122.6
2019-08-01,112.7
2019-09-01,101.8
2019-10-01,97.3
2019-11-01,95.4
2019-12-01,97.4
2020-01-01,96.7
2020-02-01,99.1
2020-03-01,95.4
2020-04-01,98
2020-05-01,100.4
2020-06-01,101.3
2020-07-01,101
2020-08-01,97.1
2020-09-01,96.6
2020-10-01,97.1
2020-11-01,98.6
2020-12-01,98.9
2021-01-01,99.8
2021-02-01,108.3
2021-03-01,116.1
2021-04-01,131.3
2021-05-01,136.6
2021-06-01,141.3
2021-07-01,144.058
2021-08-01,146.629
2021-09-01,146.436
2021-10-01,146.353
2021-11-01,144.012
2021-12-01,147.718
2022-01-01,147.18
2022-02-01,148.08
2022-03-01,149.047
2022-04-01,150.808
2022-05-01,153.663
2022-06-01,169.099
2022-07-01,164.329
2022-08-01,176.432
2022-09-01,176.487
2022-10-01,175.364
2022-11-01,183.524
2022-12-01,179.428
2023-01-01,186.713
2023-02-01,177.488
2023-03-01,176.811
2023-04-01,164.928
2023-05-01,155.788
2023-06-01,141.069
2023-07-01,141.699
2023-08-01,138.664
2023-09-01,130.804
2023-10-01,137.868
2023-11-01,140.94
