"Date","WPSSOP1300"
1973-01-01,17.5
1973-02-01,17.7
1973-03-01,17.9
1973-04-01,18
1973-05-01,18.2
1973-06-01,18.4
1973-07-01,18.5
1973-08-01,18.7
1973-09-01,19.1
1973-10-01,19.2
1973-11-01,19.7
1973-12-01,19.9
1974-01-01,NA
1974-02-01,NA
1974-03-01,NA
1974-04-01,NA
1974-05-01,NA
1974-06-01,NA
1974-07-01,NA
1974-08-01,NA
1974-09-01,NA
1974-10-01,NA
1974-11-01,NA
1974-12-01,NA
1975-01-01,NA
1975-02-01,NA
1975-03-01,NA
1975-04-01,NA
1975-05-01,NA
1975-06-01,NA
1975-07-01,NA
1975-08-01,NA
1975-09-01,NA
1975-10-01,NA
1975-11-01,NA
1975-12-01,NA
1976-01-01,NA
1976-02-01,NA
1976-03-01,NA
1976-04-01,NA
1976-05-01,NA
1976-06-01,NA
1976-07-01,NA
1976-08-01,NA
1976-09-01,NA
1976-10-01,NA
1976-11-01,NA
1976-12-01,NA
1977-01-01,NA
1977-02-01,NA
1977-03-01,NA
1977-04-01,NA
1977-05-01,NA
1977-06-01,NA
1977-07-01,NA
1977-08-01,NA
1977-09-01,NA
1977-10-01,NA
1977-11-01,NA
1977-12-01,NA
1978-01-01,NA
1978-02-01,NA
1978-03-01,NA
1978-04-01,NA
1978-05-01,NA
1978-06-01,NA
1978-07-01,NA
1978-08-01,NA
1978-09-01,NA
1978-10-01,NA
1978-11-01,NA
1978-12-01,NA
1979-01-01,NA
1979-02-01,NA
1979-03-01,NA
1979-04-01,NA
1979-05-01,NA
1979-06-01,NA
1979-07-01,NA
1979-08-01,NA
1979-09-01,NA
1979-10-01,NA
1979-11-01,NA
1979-12-01,NA
1980-01-01,NA
1980-02-01,NA
1980-03-01,NA
1980-04-01,NA
1980-05-01,NA
1980-06-01,NA
1980-07-01,NA
1980-08-01,NA
1980-09-01,NA
1980-10-01,NA
1980-11-01,NA
1980-12-01,NA
1981-01-01,NA
1981-02-01,NA
1981-03-01,NA
1981-04-01,NA
1981-05-01,NA
1981-06-01,NA
1981-07-01,NA
1981-08-01,NA
1981-09-01,NA
1981-10-01,NA
1981-11-01,NA
1981-12-01,NA
1982-01-01,NA
1982-02-01,NA
1982-03-01,NA
1982-04-01,NA
1982-05-01,NA
1982-06-01,NA
1982-07-01,NA
1982-08-01,NA
1982-09-01,NA
1982-10-01,NA
1982-11-01,NA
1982-12-01,NA
1983-01-01,NA
1983-02-01,NA
1983-03-01,NA
1983-04-01,NA
1983-05-01,NA
1983-06-01,NA
1983-07-01,NA
1983-08-01,NA
1983-09-01,NA
1983-10-01,NA
1983-11-01,NA
1983-12-01,NA
1984-01-01,NA
1984-02-01,NA
1984-03-01,NA
1984-04-01,NA
1984-05-01,NA
1984-06-01,NA
1984-07-01,NA
1984-08-01,NA
1984-09-01,NA
1984-10-01,NA
1984-11-01,NA
1984-12-01,NA
1985-01-01,NA
1985-02-01,NA
1985-03-01,NA
1985-04-01,NA
1985-05-01,NA
1985-06-01,NA
1985-07-01,NA
1985-08-01,NA
1985-09-01,NA
1985-10-01,NA
1985-11-01,NA
1985-12-01,NA
1986-01-01,NA
1986-02-01,NA
1986-03-01,NA
1986-04-01,NA
1986-05-01,NA
1986-06-01,NA
1986-07-01,NA
1986-08-01,NA
1986-09-01,NA
1986-10-01,NA
1986-11-01,NA
1986-12-01,NA
1987-01-01,NA
1987-02-01,NA
1987-03-01,NA
1987-04-01,NA
1987-05-01,NA
1987-06-01,NA
1987-07-01,NA
1987-08-01,NA
1987-09-01,NA
1987-10-01,NA
1987-11-01,NA
1987-12-01,NA
1988-01-01,NA
1988-02-01,NA
1988-03-01,NA
1988-04-01,NA
1988-05-01,NA
1988-06-01,NA
1988-07-01,NA
1988-08-01,NA
1988-09-01,NA
1988-10-01,NA
1988-11-01,NA
1988-12-01,NA
1989-01-01,NA
1989-02-01,NA
1989-03-01,NA
1989-04-01,NA
1989-05-01,NA
1989-06-01,NA
1989-07-01,NA
1989-08-01,NA
1989-09-01,NA
1989-10-01,NA
1989-11-01,NA
1989-12-01,NA
1990-01-01,84.4
1990-02-01,85.8
1990-03-01,85.6
1990-04-01,85.4
1990-05-01,84.5
1990-06-01,84
1990-07-01,87.1
1990-08-01,82.2
1990-09-01,82.7
1990-10-01,82.8
1990-11-01,85
1990-12-01,87.7
1991-01-01,88.5
1991-02-01,85.6
1991-03-01,84.8
1991-04-01,81.7
1991-05-01,84
1991-06-01,82.5
1991-07-01,81.4
1991-08-01,81.8
1991-09-01,77.8
1991-10-01,78.6
1991-11-01,82.2
1991-12-01,85.7
1992-01-01,83.5
1992-02-01,82.6
1992-03-01,79.1
1992-04-01,78.5
1992-05-01,79.8
1992-06-01,78.5
1992-07-01,83.7
1992-08-01,82.8
1992-09-01,88.3
1992-10-01,85.8
1992-11-01,94.1
1992-12-01,90.7
1993-01-01,90.6
1993-02-01,83.4
1993-03-01,81.4
1993-04-01,82.4
1993-05-01,89.4
1993-06-01,94.9
1993-07-01,85.5
1993-08-01,84.4
1993-09-01,87.6
1993-10-01,90.8
1993-11-01,87.5
1993-12-01,87.9
1994-01-01,93.8
1994-02-01,86.1
1994-03-01,91
1994-04-01,88.7
1994-05-01,83
1994-06-01,82.1
1994-07-01,78.3
1994-08-01,80.7
1994-09-01,78.6
1994-10-01,74.8
1994-11-01,73.2
1994-12-01,77.8
1995-01-01,77.1
1995-02-01,72.3
1995-03-01,71
1995-04-01,71.9
1995-05-01,72.6
1995-06-01,74.1
1995-07-01,72.9
1995-08-01,66.5
1995-09-01,67.4
1995-10-01,69.7
1995-11-01,72.5
1995-12-01,77.6
1996-01-01,86.1
1996-02-01,97.1
1996-03-01,88.2
1996-04-01,93.9
1996-05-01,90.1
1996-06-01,82.3
1996-07-01,89.2
1996-08-01,90.2
1996-09-01,80.5
1996-10-01,79.1
1996-11-01,100.4
1996-12-01,134.1
1997-01-01,149.8
1997-02-01,116.6
1997-03-01,82.1
1997-04-01,79.6
1997-05-01,86.3
1997-06-01,90.4
1997-07-01,88
1997-08-01,88.9
1997-09-01,97.1
1997-10-01,112.9
1997-11-01,122.7
1997-12-01,100.9
1998-01-01,91.1
1998-02-01,85.5
1998-03-01,88.5
1998-04-01,91.8
1998-05-01,91.8
1998-06-01,85.7
1998-07-01,90.7
1998-08-01,84.4
1998-09-01,75.3
1998-10-01,81.9
1998-11-01,86.4
1998-12-01,87.7
1999-01-01,78.3
1999-02-01,78.1
1999-03-01,74.6
1999-04-01,80
1999-05-01,91.6
1999-06-01,90.1
1999-07-01,91.6
1999-08-01,100.5
1999-09-01,107.6
1999-10-01,99.8
1999-11-01,112.6
1999-12-01,89.5
2000-01-01,95.5
2000-02-01,99.9
2000-03-01,100.8
2000-04-01,108.2
2000-05-01,114.3
2000-06-01,147.8
2000-07-01,148.3
2000-08-01,133.6
2000-09-01,151.7
2000-10-01,169.7
2000-11-01,157.8
2000-12-01,214.8
2001-01-01,308.9
2001-02-01,216.8
2001-03-01,182.9
2001-04-01,186.8
2001-05-01,175.9
2001-06-01,137.5
2001-07-01,115.4
2001-08-01,114.6
2001-09-01,94.3
2001-10-01,79.9
2001-11-01,111.2
2001-12-01,92.6
2002-01-01,100.2
2002-02-01,84.9
2002-03-01,97.8
2002-04-01,123.6
2002-05-01,119.5
2002-06-01,113.6
2002-07-01,110
2002-08-01,111.6
2002-09-01,115.6
2002-10-01,126.2
2002-11-01,150.9
2002-12-01,153.8
2003-01-01,169.6
2003-02-01,186.4
2003-03-01,271.2
2003-04-01,176.1
2003-05-01,183.2
2003-06-01,202.9
2003-07-01,189.3
2003-08-01,171.7
2003-09-01,177.1
2003-10-01,163.6
2003-11-01,161.4
2003-12-01,176.1
2004-01-01,207.7
2004-02-01,200
2004-03-01,182.2
2004-04-01,191
2004-05-01,207.8
2004-06-01,229.8
2004-07-01,220.1
2004-08-01,214.4
2004-09-01,187.2
2004-10-01,194.5
2004-11-01,257.3
2004-12-01,244.8
2005-01-01,216.8
2005-02-01,217.6
2005-03-01,221
2005-04-01,251.6
