"Date","WPU06130288"
2007-09-01,105.4
2007-10-01,115.2
2007-11-01,130
2007-12-01,157
2008-01-01,NA
2008-02-01,NA
2008-03-01,206.2
2008-04-01,245.6
2008-05-01,257.8
2008-06-01,292.3
2008-07-01,299.6
2008-08-01,389.4
2008-09-01,397.6
2008-10-01,397.6
2008-11-01,393.9
2008-12-01,393.9
2009-01-01,379.8
2009-02-01,374
2009-03-01,374
2009-04-01,362.9
2009-05-01,336.4
2009-06-01,309
2009-07-01,NA
2009-08-01,NA
2009-09-01,NA
2009-10-01,NA
2009-11-01,NA
2009-12-01,NA
2010-01-01,NA
2010-02-01,NA
2010-03-01,NA
2010-04-01,NA
2010-05-01,NA
2010-06-01,NA
2010-07-01,NA
2010-08-01,NA
2010-09-01,NA
2010-10-01,NA
2010-11-01,NA
2010-12-01,NA
2011-01-01,NA
2011-02-01,NA
2011-03-01,NA
2011-04-01,NA
2011-05-01,NA
2011-06-01,NA
2011-07-01,NA
2011-08-01,NA
2011-09-01,NA
2011-10-01,NA
2011-11-01,NA
2011-12-01,NA
2012-01-01,272.5
2012-02-01,275.1
2012-03-01,271.6
2012-04-01,275.9
2012-05-01,275.9
2012-06-01,275.9
2012-07-01,273.9
2012-08-01,271.4
2012-09-01,273.1
2012-10-01,274
2012-11-01,273.9
2012-12-01,273.7
2013-01-01,258.2
2013-02-01,NA
2013-03-01,254.3
2013-04-01,254.7
2013-05-01,255.1
2013-06-01,252.9
2013-07-01,252.9
2013-08-01,207.6
2013-09-01,198.5
2013-10-01,210.6
2013-11-01,206.1
2013-12-01,210.5
2014-01-01,206.4
2014-02-01,211.6
2014-03-01,211.6
2014-04-01,211.6
2014-05-01,209.6
2014-06-01,214.1
2014-07-01,215.1
2014-08-01,223.7
2014-09-01,238.5
2014-10-01,229
2014-11-01,231.6
2014-12-01,234.1
2015-01-01,233
2015-02-01,235.6
2015-03-01,238.4
2015-04-01,242.2
2015-05-01,242.2
2015-06-01,245.7
2015-07-01,241.2
2015-08-01,237.8
2015-09-01,236.5
2015-10-01,235.5
2015-11-01,233.6
2015-12-01,231.8
2016-01-01,223
2016-02-01,211.8
2016-03-01,212.2
2016-04-01,207.5
2016-05-01,206.9
2016-06-01,200.5
2016-07-01,196.5
2016-08-01,192.5
2016-09-01,182.6
2016-10-01,176.3
2016-11-01,175.2
2016-12-01,175.4
2017-01-01,174.1
2017-02-01,172.2
