"Date","WPUSI004011"
1967-01-01,33.5
1967-02-01,33.9
1967-03-01,33.9
1967-04-01,34
1967-05-01,34.1
1967-06-01,34.4
1967-07-01,34.6
1967-08-01,35
1967-09-01,36.1
1967-10-01,35.3
1967-11-01,35
1967-12-01,35.5
1968-01-01,36
1968-02-01,37.3
1968-03-01,38.3
1968-04-01,39.1
1968-05-01,39.4
1968-06-01,39.5
1968-07-01,40.4
1968-08-01,41
1968-09-01,41.8
1968-10-01,42.8
1968-11-01,43.5
1968-12-01,46.6
1969-01-01,48.6
1969-02-01,51.5
1969-03-01,53.7
1969-04-01,50.2
1969-05-01,47.4
1969-06-01,43.3
1969-07-01,41.1
1969-08-01,40.4
1969-09-01,40.2
1969-10-01,40
1969-11-01,40.6
1969-12-01,40.1
1970-01-01,39.6
1970-02-01,39
1970-03-01,38.6
1970-04-01,38.9
1970-05-01,39.4
1970-06-01,39
1970-07-01,38.7
1970-08-01,39.1
1970-09-01,39.2
1970-10-01,38.9
1970-11-01,38.3
1970-12-01,37.9
1971-01-01,38.4
1971-02-01,41
1971-03-01,43.9
1971-04-01,44.1
1971-05-01,44.1
1971-06-01,44.4
1971-07-01,46.6
1971-08-01,48.5
1971-09-01,48.4
1971-10-01,47.1
1971-11-01,46.9
1971-12-01,47.5
1972-01-01,48.5
1972-02-01,49.8
1972-03-01,50.7
1972-04-01,51.4
1972-05-01,52
1972-06-01,52.7
1972-07-01,53.4
1972-08-01,54.3
1972-09-01,54.5
1972-10-01,54.8
1972-11-01,54.8
1972-12-01,55
1973-01-01,55.4
1973-02-01,60.2
1973-03-01,66.1
1973-04-01,69.6
1973-05-01,71.3
1973-06-01,69.1
1973-07-01,66.3
1973-08-01,66.8
1973-09-01,68.2
1973-10-01,67.3
1973-11-01,69.5
1973-12-01,70.1
1974-01-01,68.7
1974-02-01,68.8
1974-03-01,72.2
1974-04-01,76.3
1974-05-01,74.5
1974-06-01,71.2
1974-07-01,69.5
1974-08-01,67
1974-09-01,65.5
1974-10-01,60.4
1974-11-01,59
1974-12-01,58.8
1975-01-01,58.5
1975-02-01,60.7
1975-03-01,60.9
1975-04-01,63.4
1975-05-01,67
1975-06-01,65.8
1975-07-01,65
1975-08-01,65
1975-09-01,65
1975-10-01,64.6
1975-11-01,64.2
1975-12-01,66.6
1976-01-01,70.2
1976-02-01,72.9
1976-03-01,75.6
1976-04-01,75.6
1976-05-01,74.6
1976-06-01,73.2
1976-07-01,75.3
1976-08-01,77.2
1976-09-01,79.7
1976-10-01,79.8
1976-11-01,80
