"Date","WPUSI01102A"
2008-06-01,100
2008-07-01,100
2008-08-01,102.4
2008-09-01,124.3
2008-10-01,121.1
2008-11-01,107.1
2008-12-01,90.9
2009-01-01,89.5
2009-02-01,89.1
2009-03-01,78.2
2009-04-01,76.4
2009-05-01,72.7
2009-06-01,72.7
2009-07-01,72.7
2009-08-01,69.4
2009-09-01,78
2009-10-01,77.4
2009-11-01,77
2009-12-01,78.1
2010-01-01,78.2
2010-02-01,79.6
2010-03-01,82.5
2010-04-01,83.8
2010-05-01,92.9
2010-06-01,90.7
2010-07-01,91.4
2010-08-01,91.4
2010-09-01,92.9
2010-10-01,92.2
2010-11-01,90
2010-12-01,91.5
2011-01-01,90.5
2011-02-01,92.3
2011-03-01,94
2011-04-01,95
2011-05-01,92.4
2011-06-01,91.1
2011-07-01,94.9
2011-08-01,94.9
2011-09-01,119.9
2011-10-01,109.2
2011-11-01,102.7
2011-12-01,99.9
2012-01-01,100.6
2012-02-01,102.7
2012-03-01,102.3
2012-04-01,101
2012-05-01,100.1
2012-06-01,106
2012-07-01,111.6
2012-08-01,111.6
2012-09-01,144.4
2012-10-01,140.1
2012-11-01,131.6
2012-12-01,128.8
2013-01-01,131
2013-02-01,128.8
2013-03-01,124.8
2013-04-01,118.4
2013-05-01,118.4
2013-06-01,124.3
2013-07-01,124.3
2013-08-01,124.3
2013-09-01,171.1
2013-10-01,100.9
2013-11-01,98.1
2013-12-01,98.7
2014-01-01,97.6
2014-02-01,97.6
2014-03-01,102.3
2014-04-01,103
2014-05-01,104.5
2014-06-01,107.7
2014-07-01,108.4
2014-08-01,107.7
2014-09-01,103.1
2014-10-01,100.1
2014-11-01,95.4
2014-12-01,96.8
2015-01-01,93.9
2015-02-01,91.8
2015-03-01,92.1
2015-04-01,90.7
2015-05-01,90.2
2015-06-01,87.6
2015-07-01,85.1
2015-08-01,85.1
2015-09-01,100.8
2015-10-01,98.9
2015-11-01,97.8
2015-12-01,102.9
2016-01-01,113.3
2016-02-01,115.4
2016-03-01,117.3
2016-04-01,115.9
2016-05-01,118.8
2016-06-01,118.9
2016-07-01,118.9
2016-08-01,118.9
2016-09-01,125.5
2016-10-01,112.6
2016-11-01,114.9
2016-12-01,105.9
2017-01-01,106.8
2017-02-01,101.8
2017-03-01,104.3
2017-04-01,100.1
2017-05-01,102.2
2017-06-01,104.9
2017-07-01,104.9
2017-08-01,104.7
2017-09-01,136.1
2017-10-01,116.9
2017-11-01,105.8
2017-12-01,102.8
2018-01-01,101.5
2018-02-01,97.1
2018-03-01,92.8
2018-04-01,91.4
2018-05-01,91.1
2018-06-01,94.3
2018-07-01,96
2018-08-01,96.3
2018-09-01,101.4
2018-10-01,100
2018-11-01,100.8
2018-12-01,104.6
2019-01-01,109.1
2019-02-01,110.2
2019-03-01,111
2019-04-01,113
2019-05-01,111.7
2019-06-01,111.1
2019-07-01,110.5
2019-08-01,107.6
2019-09-01,110.1
2019-10-01,107.2
2019-11-01,102.2
2019-12-01,98.2
2020-01-01,98
2020-02-01,97.9
2020-03-01,94.1
2020-04-01,93.5
2020-05-01,94.6
2020-06-01,94.5
2020-07-01,94.3
2020-08-01,94.3
2020-09-01,98.4
2020-10-01,99.8
2020-11-01,101.2
2020-12-01,103.7
2021-01-01,113.6
2021-02-01,113.9
2021-03-01,115
2021-04-01,115.2
2021-05-01,114.2
2021-06-01,112.9
2021-07-01,112.923
2021-08-01,116.967
2021-09-01,118.254
2021-10-01,122.575
2021-11-01,119.161
2021-12-01,116.783
2022-01-01,121.088
2022-02-01,122.451
2022-03-01,122.656
2022-04-01,116.168
2022-05-01,116.151
2022-06-01,113.747
2022-07-01,113.213
2022-08-01,113.213
2022-09-01,123.495
2022-10-01,143.053
2022-11-01,150.949
2022-12-01,154.282
2023-01-01,162.795
2023-02-01,163.996
2023-03-01,155.414
2023-04-01,150.74
2023-05-01,145.388
2023-06-01,148.548
2023-07-01,152.042
2023-08-01,155.367
2023-09-01,155.588
2023-10-01,133.18
2023-11-01,122.19
