"Date","WPU027A0104"
2011-12-01,100
2012-01-01,95.5
2012-02-01,80.8
2012-03-01,79.7
2012-04-01,80
2012-05-01,71.4
2012-06-01,70.9
2012-07-01,61.1
2012-08-01,55.5
2012-09-01,55.2
2012-10-01,54.5
2012-11-01,52.3
2012-12-01,49.8
2013-01-01,38.6
2013-02-01,38.7
2013-03-01,41
2013-04-01,43.3
2013-05-01,42.3
2013-06-01,42.8
2013-07-01,42.8
2013-08-01,42.7
2013-09-01,42.5
2013-10-01,42.9
2013-11-01,42.9
2013-12-01,44.8
2014-01-01,45.2
2014-02-01,48.1
2014-03-01,46
2014-04-01,47.5
2014-05-01,50.9
2014-06-01,51.2
2014-07-01,51.2
2014-08-01,49.5
2014-09-01,48.1
2014-10-01,48
2014-11-01,47
2014-12-01,46.6
2015-01-01,46.6
2015-02-01,45.5
2015-03-01,45.2
2015-04-01,45.2
2015-05-01,46.9
2015-06-01,47.7
2015-07-01,48.6
2015-08-01,48.6
2015-09-01,48.9
2015-10-01,49.3
2015-11-01,49.3
2015-12-01,50.4
2016-01-01,52.8
2016-02-01,57.5
2016-03-01,57.8
2016-04-01,57.8
2016-05-01,57.8
2016-06-01,57.8
2016-07-01,57.8
2016-08-01,57.8
2016-09-01,61.4
2016-10-01,62.1
2016-11-01,66.4
2016-12-01,69.5
2017-01-01,78.2
2017-02-01,78.7
2017-03-01,78.7
2017-04-01,83.8
2017-05-01,83.5
2017-06-01,82.9
2017-07-01,82.6
2017-08-01,78.2
2017-09-01,78.2
2017-10-01,77.9
2017-11-01,69.2
2017-12-01,69.4
2018-01-01,69.1
2018-02-01,68.2
2018-03-01,60
2018-04-01,68.5
2018-05-01,59.8
2018-06-01,59.8
2018-07-01,59.7
2018-08-01,59.7
2018-09-01,59.5
2018-10-01,58.4
2018-11-01,58.4
2018-12-01,58.5
2019-01-01,58.4
2019-02-01,58.3
2019-03-01,58.2
2019-04-01,58.2
2019-05-01,58
2019-06-01,57.7
2019-07-01,56.8
2019-08-01,50.8
2019-09-01,49
2019-10-01,48.5
2019-11-01,39.1
2019-12-01,38.8
2020-01-01,37.6
2020-02-01,38.2
2020-03-01,32.6
2020-04-01,31.7
2020-05-01,26.5
2020-06-01,25.9
2020-07-01,26.1
2020-08-01,26.1
2020-09-01,26.7
2020-10-01,22.3
2020-11-01,22.3
2020-12-01,22.3
2021-01-01,22.3
2021-02-01,22.3
2021-03-01,22.3
2021-04-01,22.4
2021-05-01,23
2021-06-01,26.8
2021-07-01,27.16
2021-08-01,27.159
2021-09-01,29.394
2021-10-01,29.878
2021-11-01,30.414
2021-12-01,35.835
2022-01-01,36.928
2022-02-01,44.53
2022-03-01,47.913
2022-04-01,48.187
2022-05-01,53.382
2022-06-01,53.987
2022-07-01,54.697
2022-08-01,63.535
2022-09-01,64.064
2022-10-01,66.916
2022-11-01,67.012
2022-12-01,67.269
2023-01-01,67.226
2023-02-01,66.61
2023-03-01,66.51
2023-04-01,63.689
2023-05-01,60.504
2023-06-01,59.866
2023-07-01,59.063
2023-08-01,51.591
2023-09-01,33.329
2023-10-01,32.705
2023-11-01,32.705
