"Date","PPIAWS"
2009-11-01,100.6
2009-12-01,100.7
2010-01-01,101.4
2010-02-01,101.5
2010-03-01,101.8
2010-04-01,102.1
2010-05-01,102.6
2010-06-01,103.5
2010-07-01,104.1
2010-08-01,103.5
2010-09-01,103.5
2010-10-01,104.2
2010-11-01,104.8
2010-12-01,105.1
2011-01-01,106.2
2011-02-01,107.3
2011-03-01,108.7
2011-04-01,109.3
2011-05-01,110.3
2011-06-01,110.2
2011-07-01,110.3
2011-08-01,110.9
2011-09-01,111.5
2011-10-01,111.6
2011-11-01,111.8
2011-12-01,112.1
2012-01-01,112.2
2012-02-01,113.1
2012-03-01,113.9
2012-04-01,114.4
2012-05-01,114.6
2012-06-01,114.2
2012-07-01,113.7
2012-08-01,114.1
2012-09-01,114.6
2012-10-01,115.1
2012-11-01,114.9
2012-12-01,114.9
2013-01-01,114.9
2013-02-01,115
2013-03-01,115.3
2013-04-01,114.4
2013-05-01,114.4
2013-06-01,114.9
2013-07-01,115.4
2013-08-01,115.6
2013-09-01,115.6
2013-10-01,115.9
2013-11-01,115.3
2013-12-01,117.3
2014-01-01,116.1
2014-02-01,115.8
2014-03-01,116.6
2014-04-01,117.7
2014-05-01,118.3
2014-06-01,118.2
2014-07-01,118.4
2014-08-01,118.8
2014-09-01,118.6
2014-10-01,118
2014-11-01,117.9
2014-12-01,118
2015-01-01,116.7
2015-02-01,115.8
2015-03-01,115.8
2015-04-01,115.5
2015-05-01,115.9
2015-06-01,115.9
2015-07-01,115.8
2015-08-01,115
2015-09-01,114.8
2015-10-01,114.5
2015-11-01,114.6
2015-12-01,113.5
2016-01-01,114
2016-02-01,113.6
2016-03-01,113.6
2016-04-01,113.3
2016-05-01,113
2016-06-01,113
2016-07-01,113.6
2016-08-01,113.6
2016-09-01,112.8
2016-10-01,113.3
2016-11-01,113.9
2016-12-01,114.9
2017-01-01,115.1
2017-02-01,115.5
2017-03-01,114.4
2017-04-01,115.1
2017-05-01,115.1
2017-06-01,115.5
2017-07-01,115.1
2017-08-01,115.7
2017-09-01,116.6
2017-10-01,117.1
2017-11-01,118.2
2017-12-01,117.7
2018-01-01,118.1
2018-02-01,119.5
2018-03-01,120.2
2018-04-01,120.1
2018-05-01,120.5
2018-06-01,121.6
2018-07-01,122.2
2018-08-01,122.4
2018-09-01,123.9
2018-10-01,124.4
2018-11-01,125.6
2018-12-01,125.4
2019-01-01,125.7
2019-02-01,124.9
2019-03-01,124.6
2019-04-01,124.7
2019-05-01,125.3
2019-06-01,125.3
2019-07-01,125.8
2019-08-01,125.5
2019-09-01,125.2
2019-10-01,125.5
2019-11-01,125.8
2019-12-01,128.1
2020-01-01,126.8
2020-02-01,126.2
2020-03-01,122.4
2020-04-01,117.7
2020-05-01,119.1
2020-06-01,120.4
2020-07-01,120
2020-08-01,119
2020-09-01,119.8
2020-10-01,121.2
2020-11-01,121
2020-12-01,120.6
2021-01-01,121.5
2021-02-01,122.5
2021-03-01,124.3
2021-04-01,128.1
2021-05-01,128.3
2021-06-01,130
2021-07-01,133.639
2021-08-01,134.774
2021-09-01,133.301
2021-10-01,134.457
2021-11-01,138.573
2021-12-01,141.126
2022-01-01,140.827
2022-02-01,143.23
2022-03-01,151.44
2022-04-01,154.437
2022-05-01,158.287
2022-06-01,159.63
2022-07-01,159.152
2022-08-01,157.424
2022-09-01,157.123
2022-10-01,157.122
2022-11-01,156.445
2022-12-01,156.424
2023-01-01,155.624
2023-02-01,154.394
2023-03-01,153.26
2023-04-01,149.485
2023-05-01,148.69
2023-06-01,148.694
2023-07-01,149.079
2023-08-01,149.049
2023-09-01,149.305
2023-10-01,150.956
2023-11-01,150.231
