"Date","WPS0141"
1990-01-01,110.9
1990-02-01,130.1
1990-03-01,134
1990-04-01,123.4
1990-05-01,120
1990-06-01,114.2
1990-07-01,127.2
1990-08-01,116.4
1990-09-01,121.5
1990-10-01,107.9
1990-11-01,109
1990-12-01,117.5
1991-01-01,122.5
1991-02-01,111.2
1991-03-01,109
1991-04-01,109.8
1991-05-01,105.5
1991-06-01,108.9
1991-07-01,107.2
1991-08-01,115.1
1991-09-01,106.8
1991-10-01,116.4
1991-11-01,115
1991-12-01,115.8
1992-01-01,114.1
1992-02-01,112.5
1992-03-01,108.2
1992-04-01,106.8
1992-05-01,110.5
1992-06-01,110.9
1992-07-01,119.4
1992-08-01,119.2
1992-09-01,104.3
1992-10-01,124.5
1992-11-01,126.4
1992-12-01,117.3
1993-01-01,119.3
1993-02-01,122.1
1993-03-01,122.4
1993-04-01,127.3
1993-05-01,133.1
1993-06-01,122.4
1993-07-01,120.2
1993-08-01,122.2
1993-09-01,129.8
1993-10-01,125.7
1993-11-01,126
1993-12-01,125.9
1994-01-01,118
1994-02-01,133
1994-03-01,138.9
1994-04-01,140.3
1994-05-01,141
1994-06-01,140.2
1994-07-01,126.8
1994-08-01,111.4
1994-09-01,118.4
1994-10-01,122.6
1994-11-01,105.8
1994-12-01,118.4
1995-01-01,114.2
1995-02-01,119.8
1995-03-01,120.5
1995-04-01,117.8
1995-05-01,109.8
1995-06-01,122.5
1995-07-01,125.5
1995-08-01,133
1995-09-01,138.6
1995-10-01,134.6
1995-11-01,148.6
1995-12-01,141.5
1996-01-01,146.5
1996-02-01,134.8
1996-03-01,126.7
1996-04-01,131.7
1996-05-01,145.6
1996-06-01,162.8
1996-07-01,148
1996-08-01,148.1
1996-09-01,142.9
1996-10-01,149.6
1996-11-01,153.9
1996-12-01,162.1
1997-01-01,153.3
1997-02-01,150.2
1997-03-01,129.2
1997-04-01,141.9
1997-05-01,135.1
1997-06-01,135.4
1997-07-01,144
1997-08-01,148.6
1997-09-01,135
1997-10-01,123.4
1997-11-01,119.9
1997-12-01,119.9
1998-01-01,128.5
1998-02-01,133.6
1998-03-01,142.5
1998-04-01,147.6
1998-05-01,141
1998-06-01,148.9
1998-07-01,156.2
1998-08-01,173.6
1998-09-01,162.4
1998-10-01,168.6
1998-11-01,152.4
1998-12-01,145
1999-01-01,142.3
1999-02-01,143.6
1999-03-01,137
1999-04-01,127.1
1999-05-01,141.2
1999-06-01,135.8
1999-07-01,130.3
1999-08-01,124.6
1999-09-01,122.8
1999-10-01,117.3
1999-11-01,136.6
1999-12-01,139.9
2000-01-01,NA
2000-02-01,NA
