"Date","WPU0613020T"
2008-12-01,100
2009-01-01,94.3
2009-02-01,96.1
2009-03-01,86.5
2009-04-01,86.5
2009-05-01,84.7
2009-06-01,78
2009-07-01,78.6
2009-08-01,76.8
2009-09-01,77.4
2009-10-01,73.9
2009-11-01,74.5
2009-12-01,80.3
2010-01-01,79.3
2010-02-01,73.8
2010-03-01,77.3
2010-04-01,78.2
2010-05-01,77.5
2010-06-01,79.4
2010-07-01,79.2
2010-08-01,80.5
2010-09-01,82.1
2010-10-01,79.9
2010-11-01,81.9
2010-12-01,81.7
2011-01-01,86.3
2011-02-01,86.9
2011-03-01,87.1
2011-04-01,88.7
2011-05-01,90
2011-06-01,91
2011-07-01,91.1
2011-08-01,91.5
2011-09-01,94.4
2011-10-01,95.4
2011-11-01,101.6
2011-12-01,104.4
2012-01-01,110.3
2012-02-01,107.6
2012-03-01,112.2
2012-04-01,109.1
2012-05-01,111.7
2012-06-01,111.8
2012-07-01,111.6
2012-08-01,111.9
2012-09-01,113.3
2012-10-01,116.2
2012-11-01,113.5
2012-12-01,112.7
2013-01-01,112.7
2013-02-01,112.5
2013-03-01,112.8
2013-04-01,112.4
2013-05-01,113.3
2013-06-01,111.8
2013-07-01,111.1
2013-08-01,109.5
2013-09-01,110.7
2013-10-01,103.3
2013-11-01,99.5
2013-12-01,95.8
2014-01-01,94.6
2014-02-01,95.3
2014-03-01,95.9
2014-04-01,94.6
2014-05-01,95.2
2014-06-01,96.9
2014-07-01,99.7
2014-08-01,99.9
2014-09-01,102.2
2014-10-01,104.1
2014-11-01,101.7
2014-12-01,104.9
2015-01-01,104.1
2015-02-01,102
2015-03-01,98.8
2015-04-01,99
2015-05-01,99
2015-06-01,97.1
2015-07-01,96.7
2015-08-01,97
2015-09-01,95.4
2015-10-01,96.8
2015-11-01,96.5
2015-12-01,95.6
2016-01-01,95.7
2016-02-01,94.8
2016-03-01,95.4
2016-04-01,94.1
2016-05-01,92.1
2016-06-01,90
2016-07-01,86.4
2016-08-01,84.6
2016-09-01,81.9
2016-10-01,81.6
2016-11-01,81.8
2016-12-01,82
2017-01-01,81.1
2017-02-01,81
2017-03-01,80.7
2017-04-01,80.4
2017-05-01,81
2017-06-01,83.9
2017-07-01,85.3
2017-08-01,86.5
2017-09-01,86.2
2017-10-01,87.9
2017-11-01,92.7
2017-12-01,95.5
2018-01-01,95.1
2018-02-01,97.6
2018-03-01,105
2018-04-01,104.7
2018-05-01,104.8
2018-06-01,105.2
2018-07-01,108.2
2018-08-01,105.8
2018-09-01,106.6
2018-10-01,107.9
2018-11-01,108.7
2018-12-01,110.6
2019-01-01,111.2
2019-02-01,112.3
2019-03-01,110.4
2019-04-01,111.4
2019-05-01,109.5
2019-06-01,108.4
2019-07-01,106.8
2019-08-01,105
2019-09-01,105.3
2019-10-01,104.9
2019-11-01,102.3
2019-12-01,95.3
2020-01-01,92
2020-02-01,91.7
2020-03-01,82.6
2020-04-01,77.5
2020-05-01,76
2020-06-01,78.9
2020-07-01,78.6
2020-08-01,76.5
2020-09-01,76.1
2020-10-01,76.4
2020-11-01,76.6
2020-12-01,77.4
2021-01-01,77.5
2021-02-01,79.8
2021-03-01,81
2021-04-01,82.9
2021-05-01,98.7
2021-06-01,101.6
2021-07-01,106.782
2021-08-01,105.745
2021-09-01,105.266
2021-10-01,107.027
2021-11-01,107.549
2021-12-01,118.152
2022-01-01,121.119
2022-02-01,129.065
2022-03-01,131.875
2022-04-01,137.831
2022-05-01,163.729
2022-06-01,171.954
2022-07-01,165.876
2022-08-01,151.453
2022-09-01,153.603
2022-10-01,153.137
2022-11-01,121.967
2022-12-01,120.391
2023-01-01,120.285
2023-02-01,121.673
2023-03-01,121.855
2023-04-01,123.582
2023-05-01,114.049
2023-06-01,112.915
2023-07-01,111.876
2023-08-01,111.61
2023-09-01,111.92
2023-10-01,113.491
2023-11-01,112.881
