"Date","WPUIP23111021"
2014-12-01,100
2015-01-01,100.6
2015-02-01,101.3
2015-03-01,101.3
2015-04-01,101.5
2015-05-01,102
2015-06-01,101.8
2015-07-01,102.5
2015-08-01,101.8
2015-09-01,100.8
2015-10-01,100.7
2015-11-01,100.8
2015-12-01,100.2
2016-01-01,100.7
2016-02-01,101.2
2016-03-01,101
2016-04-01,101.5
2016-05-01,102
2016-06-01,103.2
2016-07-01,103.1
2016-08-01,102.5
2016-09-01,102.1
2016-10-01,102
2016-11-01,102
2016-12-01,102.8
2017-01-01,102.8
2017-02-01,102.9
2017-03-01,103.8
2017-04-01,103.8
2017-05-01,104.6
2017-06-01,104.3
2017-07-01,104.2
2017-08-01,106.1
2017-09-01,104.4
2017-10-01,105
2017-11-01,105.5
2017-12-01,106.5
2018-01-01,107
2018-02-01,108.5
2018-03-01,109
2018-04-01,109.7
2018-05-01,110.8
2018-06-01,111.8
2018-07-01,111.4
2018-08-01,110.5
2018-09-01,109.7
2018-10-01,111.1
2018-11-01,110.4
2018-12-01,111.4
2019-01-01,110.5
2019-02-01,110.3
2019-03-01,111.8
2019-04-01,113.7
2019-05-01,111.6
2019-06-01,111.3
2019-07-01,112.1
2019-08-01,113
2019-09-01,114.2
2019-10-01,112.7
2019-11-01,112.5
2019-12-01,113.7
2020-01-01,114.4
2020-02-01,113.7
2020-03-01,114.4
2020-04-01,115.3
2020-05-01,114.6
2020-06-01,118
2020-07-01,118.8
2020-08-01,125.8
2020-09-01,134
2020-10-01,134
2020-11-01,127
2020-12-01,128.9
2021-01-01,136.5
2021-02-01,139.9
2021-03-01,142.4
2021-04-01,151.2
2021-05-01,164.8
2021-06-01,174
2021-07-01,162.506
2021-08-01,153.718
2021-09-01,149.676
2021-10-01,149.192
2021-11-01,143.586
2021-12-01,144.728
2022-01-01,156.035
2022-02-01,166.535
2022-03-01,182.028
2022-04-01,181.081
2022-05-01,175.608
2022-06-01,167.447
2022-07-01,160.568
2022-08-01,153.694
2022-09-01,149.819
2022-10-01,151.178
2022-11-01,151.616
2022-12-01,145.748
2023-01-01,147.566
2023-02-01,145.873
2023-03-01,148.087
2023-04-01,148.708
2023-05-01,146.736
2023-06-01,148.115
2023-07-01,151.797
2023-08-01,151.971
2023-09-01,153.328
2023-10-01,154.4
2023-11-01,153.675
