"Date","WPU13990214C"
2007-12-01,100
2008-01-01,NA
2008-02-01,NA
2008-03-01,NA
2008-04-01,NA
2008-05-01,NA
2008-06-01,NA
2008-07-01,NA
2008-08-01,NA
2008-09-01,NA
2008-10-01,NA
2008-11-01,NA
2008-12-01,NA
2009-01-01,NA
2009-02-01,NA
2009-03-01,NA
2009-04-01,NA
2009-05-01,NA
2009-06-01,NA
2009-07-01,NA
2009-08-01,NA
2009-09-01,NA
2009-10-01,NA
2009-11-01,NA
2009-12-01,NA
2010-01-01,NA
2010-02-01,NA
2010-03-01,NA
2010-04-01,NA
2010-05-01,NA
2010-06-01,NA
2010-07-01,NA
2010-08-01,NA
2010-09-01,NA
2010-10-01,NA
2010-11-01,NA
2010-12-01,NA
2011-01-01,NA
2011-02-01,NA
2011-03-01,NA
2011-04-01,NA
2011-05-01,NA
2011-06-01,NA
2011-07-01,NA
2011-08-01,NA
2011-09-01,NA
2011-10-01,NA
2011-11-01,NA
2011-12-01,NA
2012-01-01,NA
2012-02-01,NA
2012-03-01,NA
2012-04-01,NA
2012-05-01,NA
2012-06-01,NA
2012-07-01,NA
2012-08-01,NA
2012-09-01,NA
2012-10-01,NA
2012-11-01,NA
2012-12-01,NA
2013-01-01,NA
2013-02-01,NA
2013-03-01,NA
2013-04-01,NA
2013-05-01,NA
2013-06-01,NA
2013-07-01,NA
2013-08-01,NA
2013-09-01,NA
2013-10-01,NA
2013-11-01,NA
2013-12-01,NA
2014-01-01,121.7
2014-02-01,121.8
2014-03-01,122.2
2014-04-01,122.3
2014-05-01,122.9
2014-06-01,122.3
2014-07-01,122.4
2014-08-01,120.7
2014-09-01,120.8
2014-10-01,120.8
2014-11-01,117.3
2014-12-01,117.3
2015-01-01,117.2
2015-02-01,117.2
2015-03-01,117.2
2015-04-01,117.2
2015-05-01,116.7
2015-06-01,116.7
2015-07-01,116.7
2015-08-01,117.2
2015-09-01,117.2
2015-10-01,117.2
2015-11-01,117.2
2015-12-01,117.2
2016-01-01,116.5
2016-02-01,116.5
2016-03-01,116.5
2016-04-01,117.9
2016-05-01,118.1
2016-06-01,118.1
2016-07-01,117.3
2016-08-01,117.3
2016-09-01,117.5
2016-10-01,117.5
2016-11-01,117.5
2016-12-01,118.2
2017-01-01,118.2
2017-02-01,119.1
2017-03-01,119.1
2017-04-01,119.1
2017-05-01,119.1
2017-06-01,119.1
2017-07-01,119.6
2017-08-01,119.6
2017-09-01,119.6
2017-10-01,119.6
2017-11-01,119.6
2017-12-01,119.6
2018-01-01,121.1
2018-02-01,121.1
2018-03-01,121
2018-04-01,121
2018-05-01,121
2018-06-01,121
2018-07-01,121.2
2018-08-01,121.2
2018-09-01,121.2
2018-10-01,121.2
2018-11-01,121.2
2018-12-01,122.3
2019-01-01,123
2019-02-01,126.1
2019-03-01,126.1
2019-04-01,126.1
2019-05-01,126.1
2019-06-01,126.1
2019-07-01,125.6
2019-08-01,125.6
2019-09-01,125.6
2019-10-01,125.6
2019-11-01,125.6
2019-12-01,128.3
2020-01-01,128.1
2020-02-01,128.1
2020-03-01,128.1
2020-04-01,128.1
2020-05-01,128.1
2020-06-01,128.1
2020-07-01,128.1
2020-08-01,128.1
2020-09-01,128.1
2020-10-01,128.1
2020-11-01,128.1
2020-12-01,128.1
2021-01-01,128.4
2021-02-01,128.4
2021-03-01,128.4
2021-04-01,128.4
2021-05-01,128.4
2021-06-01,131.5
2021-07-01,130.634
2021-08-01,130.634
2021-09-01,131.862
2021-10-01,132.022
2021-11-01,132.022
2021-12-01,130.663
2022-01-01,138.159
2022-02-01,138.159
2022-03-01,138.159
2022-04-01,138.695
2022-05-01,138.695
2022-06-01,142.291
2022-07-01,152.092
2022-08-01,152.092
2022-09-01,152.092
2022-10-01,153.356
2022-11-01,153.391
2022-12-01,153.391
2023-01-01,156.491
2023-02-01,156.491
2023-03-01,156.491
2023-04-01,158.606
2023-05-01,158.606
2023-06-01,158.606
2023-07-01,158.606
2023-08-01,158.606
2023-09-01,158.606
2023-10-01,160.919
2023-11-01,161.722
