"Date","WPU03T15M05"
1967-01-01,36.5
1967-02-01,36.6
1967-03-01,36.5
1967-04-01,36.5
1967-05-01,36.5
1967-06-01,36.5
1967-07-01,36.5
1967-08-01,36.6
1967-09-01,36.7
1967-10-01,36.9
1967-11-01,37
1967-12-01,37.2
1968-01-01,37.3
1968-02-01,37.5
1968-03-01,37.6
1968-04-01,37.7
1968-05-01,37.6
1968-06-01,37.6
1968-07-01,37.7
1968-08-01,37.7
1968-09-01,37.9
1968-10-01,38
1968-11-01,38.1
1968-12-01,38.2
1969-01-01,38.5
1969-02-01,38.7
1969-03-01,38.8
1969-04-01,38.8
1969-05-01,38.9
1969-06-01,38.9
1969-07-01,38.9
1969-08-01,39.1
1969-09-01,39.3
1969-10-01,39.5
1969-11-01,39.6
1969-12-01,39.7
1970-01-01,39.9
1970-02-01,40
1970-03-01,40.2
1970-04-01,40.3
1970-05-01,40.4
1970-06-01,40.5
1970-07-01,40.5
1970-08-01,40.5
1970-09-01,40.6
1970-10-01,40.9
1970-11-01,40.8
1970-12-01,40.8
1971-01-01,41
1971-02-01,41.2
1971-03-01,41.4
1971-04-01,41.6
1971-05-01,41.7
1971-06-01,41.8
1971-07-01,42
1971-08-01,42.2
1971-09-01,42.2
1971-10-01,42.2
1971-11-01,42.1
1971-12-01,42.3
1972-01-01,42.5
1972-02-01,42.7
1972-03-01,42.9
1972-04-01,43
1972-05-01,43.1
1972-06-01,43.2
1972-07-01,43.3
1972-08-01,43.4
1972-09-01,43.5
1972-10-01,43.5
1972-11-01,43.6
1972-12-01,43.7
1973-01-01,43.9
1973-02-01,44.3
1973-03-01,44.8
1973-04-01,45.3
1973-05-01,45.7
1973-06-01,45.9
1973-07-01,45.9
1973-08-01,46.1
1973-09-01,46.3
1973-10-01,46.7
1973-11-01,47.1
1973-12-01,47.7
1974-01-01,48.5
1974-02-01,49.1
1974-03-01,50.3
1974-04-01,51.7
1974-05-01,53
1974-06-01,54
1974-07-01,55.3
1974-08-01,56.7
1974-09-01,57.2
1974-10-01,57.9
1974-11-01,58.3
1974-12-01,58.4
1975-01-01,58.8
1975-02-01,59.2
1975-03-01,59.3
1975-04-01,59.6
1975-05-01,59.7
1975-06-01,59.7
1975-07-01,59.7
1975-08-01,59.9
1975-09-01,60.2
1975-10-01,60.8
1975-11-01,61
1975-12-01,61.3
1976-01-01,61.8
1976-02-01,62.2
1976-03-01,62.5
1976-04-01,62.9
1976-05-01,63.1
1976-06-01,63.4
1976-07-01,63.7
1976-08-01,64
1976-09-01,64.3
1976-10-01,64.7
1976-11-01,64.8
1976-12-01,65.1
1977-01-01,65.5
1977-02-01,65.7
1977-03-01,66.2
1977-04-01,66.7
1977-05-01,66.9
1977-06-01,67
1977-07-01,67.4
1977-08-01,67.8
1977-09-01,68.1
1977-10-01,68.6
1977-11-01,68.7
1977-12-01,68.9
1978-01-01,69.5
1978-02-01,70
1978-03-01,70.4
1978-04-01,71.2
1978-05-01,71.6
1978-06-01,72
1978-07-01,72.5
1978-08-01,73
1978-09-01,73.4
1978-10-01,74.2
1978-11-01,74.7
1978-12-01,75
1979-01-01,76
1979-02-01,76.8
1979-03-01,77.7
1979-04-01,78.7
1979-05-01,79.2
1979-06-01,79.6
1979-07-01,80.3
1979-08-01,80.7
1979-09-01,81.4
1979-10-01,82.8
1979-11-01,83.2
1979-12-01,83.8
1980-01-01,86
1980-02-01,87.3
1980-03-01,87.6
