"Date","MRGASLA"
2003-06-01,1.072
2003-07-01,0.965
2003-08-01,1.315
2003-09-01,0.949
2003-10-01,0.996
2003-11-01,1.02
2003-12-01,0.959
2004-01-01,1.079
2004-02-01,1.344
2004-03-01,1.323
2004-04-01,1.426
2004-05-01,1.649
2004-06-01,1.457
2004-07-01,1.467
2004-08-01,1.388
2004-09-01,1.481
2004-10-01,1.642
2004-11-01,1.404
2004-12-01,1.185
2005-01-01,1.379
2005-02-01,1.545
2005-03-01,1.718
2005-04-01,1.829
2005-05-01,1.6
2005-06-01,1.745
2005-07-01,1.882
2005-08-01,2.142
2005-09-01,2.278
2005-10-01,1.902
2005-11-01,1.577
2005-12-01,1.606
2006-01-01,1.873
2006-02-01,1.73
2006-03-01,2
2006-04-01,2.448
2006-05-01,2.551
2006-06-01,2.401
2006-07-01,2.488
2006-08-01,2.19
2006-09-01,1.782
2006-10-01,1.686
2006-11-01,1.797
2006-12-01,1.805
2007-01-01,1.682
2007-02-01,2.019
2007-03-01,2.373
2007-04-01,2.531
2007-05-01,2.572
2007-06-01,2.354
2007-07-01,2.311
2007-08-01,2.049
2007-09-01,2.208
2007-10-01,2.394
2007-11-01,2.559
2007-12-01,2.45
2008-01-01,2.323
2008-02-01,2.609
2008-03-01,2.783
2008-04-01,3.068
2008-05-01,3.311
2008-06-01,3.694
2008-07-01,3.286
2008-08-01,3.072
2008-09-01,2.87
2008-10-01,2.125
2008-11-01,1.268
2008-12-01,1.11
2009-01-01,1.457
2009-02-01,1.547
2009-03-01,1.473
2009-04-01,1.575
2009-05-01,1.847
2009-06-01,2.085
2009-07-01,1.913
2009-08-01,2.113
2009-09-01,2.056
2009-10-01,2.032
2009-11-01,1.979
2009-12-01,2.014
2010-01-01,2.057
2010-02-01,2.073
2010-03-01,2.257
2010-04-01,2.307
2010-05-01,2.115
2010-06-01,2.255
2010-07-01,2.281
2010-08-01,2.178
2010-09-01,2.069
2010-10-01,2.259
2010-11-01,2.245
2010-12-01,2.42
2011-01-01,2.447
2011-02-01,2.758
2011-03-01,3.153
2011-04-01,3.373
2011-05-01,3.055
2011-06-01,2.861
2011-07-01,2.948
2011-08-01,2.839
2011-09-01,2.917
2011-10-01,2.949
2011-11-01,2.737
2011-12-01,2.702
2012-01-01,2.92
2012-02-01,3.302
2012-03-01,3.383
2012-04-01,3.25
2012-05-01,3.234
2012-06-01,2.626
2012-07-01,2.819
2012-08-01,3.129
2012-09-01,3.162
2012-10-01,3.135
2012-11-01,2.792
2012-12-01,2.615
2013-01-01,2.9
2013-02-01,3.332
2013-03-01,3.029
2013-04-01,2.906
2013-05-01,2.999
2013-06-01,3.021
2013-07-01,3.047
2013-08-01,2.825
2013-09-01,2.907
2013-10-01,2.761
2013-11-01,2.651
2013-12-01,2.685
2014-01-01,2.628
2014-02-01,2.869
2014-03-01,2.894
2014-04-01,3.169
2014-05-01,3.036
2014-06-01,3.116
2014-07-01,2.908
2014-08-01,2.808
2014-09-01,2.719
2014-10-01,2.338
2014-11-01,2.024
2014-12-01,1.508
2015-01-01,1.301
2015-02-01,1.942
2015-03-01,2.017
2015-04-01,2.154
2015-05-01,2.472
2015-06-01,2.187
2015-07-01,2.663
2015-08-01,2.075
2015-09-01,1.715
2015-10-01,1.669
2015-11-01,1.507
2015-12-01,1.647
2016-01-01,1.32
2016-02-01,0.97
2016-03-01,1.528
2016-04-01,1.551
2016-05-01,1.53
2016-06-01,1.642
2016-07-01,1.412
2016-08-01,1.388
2016-09-01,1.552
2016-10-01,1.619
2016-11-01,1.434
2016-12-01,1.5
2017-01-01,1.612
2017-02-01,1.756
2017-03-01,1.72
2017-04-01,1.777
2017-05-01,1.746
2017-06-01,1.619
2017-07-01,1.669
2017-08-01,1.807
2017-09-01,1.823
2017-10-01,1.761
2017-11-01,1.836
2017-12-01,1.646
2018-01-01,1.944
2018-02-01,1.877
2018-03-01,2.08
2018-04-01,2.213
2018-05-01,2.295
2018-06-01,2.136
2018-07-01,2.14
2018-08-01,2.078
2018-09-01,2.224
2018-10-01,2.254
2018-11-01,1.739
2018-12-01,1.597
2019-01-01,1.607
2019-02-01,1.817
2019-03-01,2.004
2019-04-01,2.512
2019-05-01,2.239
2019-06-01,1.851
2019-07-01,1.919
2019-08-01,1.809
2019-09-01,2.059
2019-10-01,2.219
2019-11-01,1.919
2019-12-01,1.659
2020-01-01,1.849
2020-02-01,1.851
2020-03-01,0.93
2020-04-01,0.469
2020-05-01,1.032
2020-06-01,1.301
2020-07-01,1.328
2020-08-01,1.417
2020-09-01,1.299
2020-10-01,1.247
2020-11-01,1.312
2020-12-01,1.432
2021-01-01,1.654
2021-02-01,1.822
2021-03-01,2.066
2021-04-01,2.099
2021-05-01,2.239
2021-06-01,2.311
2021-07-01,2.361
2021-08-01,2.336
2021-09-01,2.25
2021-10-01,2.535
2021-11-01,2.53
2021-12-01,2.315
2022-01-01,2.548
2022-02-01,2.818
2022-03-01,3.784
2022-04-01,3.408
2022-05-01,4.034
2022-06-01,4.27
2022-07-01,3.33
2022-08-01,3.123
2022-09-01,3.884
2022-10-01,3.227
2022-11-01,2.854
2022-12-01,2.249
2023-01-01,2.571
2023-02-01,2.907
2023-03-01,2.756
2023-04-01,2.799
2023-05-01,2.672
2023-06-01,2.802
2023-07-01,2.97
2023-08-01,3.276
2023-09-01,3.78
2023-10-01,2.635
2023-11-01,2.524
