"Date","M0401AUSM234NNBR"
1935-01-01,96.6
1935-02-01,94.4
1935-03-01,90
1935-04-01,89.6
1935-05-01,92.3
1935-06-01,92.1
1935-07-01,92
1935-08-01,94
1935-09-01,96.5
1935-10-01,101.6
1935-11-01,102.7
1935-12-01,101.7
1936-01-01,101.5
1936-02-01,101.2
1936-03-01,101.2
1936-04-01,100.4
1936-05-01,98.4
1936-06-01,98.7
1936-07-01,102.5
1936-08-01,105.3
1936-09-01,106.7
1936-10-01,108
1936-11-01,114.8
1936-12-01,121.6
1937-01-01,128.1
1937-02-01,128.8
1937-03-01,137.5
1937-04-01,134.5
1937-05-01,127
1937-06-01,122.8
1937-07-01,125.1
1937-08-01,124.9
1937-09-01,121.1
1937-10-01,110
1937-11-01,99
1937-12-01,96.2
1938-01-01,97.2
1938-02-01,94.2
1938-03-01,92.1
1938-04-01,88.7
1938-05-01,85.9
1938-06-01,85.1
1938-07-01,94
1938-08-01,94.2
1938-09-01,94.2
1938-10-01,98.7
1938-11-01,98.6
1938-12-01,96
1939-01-01,97.6
1939-02-01,97.7
1939-03-01,99.2
1939-04-01,97
1939-05-01,98.6
1939-06-01,99
1939-07-01,100
1939-08-01,100
1939-09-01,120.4
1939-10-01,127.2
1939-11-01,126.1
1939-12-01,128
1940-01-01,125.1
1940-02-01,117
1940-03-01,115.6
1940-04-01,113.6
1940-05-01,113.8
1940-06-01,114.1
1940-07-01,110.3
1940-08-01,109.3
1940-09-01,112.5
1940-10-01,116.7
1940-11-01,121.2
1940-12-01,121.4
1941-01-01,121.9
1941-02-01,123.3
1941-03-01,131
1941-04-01,134.5
1941-05-01,138.3
1941-06-01,140.5
1941-07-01,143.5
1941-08-01,144.4
1941-09-01,145.5
1941-10-01,145
1941-11-01,145.8
1941-12-01,148.6
1942-01-01,152
1942-02-01,153.3
1942-03-01,154.2
1942-04-01,154
1942-05-01,153.4
1942-06-01,153.5
1942-07-01,154.7
1942-08-01,153.5
1942-09-01,154.7
1942-10-01,155.5
1942-11-01,155.3
1942-12-01,155.9
1943-01-01,157.1
1943-02-01,158.1
1943-03-01,159.5
1943-04-01,159.9
1943-05-01,159.9
1943-06-01,159.8
1943-07-01,160.3
1943-08-01,160.6
1943-09-01,160.6
1943-10-01,160.6
1943-11-01,160.6
1943-12-01,160.6
1944-01-01,160.9
1944-02-01,162
1944-03-01,163.1
1944-04-01,162.9
1944-05-01,163.4
1944-06-01,165.2
1944-07-01,165.7
1944-08-01,165.5
1944-09-01,165.6
1944-10-01,164.2
1944-11-01,163.7
1944-12-01,166.1
1945-01-01,166.4
1945-02-01,166.3
1945-03-01,166.4
1945-04-01,166.5
1945-05-01,166.4
1945-06-01,166.4
1945-07-01,166.5
1945-08-01,167.4
1945-09-01,168.2
1945-10-01,169.1
1945-11-01,169.4
1945-12-01,169.7
1946-01-01,169.8
1946-02-01,170.2
1946-03-01,171.8
1946-04-01,172.5
1946-05-01,172.7
1946-06-01,178.3
1946-07-01,205.8
1946-08-01,204
1946-09-01,204.6
1946-10-01,209.2
1946-11-01,245.5
1946-12-01,261.7
1947-01-01,266.2
1947-02-01,273.9
1947-03-01,284.6
1947-04-01,277.8
1947-05-01,263.7
1947-06-01,261.5
1947-07-01,265.5
1947-08-01,267.7
1947-09-01,270.6
1947-10-01,283.1
1947-11-01,292.2
1947-12-01,294.1
1948-01-01,286.7
1948-02-01,278.4
1948-03-01,268.9
1948-04-01,271.8
1948-05-01,275.3
1948-06-01,276.5
1948-07-01,277
1948-08-01,279.6
1948-09-01,277.8
1948-10-01,275.7
1948-11-01,279.7
1948-12-01,278.9
1949-01-01,278.8
1949-02-01,270.7
1949-03-01,259.8
1949-04-01,237.4
1949-05-01,222.5
1949-06-01,211.6
1949-07-01,211.2
1949-08-01,219.8
1949-09-01,229.3
1949-10-01,224.7
1949-11-01,299.6
1949-12-01,224.6
