"Date","WPUFD4132"
2009-11-01,100
2009-12-01,100.2
2010-01-01,100.8
2010-02-01,100.9
2010-03-01,101.1
2010-04-01,101.4
2010-05-01,101.5
2010-06-01,102.2
2010-07-01,102.3
2010-08-01,102.5
2010-09-01,102.5
2010-10-01,102
2010-11-01,102.2
2010-12-01,102.6
2011-01-01,103.5
2011-02-01,104
2011-03-01,104.3
2011-04-01,104.8
2011-05-01,105.3
2011-06-01,105.5
2011-07-01,105.9
2011-08-01,106
2011-09-01,106.3
2011-10-01,106.2
2011-11-01,106
2011-12-01,105.9
2012-01-01,106.4
2012-02-01,106.5
2012-03-01,106.7
2012-04-01,106.9
2012-05-01,107.1
2012-06-01,107
2012-07-01,107.1
2012-08-01,107.2
2012-09-01,107.2
2012-10-01,107
2012-11-01,106.9
2012-12-01,106.9
2013-01-01,107.6
2013-02-01,107.8
2013-03-01,107.9
2013-04-01,107.9
2013-05-01,107.9
2013-06-01,107.9
2013-07-01,108
2013-08-01,107.9
2013-09-01,107.8
2013-10-01,107.8
2013-11-01,107.8
2013-12-01,107.9
2014-01-01,108.4
2014-02-01,108.6
2014-03-01,108.7
2014-04-01,108.8
2014-05-01,108.9
2014-06-01,108.9
2014-07-01,109
2014-08-01,109
2014-09-01,109
2014-10-01,108.9
2014-11-01,108.9
2014-12-01,108.9
2015-01-01,109.1
2015-02-01,109.1
2015-03-01,109
2015-04-01,109
2015-05-01,109
2015-06-01,109.2
2015-07-01,109.1
2015-08-01,109.1
2015-09-01,108.8
2015-10-01,108.7
2015-11-01,108.7
2015-12-01,108.7
2016-01-01,108.9
2016-02-01,108.9
2016-03-01,108.9
2016-04-01,109
2016-05-01,109
2016-06-01,109.1
2016-07-01,109.1
2016-08-01,109
2016-09-01,109.1
2016-10-01,109.1
2016-11-01,109.2
2016-12-01,109.3
2017-01-01,110.1
2017-02-01,110.2
2017-03-01,110.4
2017-04-01,110.5
2017-05-01,110.5
2017-06-01,110.5
2017-07-01,110.6
2017-08-01,110.7
2017-09-01,110.6
2017-10-01,110.8
2017-11-01,110.9
2017-12-01,111
2018-01-01,111.7
2018-02-01,112.1
2018-03-01,112.4
2018-04-01,112.5
2018-05-01,112.7
2018-06-01,112.9
2018-07-01,113.1
2018-08-01,113.3
2018-09-01,113.4
2018-10-01,113.6
2018-11-01,113.7
2018-12-01,113.6
2019-01-01,114.8
2019-02-01,114.9
2019-03-01,114.9
2019-04-01,115
2019-05-01,115
2019-06-01,115
2019-07-01,115.2
2019-08-01,115.1
2019-09-01,115.1
2019-10-01,115.2
2019-11-01,115.2
2019-12-01,115
2020-01-01,116.1
2020-02-01,116.1
2020-03-01,116
2020-04-01,115.7
2020-05-01,115.4
2020-06-01,115.5
2020-07-01,115.7
2020-08-01,115.9
2020-09-01,116
2020-10-01,116.1
2020-11-01,116.3
2020-12-01,116.6
2021-01-01,117.5
2021-02-01,118.4
2021-03-01,119.1
2021-04-01,120.2
2021-05-01,121.5
2021-06-01,122.4
2021-07-01,123.213
2021-08-01,123.875
2021-09-01,124.598
2021-10-01,125.426
2021-11-01,126.498
2021-12-01,127.127
2022-01-01,129.058
2022-02-01,130.118
2022-03-01,131.799
2022-04-01,132.868
2022-05-01,134.298
2022-06-01,135.129
2022-07-01,135.603
2022-08-01,135.612
2022-09-01,135.387
2022-10-01,135.352
2022-11-01,135.448
2022-12-01,135.528
2023-01-01,136.554
2023-02-01,136.78
2023-03-01,136.671
2023-04-01,136.642
2023-05-01,136.563
2023-06-01,136.3
2023-07-01,136.215
2023-08-01,136.294
2023-09-01,136.422
2023-10-01,136.565
2023-11-01,136.441
