"Date","WPUIP231120"
2014-12-01,100
2015-01-01,99.4
2015-02-01,100.1
2015-03-01,100.3
2015-04-01,100.5
2015-05-01,101.3
2015-06-01,101.3
2015-07-01,101.4
2015-08-01,100.8
2015-09-01,99.8
2015-10-01,99.6
2015-11-01,99.5
2015-12-01,98.9
2016-01-01,98.8
2016-02-01,98.9
2016-03-01,99.1
2016-04-01,99.8
2016-05-01,100.5
2016-06-01,101.4
2016-07-01,101.3
2016-08-01,101.2
2016-09-01,101.1
2016-10-01,101.1
2016-11-01,101
2016-12-01,101.5
2017-01-01,102.1
2017-02-01,102.4
2017-03-01,102.9
2017-04-01,103.4
2017-05-01,103.6
2017-06-01,103.6
2017-07-01,103.6
2017-08-01,104.7
2017-09-01,104.5
2017-10-01,104.7
2017-11-01,105.2
2017-12-01,105.7
2018-01-01,106.4
2018-02-01,107.6
2018-03-01,108.6
2018-04-01,109.4
2018-05-01,111
2018-06-01,111.9
2018-07-01,111.7
2018-08-01,111.1
2018-09-01,111
2018-10-01,111.6
2018-11-01,110.6
2018-12-01,110.1
2019-01-01,109.3
2019-02-01,109.7
2019-03-01,111
2019-04-01,112.5
2019-05-01,111.6
2019-06-01,110.8
2019-07-01,111.5
2019-08-01,111.4
2019-09-01,111.7
2019-10-01,110.8
2019-11-01,110.7
2019-12-01,111.2
2020-01-01,111.7
2020-02-01,111.2
2020-03-01,110.9
2020-04-01,109.4
2020-05-01,109.2
2020-06-01,112
2020-07-01,113.4
2020-08-01,117.5
2020-09-01,121.9
2020-10-01,121.7
2020-11-01,118.1
2020-12-01,119.7
2021-01-01,124
2021-02-01,126.6
2021-03-01,129.3
2021-04-01,134.2
2021-05-01,141.7
2021-06-01,146.8
2021-07-01,142.415
2021-08-01,138.417
2021-09-01,137.005
2021-10-01,137.894
2021-11-01,136.985
2021-12-01,138.208
2022-01-01,145.246
2022-02-01,151.099
2022-03-01,159.466
2022-04-01,159.547
2022-05-01,158.731
2022-06-01,156.248
2022-07-01,152.743
2022-08-01,149.6
2022-09-01,147.912
2022-10-01,148.57
2022-11-01,148.451
2022-12-01,144.827
2023-01-01,146.341
2023-02-01,146.3
2023-03-01,146.703
2023-04-01,147.079
2023-05-01,146.618
2023-06-01,146.985
2023-07-01,148.207
2023-08-01,149.412
2023-09-01,150.322
2023-10-01,149.633
2023-11-01,149.432
