"Date","IMPNONAR"
2008-01-01,140.6
2008-02-01,8.1
2008-03-01,107.5
2008-04-01,8
2008-05-01,7.2
2008-06-01,7.2
2008-07-01,5.7
2008-08-01,4.7
2008-09-01,6.6
2008-10-01,54.6
2008-11-01,43.3
2008-12-01,6.1
2009-01-01,5.7
2009-02-01,4.9
2009-03-01,38.8
2009-04-01,29.6
2009-05-01,31.8
2009-06-01,35.5
2009-07-01,42.5
2009-08-01,44.9
2009-09-01,30.5
2009-10-01,11
2009-11-01,6.8
2009-12-01,16.2
2010-01-01,50.6
2010-02-01,38
2010-03-01,56.1
2010-04-01,24.5
2010-05-01,47.4
2010-06-01,55.9
2010-07-01,59
2010-08-01,63.5
2010-09-01,48.4
2010-10-01,58.5
2010-11-01,65.7
2010-12-01,64.5
2011-01-01,66.6
2011-02-01,63.6
2011-03-01,43.3
2011-04-01,57.1
2011-05-01,69.2
2011-06-01,59.9
2011-07-01,62.1
2011-08-01,82.6
2011-09-01,124.4
2011-10-01,9.4
2011-11-01,12.1
2011-12-01,8.5
2012-01-01,11
2012-02-01,7.8
2012-03-01,9.8
2012-04-01,9.5
2012-05-01,18.2
2012-06-01,15.7
2012-07-01,27.3
2012-08-01,20.7
2012-09-01,21.4
2012-10-01,42
2012-11-01,29.7
2012-12-01,19.1
2013-01-01,28.243419
2013-02-01,29.937386
2013-03-01,34.502077
2013-04-01,39.629742
2013-05-01,38.336863
2013-06-01,23.618864
2013-07-01,25.303789
2013-08-01,25.186892
2013-09-01,48.396411
2013-10-01,40.904659
2013-11-01,33.846712
2013-12-01,21.569192
2014-01-01,12.976298
2014-02-01,11.889916
2014-03-01,20.230279
2014-04-01,23.072153
2014-05-01,18.193366
2014-06-01,18.337677
2014-07-01,9.421696
2014-08-01,11.527482
2014-09-01,15.225347
2014-10-01,15.911582
2014-11-01,16.295257
2014-12-01,20.23416
2015-01-01,15.609756
2015-02-01,15.700942
2015-03-01,13.323135
2015-04-01,25.921424
2015-05-01,18.608155
2015-06-01,53.413242
2015-07-01,12.462989
2015-08-01,15.692773
2015-09-01,10.436956
2015-10-01,12.114536
2015-11-01,10.132109
2015-12-01,13.19654
2016-01-01,13.088984
2016-02-01,11.289906
2016-03-01,14.444637
2016-04-01,10.862654
2016-05-01,11.832231
2016-06-01,13.102103
2016-07-01,16.806095
2016-08-01,17.002118
2016-09-01,16.194254
2016-10-01,14.800413
2016-11-01,21.801254
2016-12-01,17.675622
2017-01-01,12.387579
2017-02-01,15.253939
2017-03-01,12.679791
2017-04-01,14.908049
2017-05-01,20.884322
2017-06-01,22.981626
2017-07-01,15.917462
2017-08-01,24.50918
2017-09-01,21.050069
2017-10-01,20.42799
2017-11-01,15.031592
2017-12-01,16.028924
2018-01-01,17.955595
2018-02-01,21.325181
2018-03-01,18.446444
2018-04-01,45.396829
2018-05-01,36.602751
2018-06-01,35.735824
2018-07-01,34.12443
2018-08-01,31.576686
2018-09-01,75.817128
2018-10-01,42.486405
2018-11-01,43.796354
2018-12-01,41.198814
2019-01-01,39.67584
2019-02-01,36.96396
2019-03-01,31.405963
2019-04-01,41.772502
2019-05-01,36.604277
2019-06-01,38.483909
2019-07-01,50.330446
2019-08-01,38.299665
2019-09-01,33.58527
2019-10-01,39.040896
2019-11-01,46.014728
2019-12-01,47.385422
2020-01-01,47.251497
2020-02-01,44.403656
2020-03-01,45.270763
2020-04-01,33.923228
2020-05-01,23.138872
2020-06-01,17.546067
2020-07-01,24.267502
2020-08-01,23.969525
2020-09-01,17.951895
2020-10-01,28.602468
2020-11-01,43.366976
2020-12-01,21.689914
2021-01-01,35.201196
2021-02-01,78.940972
2021-03-01,38.150538
2021-04-01,26.107048
2021-05-01,31.288761
2021-06-01,26.087951
2021-07-01,27.43488
2021-08-01,26.999329
2021-09-01,83.005609
2021-10-01,35.388562
2021-11-01,38.792545
2021-12-01,30.097805
2022-01-01,24.374036
2022-02-01,16.238668
2022-03-01,37.476392
2022-04-01,40.882574
2022-05-01,32.147599
2022-06-01,25.790341
2022-07-01,20.053359
2022-08-01,23.422691
2022-09-01,18.861809
2022-10-01,26.624549
2022-11-01,21.286777
2022-12-01,31.136422
2023-01-01,24.94325
2023-02-01,53.484543
2023-03-01,32.525504
2023-04-01,32.584975
2023-05-01,30.822635
2023-06-01,33.971103
2023-07-01,31.352626
2023-08-01,32.809961
2023-09-01,40.050526
2023-10-01,34.588869
