"Date","WPS014102"
1975-01-01,99.5
1975-02-01,91.6
1975-03-01,84.7
1975-04-01,93.1
1975-05-01,93.5
1975-06-01,100.6
1975-07-01,104.1
1975-08-01,103.6
1975-09-01,100
1975-10-01,117.3
1975-11-01,126
1975-12-01,109.9
1976-01-01,97.5
1976-02-01,89.4
1976-03-01,96.3
1976-04-01,88.5
1976-05-01,91.2
1976-06-01,90.7
1976-07-01,86.3
1976-08-01,96.5
1976-09-01,83.3
1976-10-01,81.7
1976-11-01,75.9
1976-12-01,82.7
1977-01-01,84.9
1977-02-01,94.4
1977-03-01,92
1977-04-01,97.9
1977-05-01,96.5
1977-06-01,92.9
1977-07-01,91.5
1977-08-01,92.6
1977-09-01,91.8
1977-10-01,92.2
1977-11-01,86
1977-12-01,84
1978-01-01,90.2
1978-02-01,92.2
1978-03-01,94.5
1978-04-01,102.1
1978-05-01,100.8
1978-06-01,112.1
1978-07-01,115.6
1978-08-01,104.7
1978-09-01,105.5
1978-10-01,98.7
1978-11-01,104.2
1978-12-01,108.1
1979-01-01,104.4
1979-02-01,105.7
1979-03-01,108.2
1979-04-01,107.1
1979-05-01,112.4
1979-06-01,88.6
1979-07-01,82.5
1979-08-01,85.1
1979-09-01,84.5
1979-10-01,85.8
1979-11-01,106.9
1979-12-01,104.7
1980-01-01,101.1
1980-02-01,90
1980-03-01,88.7
1980-04-01,88
1980-05-01,88.7
1980-06-01,85.1
1980-07-01,110.6
1980-08-01,115.3
1980-09-01,122.1
1980-10-01,121.6
1980-11-01,117.2
1980-12-01,113.2
1981-01-01,112
1981-02-01,113.1
1981-03-01,110.8
1981-04-01,105.1
1981-05-01,111.2
1981-06-01,106.3
1981-07-01,99.3
1981-08-01,108.9
1981-09-01,97.6
1981-10-01,102.2
1981-11-01,94.8
1981-12-01,91.7
1982-01-01,97.9
1982-02-01,100.1
1982-03-01,104.2
1982-04-01,104.8
1982-05-01,104.3
1982-06-01,112.8
1982-07-01,103.8
1982-08-01,93.8
1982-09-01,94.9
1982-10-01,93.5
1982-11-01,91.4
1982-12-01,98
1983-01-01,92.5
1983-02-01,105.7
1983-03-01,91.4
1983-04-01,94.5
1983-05-01,98.9
1983-06-01,105.8
1983-07-01,104
1983-08-01,113.2
1983-09-01,120
1983-10-01,113.7
1983-11-01,125.5
1983-12-01,129.3
1984-01-01,129.7
1984-02-01,134.6
1984-03-01,138.9
1984-04-01,135.1
1984-05-01,129.7
1984-06-01,118.1
1984-07-01,124.3
1984-08-01,99.5
1984-09-01,112.5
1984-10-01,113.1
1984-11-01,115.6
1984-12-01,108.8
1985-01-01,114.4
1985-02-01,118.3
1985-03-01,112.5
1985-04-01,108.1
1985-05-01,109.2
1985-06-01,116.3
1985-07-01,102.5
1985-08-01,96.2
1985-09-01,109.4
1985-10-01,105.9
1985-11-01,119.6
1985-12-01,114
1986-01-01,113.1
1986-02-01,107.4
1986-03-01,111.2
1986-04-01,114.8
1986-05-01,106.7
1986-06-01,117.4
1986-07-01,138.2
1986-08-01,173.1
1986-09-01,129.6
1986-10-01,171.5
1986-11-01,126.5
1986-12-01,125.7
1987-01-01,118.5
1987-02-01,115.3
1987-03-01,106.4
1987-04-01,110.9
1987-05-01,109.9
1987-06-01,91
1987-07-01,90.3
1987-08-01,104.3
1987-09-01,93.6
1987-10-01,94.4
1987-11-01,97.5
1987-12-01,89.3
1988-01-01,106.7
1988-02-01,99.4
1988-03-01,105
1988-04-01,108.5
1988-05-01,113.6
1988-06-01,135.7
1988-07-01,144.5
1988-08-01,133
1988-09-01,131.9
1988-10-01,145.4
1988-11-01,135.5
1988-12-01,145.9
1989-01-01,136
1989-02-01,136.7
1989-03-01,147.7
1989-04-01,146.5
1989-05-01,148.1
1989-06-01,147.4
1989-07-01,119.9
1989-08-01,117.4
1989-09-01,133
1989-10-01,113.7
1989-11-01,117
1989-12-01,115.5
1990-01-01,110.8
1990-02-01,130.1
1990-03-01,134.2
1990-04-01,123.2
1990-05-01,119.8
1990-06-01,114
1990-07-01,127.2
1990-08-01,116.5
1990-09-01,121.5
1990-10-01,107.9
1990-11-01,109
1990-12-01,117.9
1991-01-01,122.1
1991-02-01,111.2
1991-03-01,109.9
1991-04-01,109.7
1991-05-01,105.2
1991-06-01,108.8
1991-07-01,107.1
1991-08-01,115.1
1991-09-01,106.7
1991-10-01,116.6
1991-11-01,114.8
1991-12-01,116
1992-01-01,114.6
1992-02-01,113
1992-03-01,108.6
1992-04-01,107.6
1992-05-01,111.7
1992-06-01,111.8
