"Date","PPIFDE"
2009-11-01,100
2009-12-01,99.3
2010-01-01,104.1
2010-02-01,100.6
2010-03-01,104.4
2010-04-01,106.5
2010-05-01,107.4
2010-06-01,107
2010-07-01,107.7
2010-08-01,108.9
2010-09-01,108
2010-10-01,109.5
2010-11-01,110.3
2010-12-01,111.9
2011-01-01,114.9
2011-02-01,117.4
2011-03-01,125.4
2011-04-01,131.1
2011-05-01,134.9
2011-06-01,130.6
2011-07-01,131.1
2011-08-01,127.6
2011-09-01,129.1
2011-10-01,124.8
2011-11-01,124.7
2011-12-01,122.2
2012-01-01,123.3
2012-02-01,125.8
2012-03-01,130
2012-04-01,130.9
2012-05-01,127.2
2012-06-01,123
2012-07-01,122.5
2012-08-01,128.3
2012-09-01,132.5
2012-10-01,129.3
2012-11-01,122.5
2012-12-01,120.6
2013-01-01,121.9
2013-02-01,127.2
2013-03-01,126.2
2013-04-01,125.1
2013-05-01,126.3
2013-06-01,126.8
2013-07-01,126.9
2013-08-01,128.3
2013-09-01,127.7
2013-10-01,124.3
2013-11-01,121.1
2013-12-01,121.7
2014-01-01,123.2
2014-02-01,124.7
2014-03-01,127.9
2014-04-01,129.8
2014-05-01,129.4
2014-06-01,130.7
2014-07-01,129.9
2014-08-01,128.9
2014-09-01,127
2014-10-01,119.6
2014-11-01,113.9
2014-12-01,105.6
2015-01-01,95.7
2015-02-01,96.8
2015-03-01,99.7
2015-04-01,98.6
2015-05-01,104.8
2015-06-01,106.9
2015-07-01,106.6
2015-08-01,103.2
2015-09-01,97
2015-10-01,94
2015-11-01,92
2015-12-01,88.3
2016-01-01,85.1
2016-02-01,81.9
2016-03-01,84.3
2016-04-01,86.5
2016-05-01,90.2
2016-06-01,94.5
2016-07-01,94.5
2016-08-01,92.9
2016-09-01,94.2
2016-10-01,94.5
2016-11-01,92.2
2016-12-01,93.9
2017-01-01,96.8
2017-02-01,97.6
2017-03-01,97.2
2017-04-01,98.7
2017-05-01,97.3
2017-06-01,98.1
2017-07-01,98.2
2017-08-01,100.6
2017-09-01,104.3
2017-10-01,102
2017-11-01,103.7
2017-12-01,103.4
2018-01-01,105.2
2018-02-01,106.4
2018-03-01,105.6
2018-04-01,108
2018-05-01,112.8
2018-06-01,115.3
2018-07-01,114.9
2018-08-01,114.6
2018-09-01,114.7
2018-10-01,114.9
2018-11-01,108
2018-12-01,100.2
2019-01-01,97.4
2019-02-01,99.5
2019-03-01,104.7
2019-04-01,109.3
2019-05-01,110.3
2019-06-01,107.5
2019-07-01,108.8
2019-08-01,106.9
2019-09-01,105.1
2019-10-01,104.8
2019-11-01,103.2
2019-12-01,102.6
2020-01-01,103.6
2020-02-01,99.6
2020-03-01,91.5
2020-04-01,75.7
2020-05-01,80
2020-06-01,89
2020-07-01,93.3
2020-08-01,93.8
2020-09-01,92.8
2020-10-01,91.6
2020-11-01,91.8
2020-12-01,95.6
2021-01-01,100.8
2021-02-01,105.5
2021-03-01,113.2
2021-04-01,112.7
2021-05-01,117.1
2021-06-01,121
2021-07-01,124.953
2021-08-01,124.773
2021-09-01,126.379
2021-10-01,130.963
2021-11-01,131.196
2021-12-01,125.829
2022-01-01,132.305
2022-02-01,140.34
2022-03-01,155.52
2022-04-01,157.604
2022-05-01,169.67
2022-06-01,185.008
2022-07-01,169.726
2022-08-01,158.017
2022-09-01,156.747
2022-10-01,158.888
2022-11-01,152.535
2022-12-01,137.65
2023-01-01,146.964
2023-02-01,146.805
2023-03-01,144.234
2023-04-01,144.522
2023-05-01,138.557
2023-06-01,140.799
2023-07-01,142.541
2023-08-01,153.232
2023-09-01,154.62
2023-10-01,143.828
2023-11-01,139.727
