"Date","WPU1411"
1947-01-01,28.5
1947-02-01,28.5
1947-03-01,28.5
1947-04-01,28.4
1947-05-01,28.5
1947-06-01,28.6
1947-07-01,28.7
1947-08-01,29.6
1947-09-01,30.2
1947-10-01,30.3
1947-11-01,30.3
1947-12-01,30.5
1948-01-01,30.6
1948-02-01,30.6
1948-03-01,30.6
1948-04-01,30.6
1948-05-01,30.6
1948-06-01,31.8
1948-07-01,32.6
1948-08-01,33.6
1948-09-01,33.8
1948-10-01,33.9
1948-11-01,34
1948-12-01,34.3
1949-01-01,34.3
1949-02-01,34.7
1949-03-01,34.7
1949-04-01,34.6
1949-05-01,34.5
1949-06-01,34.3
1949-07-01,34.5
1949-08-01,34.5
1949-09-01,34.5
1949-10-01,34.4
1949-11-01,34.3
1949-12-01,34.4
1950-01-01,34.3
1950-02-01,34.2
1950-03-01,34.1
1950-04-01,34.1
1950-05-01,34.1
1950-06-01,34.1
1950-07-01,34.1
1950-08-01,34.3
1950-09-01,34.4
1950-10-01,34.4
1950-11-01,34.4
1950-12-01,34.9
1951-01-01,34.9
1951-02-01,35.1
1951-03-01,35.9
1951-04-01,35.9
1951-05-01,35.9
1951-06-01,35.9
1951-07-01,36
1951-08-01,36.1
1951-09-01,36.5
1951-10-01,37.1
1951-11-01,37.2
1951-12-01,37.3
1952-01-01,37.4
1952-02-01,38.4
1952-03-01,38.4
1952-04-01,38.3
1952-05-01,38.3
1952-06-01,38.3
1952-07-01,38.3
1952-08-01,38.3
1952-09-01,38.3
1952-10-01,38.3
1952-11-01,38.3
1952-12-01,38.3
1953-01-01,38.3
1953-02-01,38.3
1953-03-01,38.4
1953-04-01,38
1953-05-01,38
1953-06-01,37.9
1953-07-01,37.9
1953-08-01,37.9
1953-09-01,37.9
1953-10-01,37.9
1953-11-01,37.9
1953-12-01,37.9
1954-01-01,38
1954-02-01,38
1954-03-01,38
1954-04-01,38
1954-05-01,38
1954-06-01,38
1954-07-01,38
1954-08-01,38
1954-09-01,38
1954-10-01,37.9
1954-11-01,38.7
1954-12-01,39
1955-01-01,39
1955-02-01,38.9
1955-03-01,38.9
1955-04-01,39
1955-05-01,39.1
1955-06-01,39.1
1955-07-01,39.1
1955-08-01,39.1
1955-09-01,39.1
1955-10-01,39.9
1955-11-01,40.5
1955-12-01,40.5
1956-01-01,40.5
1956-02-01,40.8
1956-03-01,41.3
1956-04-01,41.3
1956-05-01,41.3
1956-06-01,41.3
1956-07-01,41.3
1956-08-01,41.3
1956-09-01,41.4
1956-10-01,41.8
1956-11-01,42.9
1956-12-01,43
1957-01-01,43
1957-02-01,43.1
1957-03-01,43.1
1957-04-01,43.1
1957-05-01,43.1
1957-06-01,43.1
1957-07-01,43.1
1957-08-01,43.1
1957-09-01,43.1
1957-10-01,43.4
1957-11-01,44.3
1957-12-01,44.5
1958-01-01,44.5
1958-02-01,44.5
1958-03-01,44.5
1958-04-01,44.4
1958-05-01,44.4
1958-06-01,44.4
1958-07-01,44.4
1958-08-01,44.4
1958-09-01,44.4
1958-10-01,44.7
1958-11-01,45.7
1958-12-01,45.8
1959-01-01,45.8
1959-02-01,45.8
1959-03-01,45.8
1959-04-01,45.8
1959-05-01,45.8
1959-06-01,45.8
1959-07-01,45.8
1959-08-01,45.8
1959-09-01,45.8
1959-10-01,45.4
1959-11-01,45.3
1959-12-01,45.3
1960-01-01,45.3
1960-02-01,45.3
1960-03-01,45.3
1960-04-01,45.3
1960-05-01,45.3
1960-06-01,45.3
1960-07-01,45.3
1960-08-01,45.3
1960-09-01,43.3
1960-10-01,44.9
1960-11-01,44.9
1960-12-01,45
1961-01-01,45
1961-02-01,44.9
1961-03-01,44.8
1961-04-01,44.9
1961-05-01,44.9
1961-06-01,44.8
1961-07-01,44.8
1961-08-01,44.8
1961-09-01,44.7
1961-10-01,44.8
