"Date","WPUID52"
2009-11-01,100
2009-12-01,100.2
2010-01-01,105.1
2010-02-01,103.4
2010-03-01,103.2
2010-04-01,102.9
2010-05-01,102.1
2010-06-01,101.8
2010-07-01,102.6
2010-08-01,103.2
2010-09-01,101.6
2010-10-01,103.7
2010-11-01,104.7
2010-12-01,107.2
2011-01-01,108.9
2011-02-01,109.8
2011-03-01,112
2011-04-01,116.2
2011-05-01,115.6
2011-06-01,114.9
2011-07-01,115.5
2011-08-01,112.6
2011-09-01,113.6
2011-10-01,111.6
2011-11-01,113.1
2011-12-01,111.1
2012-01-01,111.7
2012-02-01,111.4
2012-03-01,112.3
2012-04-01,111.2
2012-05-01,109.2
2012-06-01,106.7
2012-07-01,108.3
2012-08-01,110.7
2012-09-01,111.7
2012-10-01,111.8
2012-11-01,111.7
2012-12-01,111.6
2013-01-01,112.3
2013-02-01,112.5
2013-03-01,112.6
2013-04-01,113.4
2013-05-01,113.3
2013-06-01,113.4
2013-07-01,114.4
2013-08-01,113.6
2013-09-01,113.8
2013-10-01,112
2013-11-01,110.3
2013-12-01,111.4
2014-01-01,112.3
2014-02-01,116.5
2014-03-01,115.3
2014-04-01,115.4
2014-05-01,115.1
2014-06-01,115
2014-07-01,113.9
2014-08-01,112
2014-09-01,111.3
2014-10-01,108.5
2014-11-01,107
2014-12-01,104.3
2015-01-01,100.1
2015-02-01,99.8
2015-03-01,99.6
2015-04-01,99.8
2015-05-01,100.7
2015-06-01,101
2015-07-01,100.3
2015-08-01,99
2015-09-01,97.9
2015-10-01,97.5
2015-11-01,96.1
2015-12-01,95.6
2016-01-01,95.6
2016-02-01,95.1
2016-03-01,95.6
2016-04-01,96.5
2016-05-01,97.8
2016-06-01,99.1
2016-07-01,99.9
2016-08-01,99.2
2016-09-01,99.3
2016-10-01,100.2
2016-11-01,99.7
2016-12-01,101.7
2017-01-01,103.2
2017-02-01,103.2
2017-03-01,101.8
2017-04-01,103.2
2017-05-01,102.7
2017-06-01,102.8
2017-07-01,102.9
2017-08-01,102.9
2017-09-01,103.3
2017-10-01,104
2017-11-01,104.9
2017-12-01,105.5
2018-01-01,106.7
2018-02-01,107.7
2018-03-01,106.5
2018-04-01,107.4
2018-05-01,108.9
2018-06-01,108.8
2018-07-01,109.7
2018-08-01,109
2018-09-01,109.4
2018-10-01,110.2
2018-11-01,108.4
2018-12-01,109.3
2019-01-01,107.4
2019-02-01,106.6
2019-03-01,106.9
2019-04-01,107.3
2019-05-01,106.8
2019-06-01,105.4
2019-07-01,105.7
2019-08-01,105.1
2019-09-01,105.2
2019-10-01,104.5
2019-11-01,105.5
2019-12-01,105.8
2020-01-01,105.4
2020-02-01,103.4
2020-03-01,100.7
2020-04-01,96.2
2020-05-01,97.6
2020-06-01,99.4
2020-07-01,100.1
2020-08-01,101.5
2020-09-01,103
2020-10-01,103.6
2020-11-01,105.5
2020-12-01,107.3
2021-01-01,110.3
2021-02-01,116.4
2021-03-01,114.8
2021-04-01,115.5
2021-05-01,118.8
2021-06-01,121.3
2021-07-01,123.956
2021-08-01,124.782
2021-09-01,127.207
2021-10-01,131.915
2021-11-01,133.607
2021-12-01,130.492
2022-01-01,132.556
2022-02-01,138.305
2022-03-01,139.498
2022-04-01,143.445
2022-05-01,148.512
2022-06-01,152.937
2022-07-01,146.377
2022-08-01,150.754
2022-09-01,147.638
2022-10-01,140.55
2022-11-01,139.287
2022-12-01,140.523
2023-01-01,139.879
2023-02-01,137.733
2023-03-01,134.408
2023-04-01,135.685
2023-05-01,133.462
2023-06-01,132.357
2023-07-01,134.606
2023-08-01,135.633
2023-09-01,136.805
2023-10-01,136.27
2023-11-01,135.957
