"Date","WPU10230101"
1986-12-01,100
1987-01-01,101
1987-02-01,101.2
1987-03-01,103.2
1987-04-01,103.8
1987-05-01,105.9
1987-06-01,110.2
1987-07-01,117.7
1987-08-01,121.3
1987-09-01,125
1987-10-01,129.9
1987-11-01,140.5
1987-12-01,161.9
1988-01-01,174.6
1988-02-01,143.5
1988-03-01,152.9
1988-04-01,154.7
1988-05-01,150.8
1988-06-01,157.6
1988-07-01,157.4
1988-08-01,153.8
1988-09-01,158.3
1988-10-01,171.7
1988-11-01,186
1988-12-01,195.3
1989-01-01,198
1989-02-01,182.9
1989-03-01,191.8
1989-04-01,193.9
1989-05-01,191.6
1989-06-01,174.3
1989-07-01,165
1989-08-01,171.1
1989-09-01,186.9
1989-10-01,191
1989-11-01,166.6
1989-12-01,154.6
1990-01-01,156
1990-02-01,149
1990-03-01,170.9
1990-04-01,176
1990-05-01,176.7
1990-06-01,170.1
1990-07-01,174.1
1990-08-01,181.4
1990-09-01,183.4
1990-10-01,173.2
1990-11-01,164.2
1990-12-01,160.9
1991-01-01,162.2
1991-02-01,162.2
1991-03-01,163.8
1991-04-01,162.6
1991-05-01,154.5
1991-06-01,149.2
1991-07-01,152.1
1991-08-01,152.6
1991-09-01,154.6
1991-10-01,156.2
1991-11-01,157.6
1991-12-01,150.2
1992-01-01,142.9
1992-02-01,148.4
1992-03-01,152.6
1992-04-01,153.9
1992-05-01,152.7
1992-06-01,153
1992-07-01,163
1992-08-01,161.6
1992-09-01,153.4
1992-10-01,146.9
1992-11-01,142.4
1992-12-01,141.3
1993-01-01,149.4
1993-02-01,145.9
1993-03-01,142.3
1993-04-01,132.8
1993-05-01,118.8
1993-06-01,121.5
1993-07-01,127.1
1993-08-01,127.2
1993-09-01,119.8
1993-10-01,111.1
1993-11-01,107.8
1993-12-01,113.7
1994-01-01,117.7
1994-02-01,127.2
1994-03-01,131
1994-04-01,130.6
1994-05-01,138.8
1994-06-01,154.3
1994-07-01,156.1
1994-08-01,154.3
1994-09-01,158.9
1994-10-01,160.6
1994-11-01,170.4
1994-12-01,178.2
1995-01-01,183.4
1995-02-01,179.3
1995-03-01,183
1995-04-01,189.5
1995-05-01,181.8
1995-06-01,188.4
1995-07-01,195.1
1995-08-01,195.5
1995-09-01,192.4
1995-10-01,189.4
1995-11-01,191
1995-12-01,187.3
1996-01-01,171
1996-02-01,171.4
1996-03-01,172.8
1996-04-01,172.6
1996-05-01,179.7
1996-06-01,153.3
1996-07-01,135.1
1996-08-01,133.1
1996-09-01,131.9
1996-10-01,133.2
1996-11-01,137.6
1996-12-01,141.8
1997-01-01,148
1997-02-01,152.7
1997-03-01,159.4
1997-04-01,155.2
1997-05-01,160.5
1997-06-01,167.6
1997-07-01,158.5
1997-08-01,150.3
1997-09-01,141.9
1997-10-01,138.2
