"Date","PPIFDG"
2009-11-01,100
2009-12-01,100.2
2010-01-01,101.5
2010-02-01,100.9
2010-03-01,102.2
2010-04-01,102.7
2010-05-01,102.9
2010-06-01,102.3
2010-07-01,102.6
2010-08-01,102.9
2010-09-01,103.1
2010-10-01,103.8
2010-11-01,104.3
2010-12-01,104.9
2011-01-01,106.2
2011-02-01,107.6
2011-03-01,109
2011-04-01,110.5
2011-05-01,111.1
2011-06-01,110.7
2011-07-01,111.1
2011-08-01,110.7
2011-09-01,111.2
2011-10-01,110.4
2011-11-01,110.4
2011-12-01,109.8
2012-01-01,110.5
2012-02-01,111.1
2012-03-01,112.1
2012-04-01,112.3
2012-05-01,111.6
2012-06-01,110.8
2012-07-01,111
2012-08-01,112.3
2012-09-01,113.1
2012-10-01,112.7
2012-11-01,111.6
2012-12-01,111.3
2013-01-01,111.9
2013-02-01,112.8
2013-03-01,112.9
2013-04-01,112.4
2013-05-01,112.8
2013-06-01,112.9
2013-07-01,113
2013-08-01,113.1
2013-09-01,112.9
2013-10-01,112.5
2013-11-01,112
2013-12-01,112.2
2014-01-01,113.1
2014-02-01,113.5
2014-03-01,114.3
2014-04-01,115.2
2014-05-01,115
2014-06-01,115.4
2014-07-01,115.3
2014-08-01,115
2014-09-01,114.6
2014-10-01,113.6
2014-11-01,112.5
2014-12-01,110.9
2015-01-01,109
2015-02-01,108.9
2015-03-01,109.2
2015-04-01,108.9
2015-05-01,110.4
2015-06-01,111.1
2015-07-01,110.9
2015-08-01,110.1
2015-09-01,108.7
2015-10-01,108.1
2015-11-01,107.5
2015-12-01,106.7
2016-01-01,106.4
2016-02-01,105.9
2016-03-01,106.1
2016-04-01,106.7
2016-05-01,107.6
2016-06-01,108.7
2016-07-01,108.5
2016-08-01,108
2016-09-01,108.3
2016-10-01,108.5
2016-11-01,108
2016-12-01,108.7
2017-01-01,109.7
2017-02-01,110.1
2017-03-01,110.4
2017-04-01,111.1
2017-05-01,110.7
2017-06-01,111.1
2017-07-01,111
2017-08-01,111.4
2017-09-01,112
2017-10-01,112
2017-11-01,112.5
2017-12-01,112.5
2018-01-01,113.2
2018-02-01,113.5
2018-03-01,114
2018-04-01,114.4
2018-05-01,115.5
2018-06-01,116
2018-07-01,115.9
2018-08-01,115.8
2018-09-01,115.8
2018-10-01,116.3
2018-11-01,115.4
2018-12-01,114.3
2019-01-01,113.9
2019-02-01,114.3
2019-03-01,115.4
2019-04-01,116.3
2019-05-01,116.4
2019-06-01,116
2019-07-01,116.2
2019-08-01,115.7
2019-09-01,115.2
2019-10-01,115.6
2019-11-01,115.6
2019-12-01,115.5
2020-01-01,116
2020-02-01,115
2020-03-01,113.4
2020-04-01,110.3
2020-05-01,112.2
2020-06-01,113
2020-07-01,113.7
2020-08-01,113.8
2020-09-01,114.1
2020-10-01,114.4
2020-11-01,114.7
2020-12-01,115.5
2021-01-01,117.5
2021-02-01,119
2021-03-01,121.3
2021-04-01,122.3
2021-05-01,124.7
2021-06-01,126.5
2021-07-01,127.472
2021-08-01,128.296
2021-09-01,129.343
2021-10-01,130.775
2021-11-01,131.738
2021-12-01,130.997
2022-01-01,133.469
2022-02-01,136.126
2022-03-01,140.496
2022-04-01,142.335
2022-05-01,145.466
2022-06-01,148.821
2022-07-01,146.155
2022-08-01,144.062
2022-09-01,143.945
2022-10-01,144.524
2022-11-01,144.352
2022-12-01,141.395
2023-01-01,143.686
2023-02-01,143.349
2023-03-01,143.173
2023-04-01,143.342
2023-05-01,142.051
2023-06-01,142.377
2023-07-01,142.594
2023-08-01,144.626
2023-09-01,144.94
2023-10-01,142.788
2023-11-01,142.209
