"Date","WPU1197"
1987-06-01,100
1987-07-01,100
1987-08-01,101.8
1987-09-01,101.8
1987-10-01,101.8
1987-11-01,101.8
1987-12-01,101.8
1988-01-01,102
1988-02-01,102
1988-03-01,102
1988-04-01,102
1988-05-01,101.6
1988-06-01,101.9
1988-07-01,101.9
1988-08-01,105.3
1988-09-01,105.3
1988-10-01,105.3
1988-11-01,105.3
1988-12-01,106
1989-01-01,106.5
1989-02-01,105.4
1989-03-01,105.4
1989-04-01,105.4
1989-05-01,106.5
1989-06-01,113.4
1989-07-01,113.4
1989-08-01,115.7
1989-09-01,125.2
1989-10-01,126.5
1989-11-01,126.5
1989-12-01,126.5
1990-01-01,130.2
1990-02-01,130.2
1990-03-01,130.2
1990-04-01,130.4
1990-05-01,130.4
1990-06-01,130.4
1990-07-01,130.4
1990-08-01,130.4
1990-09-01,130.4
1990-10-01,130.4
1990-11-01,135.9
1990-12-01,135.9
1991-01-01,136
1991-02-01,136
1991-03-01,136
1991-04-01,136
1991-05-01,136
1991-06-01,136
1991-07-01,137.3
1991-08-01,137.7
1991-09-01,137.7
1991-10-01,137.7
1991-11-01,137.7
1991-12-01,138.1
1992-01-01,138.1
1992-02-01,138.1
1992-03-01,139.5
1992-04-01,139.5
1992-05-01,139.5
1992-06-01,139.5
1992-07-01,137.7
1992-08-01,137.7
1992-09-01,137.7
1992-10-01,137.7
1992-11-01,137.7
1992-12-01,137.7
1993-01-01,137.7
1993-02-01,137.7
1993-03-01,137.7
1993-04-01,137.7
1993-05-01,137.7
1993-06-01,137.7
1993-07-01,137.7
1993-08-01,137.7
1993-09-01,136.2
1993-10-01,136.2
1993-11-01,136.2
1993-12-01,136.2
1994-01-01,136.2
1994-02-01,141.3
1994-03-01,141.3
1994-04-01,141.3
1994-05-01,141.3
1994-06-01,141.3
1994-07-01,141.3
1994-08-01,141.3
1994-09-01,144.3
1994-10-01,144.4
1994-11-01,144.4
1994-12-01,144.4
1995-01-01,144.4
1995-02-01,144.6
1995-03-01,144.6
1995-04-01,146.5
1995-05-01,146.5
1995-06-01,146.5
1995-07-01,146.8
1995-08-01,146.8
1995-09-01,146.8
1995-10-01,146.9
1995-11-01,146.9
1995-12-01,146.9
1996-01-01,146.9
1996-02-01,146.9
1996-03-01,146.9
1996-04-01,146.9
1996-05-01,146.9
1996-06-01,148.2
1996-07-01,149.6
1996-08-01,149.6
1996-09-01,149.6
1996-10-01,149.6
1996-11-01,149.6
1996-12-01,149.6
1997-01-01,149.6
1997-02-01,149.6
1997-03-01,150.9
1997-04-01,150.9
1997-05-01,150.9
1997-06-01,150.9
1997-07-01,153.2
1997-08-01,153.2
1997-09-01,153.5
1997-10-01,153.6
1997-11-01,153.8
1997-12-01,153.9
1998-01-01,154.1
1998-02-01,154.2
1998-03-01,154.3
1998-04-01,154.4
1998-05-01,154.5
1998-06-01,154.7
1998-07-01,154.8
1998-08-01,155
1998-09-01,155.1
1998-10-01,155.2
1998-11-01,155.4
1998-12-01,155.5
1999-01-01,158.3
1999-02-01,158.4
1999-03-01,158.5
1999-04-01,158.7
1999-05-01,158.8
1999-06-01,159
1999-07-01,159.1
1999-08-01,159.3
1999-09-01,159.4
1999-10-01,159.5
1999-11-01,159.7
1999-12-01,159.8
2000-01-01,160.1
2000-02-01,159.8
2000-03-01,160
2000-04-01,160.2
2000-05-01,160.3
2000-06-01,160.4
2000-07-01,160.5
2000-08-01,160.7
2000-09-01,160.8
2000-10-01,161
2000-11-01,161.1
2000-12-01,161.3
2001-01-01,161.5
2001-02-01,161.6
2001-03-01,161.8
2001-04-01,161.9
2001-05-01,162.1
2001-06-01,162.2
2001-07-01,162.4
2001-08-01,162.5
2001-09-01,162.7
2001-10-01,162.8
2001-11-01,163
2001-12-01,163.1
2002-01-01,163.3
2002-02-01,163.5
2002-03-01,163.6
2002-04-01,163.8
2002-05-01,165.3
2002-06-01,165.5
2002-07-01,165.7
2002-08-01,167
2002-09-01,166.9
2002-10-01,167.4
2002-11-01,167.6
2002-12-01,167.6
2003-01-01,167.9
2003-02-01,167.8
2003-03-01,168.1
2003-04-01,167.7
2003-05-01,168.7
2003-06-01,168.6
2003-07-01,168.7
2003-08-01,166.3
2003-09-01,166.5
2003-10-01,167.3
2003-11-01,167.6
2003-12-01,168.4
2004-01-01,168
2004-02-01,167.6
2004-03-01,167.8
2004-04-01,168.1
2004-05-01,168.1
2004-06-01,168
2004-07-01,168.7
2004-08-01,168.9
2004-09-01,169.4
2004-10-01,170
2004-11-01,169.5
2004-12-01,170.5
2005-01-01,170.5
2005-02-01,170.8
2005-03-01,170.9
2005-04-01,171.8
2005-05-01,172
2005-06-01,171.8
2005-07-01,163.5
2005-08-01,164.9
2005-09-01,164.7
2005-10-01,165.2
2005-11-01,167.2
2005-12-01,168.8
2006-01-01,172.6
2006-02-01,171
2006-03-01,170.3
2006-04-01,171.1
2006-05-01,171.6
2006-06-01,173.5
2006-07-01,174.4
2006-08-01,174.9
2006-09-01,175.6
2006-10-01,176.2
2006-11-01,177.5
2006-12-01,178.3
2007-01-01,179.6
2007-02-01,185.2
2007-03-01,185.9
2007-04-01,187.6
2007-05-01,189.3
