"Date","WPS014"
1967-01-01,56.6
1967-02-01,58.5
1967-03-01,56.5
1967-04-01,57.3
1967-05-01,53.6
1967-06-01,52.8
1967-07-01,51.2
1967-08-01,49.2
1967-09-01,47
1967-10-01,49.2
1967-11-01,43.8
1967-12-01,48.4
1968-01-01,50.3
1968-02-01,52.6
1968-03-01,50.5
1968-04-01,52.4
1968-05-01,53.8
1968-06-01,55.4
1968-07-01,53.7
1968-08-01,55.8
1968-09-01,54
1968-10-01,52.8
1968-11-01,58.5
1968-12-01,58.9
1969-01-01,58.2
1969-02-01,57.2
1969-03-01,58.9
1969-04-01,59.1
1969-05-01,62.2
1969-06-01,60.7
1969-07-01,58.8
1969-08-01,58.5
1969-09-01,55.8
1969-10-01,56.7
1969-11-01,57.6
1969-12-01,61.9
1970-01-01,61.2
1970-02-01,53.2
1970-03-01,55.8
1970-04-01,53.8
1970-05-01,52.9
1970-06-01,48.8
1970-07-01,46.9
1970-08-01,48.9
1970-09-01,50.7
1970-10-01,50.7
1970-11-01,51.7
1970-12-01,46.9
1971-01-01,51.1
1971-02-01,50.3
1971-03-01,50.4
1971-04-01,53
1971-05-01,52.6
1971-06-01,55.7
1971-07-01,56.7
1971-08-01,52
1971-09-01,52
1971-10-01,50.4
1971-11-01,49.9
1971-12-01,51
1972-01-01,50.9
1972-02-01,55.4
1972-03-01,53.9
1972-04-01,51.1
1972-05-01,50.3
1972-06-01,53.6
1972-07-01,55.4
1972-08-01,53.9
1972-09-01,54.9
1972-10-01,55.3
1972-11-01,55.5
1972-12-01,60
1973-01-01,69.6
1973-02-01,71.1
1973-03-01,83.4
1973-04-01,99.8
1973-05-01,93.5
1973-06-01,95.4
1973-07-01,88.5
1973-08-01,136.4
1973-09-01,111.5
1973-10-01,101
1973-11-01,84
1973-12-01,84.6
1974-01-01,80.1
1974-02-01,93.4
1974-03-01,84.9
1974-04-01,78.1
1974-05-01,76.9
1974-06-01,67.6
1974-07-01,67.6
1974-08-01,75.4
1974-09-01,84.5
1974-10-01,84.3
1974-11-01,99.3
1974-12-01,97.1
1975-01-01,97.5
1975-02-01,90.5
1975-03-01,86.2
1975-04-01,89.1
1975-05-01,92.2
1975-06-01,97.7
1975-07-01,102.4
1975-08-01,102.3
1975-09-01,100.4
1975-10-01,114.5
1975-11-01,111.7
1975-12-01,103.8
1976-01-01,93.3
1976-02-01,89.5
1976-03-01,93.5
1976-04-01,87.8
1976-05-01,92.2
1976-06-01,91
1976-07-01,87.1
1976-08-01,91.2
1976-09-01,81.1
1976-10-01,80.5
1976-11-01,74.3
1976-12-01,82
1977-01-01,83
1977-02-01,93
1977-03-01,91.4
1977-04-01,97.8
1977-05-01,97
1977-06-01,94.2
1977-07-01,93.6
1977-08-01,90.3
1977-09-01,91.3
1977-10-01,92.2
1977-11-01,86.6
1977-12-01,86.5
1978-01-01,91
1978-02-01,96.1
1978-03-01,96.7
1978-04-01,104.4
1978-05-01,102.3
1978-06-01,111.8
1978-07-01,116.9
1978-08-01,105
1978-09-01,107.2
1978-10-01,100.5
1978-11-01,105.3
1978-12-01,110.6
1979-01-01,109.5
1979-02-01,109.2
1979-03-01,111.3
1979-04-01,111.7
1979-05-01,113.6
1979-06-01,92.5
1979-07-01,88.9
1979-08-01,87.8
1979-09-01,87.4
1979-10-01,89.9
1979-11-01,107.3
1979-12-01,107
1980-01-01,102.3
1980-02-01,93.6
1980-03-01,93
1980-04-01,92.2
1980-05-01,91.2
1980-06-01,85.9
1980-07-01,110.1
1980-08-01,115.7
1980-09-01,120.9
1980-10-01,122.7
1980-11-01,118.9
1980-12-01,117.7
1981-01-01,110.4
1981-02-01,112.7
1981-03-01,110.7
1981-04-01,106.6
1981-05-01,111.7
1981-06-01,108.5
1981-07-01,105.5
1981-08-01,110.3
1981-09-01,98.3
1981-10-01,102.2
1981-11-01,90.8
1981-12-01,90.2
1982-01-01,97
1982-02-01,103.2
1982-03-01,104.4
1982-04-01,103.9
1982-05-01,105.2
1982-06-01,109.5
1982-07-01,103.6
1982-08-01,97.6
1982-09-01,97
1982-10-01,95.4
1982-11-01,91.9
1982-12-01,92.1
1983-01-01,93.7
1983-02-01,107.2
1983-03-01,95.6
1983-04-01,95.7
1983-05-01,101.6
1983-06-01,105.4
1983-07-01,103.3
1983-08-01,107.7
1983-09-01,117.7
1983-10-01,111.2
1983-11-01,121.7
1983-12-01,128.3
1984-01-01,133.9
1984-02-01,136.9
1984-03-01,139.2
1984-04-01,135.4
1984-05-01,129.4
1984-06-01,118.6
1984-07-01,123.5
1984-08-01,108.6
1984-09-01,116.7
1984-10-01,115
1984-11-01,126.3
1984-12-01,124.4
1985-01-01,122.9
1985-02-01,122.5
1985-03-01,117
1985-04-01,113.9
1985-05-01,114.9
1985-06-01,118.6
1985-07-01,108.9
1985-08-01,106.2
1985-09-01,117
1985-10-01,118.5
1985-11-01,128.4
1985-12-01,125.5
1986-01-01,114.6
1986-02-01,111.7
1986-03-01,114.8
