"Date","PPITAW"
2009-11-01,100
2009-12-01,100
2010-01-01,101.3
2010-02-01,101.5
2010-03-01,102.5
2010-04-01,103.1
2010-05-01,103.1
2010-06-01,104
2010-07-01,104.4
2010-08-01,103.8
2010-09-01,102.4
2010-10-01,103.5
2010-11-01,104.2
2010-12-01,104.3
2011-01-01,106.1
2011-02-01,107.2
2011-03-01,109.5
2011-04-01,110.2
2011-05-01,110.8
2011-06-01,110.8
2011-07-01,110.7
2011-08-01,111.2
2011-09-01,110.3
2011-10-01,110.9
2011-11-01,111.1
2011-12-01,111.3
2012-01-01,112.3
2012-02-01,113.2
2012-03-01,114.5
2012-04-01,115
2012-05-01,114.7
2012-06-01,114.9
2012-07-01,114.2
2012-08-01,114.6
2012-09-01,113.5
2012-10-01,114.6
2012-11-01,114.3
2012-12-01,114.3
2013-01-01,114.9
2013-02-01,115
2013-03-01,116
2013-04-01,115
2013-05-01,114.4
2013-06-01,115.7
2013-07-01,116
2013-08-01,116.2
2013-09-01,114.4
2013-10-01,115.3
2013-11-01,114.6
2013-12-01,116.6
2014-01-01,116.1
2014-02-01,115.8
2014-03-01,117.4
2014-04-01,118.1
2014-05-01,118.1
2014-06-01,119
2014-07-01,119
2014-08-01,119.3
2014-09-01,117.4
2014-10-01,117.4
2014-11-01,117.2
2014-12-01,117.5
2015-01-01,116.8
2015-02-01,115.8
2015-03-01,116.4
2015-04-01,115.9
2015-05-01,115.7
2015-06-01,116.5
2015-07-01,116.4
2015-08-01,115.3
2015-09-01,113.7
2015-10-01,114
2015-11-01,114
2015-12-01,113.4
2016-01-01,114.1
2016-02-01,113.5
2016-03-01,114.2
2016-04-01,113.7
2016-05-01,112.8
2016-06-01,113.6
2016-07-01,114.2
2016-08-01,113.7
2016-09-01,111.7
2016-10-01,113
2016-11-01,113.5
2016-12-01,114.7
2017-01-01,115.2
2017-02-01,115.4
2017-03-01,114.9
2017-04-01,115.6
2017-05-01,115
2017-06-01,116.1
2017-07-01,115.7
2017-08-01,115.6
2017-09-01,115.6
2017-10-01,116.9
2017-11-01,117.9
2017-12-01,117.3
2018-01-01,117.9
2018-02-01,119
2018-03-01,120.5
2018-04-01,120.8
2018-05-01,120.7
2018-06-01,122.6
2018-07-01,122.9
2018-08-01,122.3
2018-09-01,122.7
2018-10-01,124.6
2018-11-01,125.4
2018-12-01,124.9
2019-01-01,125.5
2019-02-01,124.3
2019-03-01,124.8
2019-04-01,125.5
2019-05-01,125.4
2019-06-01,126.4
2019-07-01,126.5
2019-08-01,125.3
2019-09-01,124.1
2019-10-01,125.7
2019-11-01,125.5
2019-12-01,127.6
2020-01-01,126.4
2020-02-01,125.6
2020-03-01,122.5
2020-04-01,118.3
2020-05-01,119.3
2020-06-01,121.5
2020-07-01,120.5
2020-08-01,118.8
2020-09-01,118.9
2020-10-01,121.4
2020-11-01,120.7
2020-12-01,120.1
2021-01-01,121.2
2021-02-01,122
2021-03-01,124.4
2021-04-01,128.9
2021-05-01,128.6
2021-06-01,131.2
2021-07-01,134.223
2021-08-01,134.486
2021-09-01,132.279
2021-10-01,134.677
2021-11-01,138.271
2021-12-01,140.526
2022-01-01,140.423
2022-02-01,142.485
2022-03-01,151.469
2022-04-01,155.491
2022-05-01,158.723
2022-06-01,161.181
2022-07-01,159.817
2022-08-01,157.092
2022-09-01,155.882
2022-10-01,157.497
2022-11-01,156.065
2022-12-01,155.747
2023-01-01,155.159
2023-02-01,153.561
2023-03-01,153.319
2023-04-01,150.537
2023-05-01,149.11
2023-06-01,150.125
2023-07-01,149.717
2023-08-01,148.73
2023-09-01,148.153
2023-10-01,151.247
2023-11-01,149.827
