"Date","IMPMANAZ"
2008-01-01,931.8
2008-02-01,996.8
2008-03-01,989.7
2008-04-01,1064
2008-05-01,947.1
2008-06-01,1001.9
2008-07-01,1027.1
2008-08-01,1026.8
2008-09-01,948.3
2008-10-01,990.9
2008-11-01,845.5
2008-12-01,850.6
2009-01-01,666.6
2009-02-01,669.1
2009-03-01,669.5
2009-04-01,798.4
2009-05-01,610.7
2009-06-01,731.8
2009-07-01,790
2009-08-01,693.8
2009-09-01,736.5
2009-10-01,910.5
2009-11-01,856
2009-12-01,843.9
2010-01-01,844.5
2010-02-01,828
2010-03-01,996.8
2010-04-01,901
2010-05-01,885.7
2010-06-01,1059.3
2010-07-01,990
2010-08-01,959.2
2010-09-01,1292.1
2010-10-01,1010.3
2010-11-01,1015.7
2010-12-01,1060.2
2011-01-01,1054.2
2011-02-01,1119.3
2011-03-01,1101.7
2011-04-01,1131.9
2011-05-01,1042.6
2011-06-01,1192.4
2011-07-01,1155.1
2011-08-01,1147
2011-09-01,1181.4
2011-10-01,1154.1
2011-11-01,1277
2011-12-01,1257.1
2012-01-01,1408.4
2012-02-01,1220.8
2012-03-01,1349.3
2012-04-01,1089.6
2012-05-01,1253.4
2012-06-01,1143.8
2012-07-01,1112.8
2012-08-01,1201.6
2012-09-01,1154.5
2012-10-01,1237.3
2012-11-01,1318.6
2012-12-01,1067.4
2013-01-01,1358.806724
2013-02-01,1190.417133
2013-03-01,1221.361606
2013-04-01,1317.115682
2013-05-01,1305.944064
2013-06-01,1198.52685
2013-07-01,1274.911461
2013-08-01,1149.454277
2013-09-01,1162.635151
2013-10-01,1255.510877
2013-11-01,1255.782193
2013-12-01,1148.298438
2014-01-01,1249.530359
2014-02-01,1130.735779
2014-03-01,1379.279173
2014-04-01,1462.391204
2014-05-01,1299.29369
2014-06-01,1224.329316
2014-07-01,1397.726045
2014-08-01,1274.909281
2014-09-01,1362.933745
2014-10-01,1303.792976
2014-11-01,1273.9379
2014-12-01,1263.385885
2015-01-01,1168.541616
2015-02-01,1132.977929
2015-03-01,1287.054388
2015-04-01,1380.354136
2015-05-01,1232.802679
2015-06-01,1411.784444
2015-07-01,1217.914426
2015-08-01,1271.003509
2015-09-01,1319.534934
2015-10-01,1339.238978
2015-11-01,1259.17424
2015-12-01,1519.334288
2016-01-01,1182.057829
2016-02-01,1172.157221
2016-03-01,1287.49253
2016-04-01,1204.139509
2016-05-01,1237.584692
2016-06-01,1206.265453
2016-07-01,1204.004055
2016-08-01,1295.997037
2016-09-01,1311.963721
2016-10-01,1223.041047
2016-11-01,1212.099409
2016-12-01,1200.907068
2017-01-01,1493.109976
2017-02-01,1167.602829
2017-03-01,1176.139934
2017-04-01,1129.615076
2017-05-01,1337.250126
2017-06-01,1481.902634
2017-07-01,1327.444728
2017-08-01,1437.018644
2017-09-01,1338.192152
2017-10-01,1388.833947
2017-11-01,1385.192379
2017-12-01,1325.162688
2018-01-01,1442.789808
2018-02-01,1221.61316
2018-03-01,1450.338294
2018-04-01,1540.698823
2018-05-01,1433.430266
2018-06-01,1411.896781
2018-07-01,1399.580599
2018-08-01,1472.425725
2018-09-01,1371.501868
2018-10-01,1490.069244
2018-11-01,1556.689279
2018-12-01,1348.970711
2019-01-01,1419.420221
2019-02-01,1284.651575
2019-03-01,1355.334947
2019-04-01,1483.127414
2019-05-01,1579.634333
2019-06-01,1719.479965
2019-07-01,1745.41377
2019-08-01,2070.466877
2019-09-01,1872.410372
2019-10-01,1669.299641
2019-11-01,1725.120723
2019-12-01,1676.942162
2020-01-01,1779.287449
2020-02-01,1529.58057
2020-03-01,1554.05661
2020-04-01,1374.991077
2020-05-01,1562.717976
2020-06-01,1449.769047
2020-07-01,1567.409857
2020-08-01,1738.54397
2020-09-01,1611.154389
2020-10-01,1966.819392
2020-11-01,1603.410245
2020-12-01,1803.839711
2021-01-01,1464.917898
2021-02-01,1635.317459
2021-03-01,1769.535946
2021-04-01,1725.425682
2021-05-01,1722.253372
2021-06-01,1888.71087
2021-07-01,1769.824636
2021-08-01,1847.286395
2021-09-01,1958.328814
2021-10-01,2056.609778
2021-11-01,2082.798992
2021-12-01,1877.287721
2022-01-01,2149.431522
2022-02-01,2072.025008
2022-03-01,2325.471104
2022-04-01,2167.355837
2022-05-01,2187.751469
2022-06-01,2222.911649
2022-07-01,2182.755658
2022-08-01,2259.277447
2022-09-01,2302.621429
2022-10-01,2223.033909
2022-11-01,2121.074852
2022-12-01,2196.836122
2023-01-01,2221.350086
2023-02-01,1982.239969
2023-03-01,2435.014511
2023-04-01,2652.735802
2023-05-01,2637.621869
2023-06-01,2268.661334
2023-07-01,2090.590906
2023-08-01,2393.186139
2023-09-01,2355.887825
2023-10-01,2213.114224
