"Date","WPS554101"
2009-04-01,99.9
2009-05-01,100
2009-06-01,100
2009-07-01,99.9
2009-08-01,100
2009-09-01,99.8
2009-10-01,100.4
2009-11-01,101.1
2009-12-01,100.7
2010-01-01,101.6
2010-02-01,101.9
2010-03-01,102.4
2010-04-01,102.8
2010-05-01,102.8
2010-06-01,103.1
2010-07-01,103
2010-08-01,103.1
2010-09-01,104.6
2010-10-01,105.6
2010-11-01,105.6
2010-12-01,105.7
2011-01-01,106
2011-02-01,105.9
2011-03-01,106.3
2011-04-01,106.2
2011-05-01,106.3
2011-06-01,106.3
2011-07-01,106.5
2011-08-01,106.6
2011-09-01,106.6
2011-10-01,106.7
2011-11-01,106.7
2011-12-01,107.1
2012-01-01,106.8
2012-02-01,107.4
2012-03-01,107
2012-04-01,107
2012-05-01,107.3
2012-06-01,107.7
2012-07-01,107.7
2012-08-01,107.7
2012-09-01,107.8
2012-10-01,107.9
2012-11-01,108
2012-12-01,108.3
2013-01-01,108.2
2013-02-01,108.4
2013-03-01,108.8
2013-04-01,109.2
2013-05-01,109.5
2013-06-01,109.5
2013-07-01,109.5
2013-08-01,109.6
2013-09-01,109.7
2013-10-01,110.1
2013-11-01,110.2
2013-12-01,110.4
2014-01-01,109.5
2014-02-01,109.3
2014-03-01,109.6
2014-04-01,110.1
2014-05-01,110.2
2014-06-01,110.3
2014-07-01,110.3
2014-08-01,110.7
2014-09-01,110.9
2014-10-01,110.9
2014-11-01,111.3
2014-12-01,111.7
2015-01-01,112.2
2015-02-01,112.6
2015-03-01,113.1
2015-04-01,111.9
2015-05-01,112.8
2015-06-01,113.2
2015-07-01,113.9
2015-08-01,114
2015-09-01,114.4
2015-10-01,114.6
2015-11-01,114.8
2015-12-01,115.1
2016-01-01,115.7
2016-02-01,115.3
2016-03-01,115.6
2016-04-01,115.7
2016-05-01,116.1
2016-06-01,116.3
2016-07-01,116.4
2016-08-01,116.5
2016-09-01,116.6
2016-10-01,116.9
2016-11-01,117.1
2016-12-01,117.4
2017-01-01,117.1
2017-02-01,118
2017-03-01,118.5
2017-04-01,119.4
2017-05-01,119.5
2017-06-01,119.7
2017-07-01,120.2
2017-08-01,120.2
2017-09-01,120.3
2017-10-01,120.8
2017-11-01,121
2017-12-01,121.3
2018-01-01,121.8
2018-02-01,121.9
2018-03-01,122.3
2018-04-01,122.6
2018-05-01,122.8
2018-06-01,123.4
2018-07-01,123
2018-08-01,123.1
2018-09-01,123.8
2018-10-01,124.2
2018-11-01,124.6
2018-12-01,124.7
2019-01-01,124.9
2019-02-01,125.3
2019-03-01,125.3
2019-04-01,125.6
2019-05-01,125.8
2019-06-01,126.1
2019-07-01,126.2
2019-08-01,126.5
2019-09-01,126.7
2019-10-01,126.8
2019-11-01,126.6
2019-12-01,127.2
2020-01-01,127.6
2020-02-01,128.2
2020-03-01,128.6
2020-04-01,126.8
2020-05-01,126.6
2020-06-01,127
2020-07-01,127.2
2020-08-01,127.4
2020-09-01,127.7
2020-10-01,128
2020-11-01,128.3
2020-12-01,128.4
2021-01-01,127.6
2021-02-01,128.8
2021-03-01,129.2
2021-04-01,129.1
2021-05-01,129.5
2021-06-01,129.7
2021-07-01,132.784
2021-08-01,132.903
2021-09-01,133.728
2021-10-01,133.974
2021-11-01,134.527
2021-12-01,134.664
2022-01-01,135.054
2022-02-01,135.071
2022-03-01,135.49
2022-04-01,135.822
2022-05-01,136.167
2022-06-01,136.459
2022-07-01,136.903
2022-08-01,137.264
2022-09-01,137.221
2022-10-01,137.489
2022-11-01,137.803
2022-12-01,138.598
2023-01-01,137.891
2023-02-01,140.422
2023-03-01,141.396
2023-04-01,141.908
2023-05-01,142.259
2023-06-01,142.564
2023-07-01,143.246
2023-08-01,143.696
2023-09-01,148.797
2023-10-01,149.363
2023-11-01,149.627
