"Date","M0448CUSM350NNBR"
1913-01-01,38.5
1913-02-01,38.2
1913-03-01,38.2
1913-04-01,38.1
1913-05-01,37.7
1913-06-01,37.7
1913-07-01,38.1
1913-08-01,38.1
1913-09-01,38.6
1913-10-01,38.6
1913-11-01,38.4
1913-12-01,37.8
1914-01-01,37.6
1914-02-01,37.4
1914-03-01,37.2
1914-04-01,37
1914-05-01,36.9
1914-06-01,36.9
1914-07-01,36.8
1914-08-01,38.1
1914-09-01,38.4
1914-10-01,37.2
1914-11-01,37
1914-12-01,36.8
1915-01-01,37.3
1915-02-01,37.6
1915-03-01,37.3
1915-04-01,37.6
1915-05-01,37.7
1915-06-01,37.4
1915-07-01,37.9
1915-08-01,37.6
1915-09-01,37.4
1915-10-01,38.4
1915-11-01,39.2
1915-12-01,40.5
1916-01-01,42.1
1916-02-01,42.9
1916-03-01,44
1916-04-01,44.7
1916-05-01,45.1
1916-06-01,45.4
1916-07-01,45.6
1916-08-01,46.6
1916-09-01,47.6
1916-10-01,49.8
1916-11-01,53.3
1916-12-01,54.3
1917-01-01,55.9
1917-02-01,57.2
1917-03-01,58.9
1917-04-01,62.5
1917-05-01,66
1917-06-01,66.8
1917-07-01,67.3
1917-08-01,68.3
1917-09-01,67.6
1917-10-01,66.9
1917-11-01,67.2
1917-12-01,67.3
1918-01-01,68.4
1918-02-01,67.1
1918-03-01,69.1
1918-04-01,70.2
1918-05-01,70.1
1918-06-01,70.6
1918-07-01,72.2
1918-08-01,73.5
1918-09-01,75.3
1918-10-01,74.6
1918-11-01,74.6
1918-12-01,74.6
1919-01-01,73.5
1919-02-01,71.1
1919-03-01,71.8
1919-04-01,72.8
1919-05-01,74
1919-06-01,74.2
1919-07-01,77.2
1919-08-01,79
1919-09-01,77.2
1919-10-01,77.5
1919-11-01,79.1
1919-12-01,82.4
1920-01-01,86.3
1920-02-01,86
1920-03-01,86.8
1920-04-01,90.6
1920-05-01,91.5
1920-06-01,91.1
1920-07-01,90.8
1920-08-01,88.3
1920-09-01,85
1920-10-01,78.9
1920-11-01,73
1920-12-01,66
1921-01-01,62.4
1921-02-01,57.4
1921-03-01,56.1
1921-04-01,54.1
1921-05-01,52.6
1921-06-01,51.1
1921-07-01,51.1
1921-08-01,51.2
1921-09-01,51.1
1921-10-01,51.5
1921-11-01,51.5
1921-12-01,50.9
1922-01-01,50
1922-02-01,50.9
1922-03-01,50.8
1922-04-01,51
1922-05-01,52.6
1922-06-01,52.7
1922-07-01,54.4
1922-08-01,54
1922-09-01,54.3
1922-10-01,54.5
1922-11-01,55
1922-12-01,55.1
1923-01-01,55.8
1923-02-01,56.5
1923-03-01,57.2
1923-04-01,56.8
1923-05-01,55.7
1923-06-01,54.9
1923-07-01,53.9
1923-08-01,53.6
1923-09-01,54.6
1923-10-01,54.4
1923-11-01,53.9
1923-12-01,53.7
1924-01-01,54.5
1924-02-01,54.6
1924-03-01,53.9
1924-04-01,53.2
1924-05-01,52.5
1924-06-01,52
1924-07-01,52.3
1924-08-01,53
1924-09-01,53.1
1924-10-01,53.7
1924-11-01,54.2
1924-12-01,55.6
1925-01-01,56.3
1925-02-01,56.9
1925-03-01,57
1925-04-01,55.7
1925-05-01,55.6
1925-06-01,56.3
1925-07-01,57.1
1925-08-01,56.8
