"Date","WPUIP2311101"
2014-12-01,100
2015-01-01,98.3
2015-02-01,98.7
2015-03-01,99.3
2015-04-01,99.2
2015-05-01,100.3
2015-06-01,100.5
2015-07-01,100.3
2015-08-01,99.4
2015-09-01,98
2015-10-01,97.8
2015-11-01,97.4
2015-12-01,96.4
2016-01-01,96
2016-02-01,95.3
2016-03-01,95.9
2016-04-01,96.7
2016-05-01,97.5
2016-06-01,98.3
2016-07-01,98.2
2016-08-01,98.1
2016-09-01,98.2
2016-10-01,98.3
2016-11-01,97.9
2016-12-01,98.2
2017-01-01,99.4
2017-02-01,100
2017-03-01,100.2
2017-04-01,100.9
2017-05-01,100.9
2017-06-01,101
2017-07-01,101
2017-08-01,101.8
2017-09-01,102.6
2017-10-01,102.9
2017-11-01,103.4
2017-12-01,103.3
2018-01-01,104.5
2018-02-01,105.6
2018-03-01,106.4
2018-04-01,107.2
2018-05-01,109.3
2018-06-01,110.3
2018-07-01,110.1
2018-08-01,109.5
2018-09-01,109.6
2018-10-01,109.9
2018-11-01,108.1
2018-12-01,106
2019-01-01,105.3
2019-02-01,106.3
2019-03-01,107.7
2019-04-01,108.8
2019-05-01,109
2019-06-01,107.7
2019-07-01,108.3
2019-08-01,107.4
2019-09-01,107.1
2019-10-01,107.1
2019-11-01,106.9
2019-12-01,106.8
2020-01-01,107.3
2020-02-01,107
2020-03-01,105.7
2020-04-01,100.9
2020-05-01,101.7
2020-06-01,104.3
2020-07-01,106.6
2020-08-01,108.8
2020-09-01,110.7
2020-10-01,110.5
2020-11-01,109.6
2020-12-01,111.4
2021-01-01,114.5
2021-02-01,116.9
2021-03-01,120.3
2021-04-01,122.8
2021-05-01,127.7
2021-06-01,131
2021-07-01,130.241
2021-08-01,127.595
2021-09-01,127.552
2021-10-01,129.567
2021-11-01,131.622
2021-12-01,133.487
2022-01-01,139.425
2022-02-01,143.514
2022-03-01,148.137
2022-04-01,147.893
2022-05-01,149.54
2022-06-01,150.132
2022-07-01,148.421
2022-08-01,147.925
2022-09-01,147.429
2022-10-01,147.694
2022-11-01,146.405
2022-12-01,143.503
2023-01-01,145.501
2023-02-01,145.959
2023-03-01,145.993
2023-04-01,145.744
2023-05-01,145.253
2023-06-01,145.1
2023-07-01,145.456
2023-08-01,147.162
2023-09-01,147.547
2023-10-01,145.793
2023-11-01,145.512
