"Date","EXPTOTTX"
1995-08-01,5160.9
1995-09-01,4990.8
1995-10-01,5366.5
1995-11-01,4829.8
1995-12-01,5018.9
1996-01-01,5377.1
1996-02-01,5418.1
1996-03-01,5641
1996-04-01,5608.4
1996-05-01,5595.4
1996-06-01,5226.3
1996-07-01,5260
1996-08-01,5770.3
1996-09-01,5438.1
1996-10-01,6242.2
1996-11-01,5722.9
1996-12-01,5561.8
1997-01-01,5530.4
1997-02-01,5844.5
1997-03-01,6387.3
1997-04-01,6267.4
1997-05-01,5994.7
1997-06-01,6178.9
1997-07-01,6262.5
1997-08-01,6481.6
1997-09-01,6654.4
1997-10-01,7069.2
1997-11-01,6919.1
1997-12-01,6594.1
1998-01-01,6522.8
1998-02-01,6462.9
1998-03-01,7214
1998-04-01,6734.7
1998-05-01,6679.4
1998-06-01,6395
1998-07-01,5986.1
1998-08-01,6294
1998-09-01,6497.9
1998-10-01,6935.4
1998-11-01,6728.2
1998-12-01,6425.1
1999-01-01,6025.5
1999-02-01,6057.8
1999-03-01,6661
1999-04-01,6502.3
1999-05-01,6774.8
1999-06-01,6748.4
1999-07-01,6397.1
1999-08-01,6880.9
1999-09-01,7263.5
1999-10-01,7938.2
1999-11-01,7551.2
1999-12-01,8377
2000-01-01,7512.4
2000-02-01,7545.2
2000-03-01,9068.8
2000-04-01,8127.5
2000-05-01,8310.5
2000-06-01,8844.3
2000-07-01,8127.8
2000-08-01,9461
2000-09-01,9251.7
2000-10-01,9927.5
2000-11-01,9253.7
2000-12-01,8435.3
2001-01-01,8647.7
2001-02-01,8234.3
2001-03-01,8938.5
2001-04-01,8045.4
2001-05-01,8215.3
2001-06-01,7684
2001-07-01,7153.8
2001-08-01,8015.4
2001-09-01,7103.3
2001-10-01,8200.3
2001-11-01,7568.9
2001-12-01,7188.2
2002-01-01,7168.9
2002-02-01,7178.9
2002-03-01,7576.2
2002-04-01,8122.5
2002-05-01,8270.4
2002-06-01,7997.1
2002-07-01,7924.5
2002-08-01,8084.2
2002-09-01,8319
2002-10-01,8724.9
2002-11-01,8453.5
2002-12-01,7576.1
2003-01-01,7959
2003-02-01,7450.4
2003-03-01,8758.1
2003-04-01,8029.9
2003-05-01,7831.7
2003-06-01,7873.1
2003-07-01,8027.2
2003-08-01,8249.6
2003-09-01,8582.5
2003-10-01,9129.7
2003-11-01,8455.9
2003-12-01,8499
2004-01-01,8749.6
2004-02-01,8745.6
2004-03-01,10327.5
2004-04-01,9625.2
2004-05-01,9858.2
2004-06-01,9837.4
2004-07-01,9210.9
2004-08-01,9703.3
2004-09-01,10444.5
2004-10-01,10542
2004-11-01,9979.8
2004-12-01,10114.5
2005-01-01,9823
2005-02-01,9906
2005-03-01,10854.8
2005-04-01,11013.3
2005-05-01,10753.6
2005-06-01,10872.8
2005-07-01,10155.3
2005-08-01,11570.6
2005-09-01,10333.8
2005-10-01,11188.9
2005-11-01,11041.9
2005-12-01,11247.1
2006-01-01,11410.9
2006-02-01,10842.5
2006-03-01,12573
2006-04-01,12000.4
2006-05-01,12474.1
2006-06-01,12668.8
2006-07-01,12484.8
2006-08-01,13525.4
