"Date","WPU072A01015"
2011-12-01,100
2012-01-01,100
2012-02-01,99.6
2012-03-01,103.7
2012-04-01,106.3
2012-05-01,105.1
2012-06-01,106.4
2012-07-01,106.1
2012-08-01,105.5
2012-09-01,105.5
2012-10-01,105.5
2012-11-01,105.5
2012-12-01,NA
2013-01-01,NA
2013-02-01,NA
2013-03-01,105.5
2013-04-01,105.5
2013-05-01,107.6
2013-06-01,106.2
2013-07-01,106.2
2013-08-01,107.9
2013-09-01,107.9
2013-10-01,107.9
2013-11-01,107.9
2013-12-01,107.9
2014-01-01,103.9
2014-02-01,103.9
2014-03-01,105.9
2014-04-01,105.9
2014-05-01,105.9
2014-06-01,105.9
2014-07-01,104.1
2014-08-01,105.9
2014-09-01,105.9
2014-10-01,108.6
2014-11-01,112.2
2014-12-01,112.2
2015-01-01,112.2
2015-02-01,110.6
2015-03-01,110.6
2015-04-01,109.2
2015-05-01,110.6
2015-06-01,110.6
2015-07-01,110.6
2015-08-01,110.6
2015-09-01,110.6
2015-10-01,110.6
2015-11-01,110.6
2015-12-01,110.6
2016-01-01,110.6
2016-02-01,110.6
2016-03-01,110.6
2016-04-01,110.6
2016-05-01,110.6
2016-06-01,110.6
2016-07-01,110.6
2016-08-01,110.6
2016-09-01,110.6
2016-10-01,110.6
2016-11-01,110.6
2016-12-01,110.6
2017-01-01,113.5
2017-02-01,113.5
2017-03-01,117.1
2017-04-01,117.1
2017-05-01,126.5
2017-06-01,126.5
2017-07-01,126.5
2017-08-01,126.5
2017-09-01,126.5
2017-10-01,126.5
2017-11-01,126.5
2017-12-01,126.5
2018-01-01,126.5
2018-02-01,130.7
2018-03-01,135.1
2018-04-01,135.1
2018-05-01,135.1
2018-06-01,NA
2018-07-01,NA
2018-08-01,NA
2018-09-01,NA
2018-10-01,NA
2018-11-01,NA
2018-12-01,135.4
2019-01-01,135.4
2019-02-01,134.3
2019-03-01,134.5
2019-04-01,134.5
2019-05-01,135.4
2019-06-01,134.6
2019-07-01,134.9
2019-08-01,135
2019-09-01,135
2019-10-01,136.1
2019-11-01,135
2019-12-01,136
2020-01-01,136
2020-02-01,136.8
2020-03-01,134.8
2020-04-01,135.1
2020-05-01,134.9
2020-06-01,134.9
2020-07-01,135.6
2020-08-01,135.6
2020-09-01,134.9
2020-10-01,134.9
2020-11-01,134.7
2020-12-01,134.6
2021-01-01,146.9
2021-02-01,146.1
2021-03-01,150.6
2021-04-01,152.3
2021-05-01,165.7
2021-06-01,178.1
2021-07-01,179.457
2021-08-01,186.451
2021-09-01,187.365
2021-10-01,197.185
2021-11-01,215.693
2021-12-01,228.106
2022-01-01,240.989
2022-02-01,240.755
2022-03-01,240.892
2022-04-01,241.014
2022-05-01,252.408
2022-06-01,254.407
2022-07-01,260.918
2022-08-01,258.093
2022-09-01,267.865
2022-10-01,247.63
2022-11-01,251.256
2022-12-01,240.941
2023-01-01,238.615
2023-02-01,238.328
2023-03-01,235.528
2023-04-01,234.965
2023-05-01,230.29
2023-06-01,231.026
2023-07-01,230.314
2023-08-01,229.461
2023-09-01,229.461
2023-10-01,230.08
2023-11-01,231.705
