"Date","WPU152402084"
2011-12-01,100
2012-01-01,100
2012-02-01,100
2012-03-01,100.1
2012-04-01,100.1
2012-05-01,99.2
2012-06-01,99.5
2012-07-01,99.5
2012-08-01,100.1
2012-09-01,100.1
2012-10-01,100.7
2012-11-01,100.7
2012-12-01,123.8
2013-01-01,123.8
2013-02-01,123.8
2013-03-01,123.8
2013-04-01,123.8
2013-05-01,124.2
2013-06-01,124.2
2013-07-01,124.7
2013-08-01,123.9
2013-09-01,123.9
2013-10-01,123.9
2013-11-01,123.8
2013-12-01,123.8
2014-01-01,123.9
2014-02-01,123.9
2014-03-01,123.9
2014-04-01,124.2
2014-05-01,124.2
2014-06-01,124.5
2014-07-01,124.5
2014-08-01,124.5
2014-09-01,124.5
2014-10-01,124.5
2014-11-01,124
2014-12-01,124
2015-01-01,124.1
2015-02-01,124.1
2015-03-01,124.1
2015-04-01,122.8
2015-05-01,122.8
2015-06-01,122.8
2015-07-01,122.8
2015-08-01,122.8
2015-09-01,112
2015-10-01,113.5
2015-11-01,113.2
2015-12-01,113.2
2016-01-01,113.3
2016-02-01,113.3
2016-03-01,99.5
2016-04-01,99.5
2016-05-01,99.5
2016-06-01,99.5
2016-07-01,99.5
2016-08-01,99.5
2016-09-01,98.6
2016-10-01,98.6
2016-11-01,98.6
2016-12-01,98.6
2017-01-01,98.8
2017-02-01,98.8
2017-03-01,98.8
2017-04-01,98.8
2017-05-01,98.8
2017-06-01,98.8
2017-07-01,98.8
2017-08-01,99
2017-09-01,99
2017-10-01,99
2017-11-01,99
2017-12-01,99
2018-01-01,99.1
2018-02-01,99.1
2018-03-01,99.1
2018-04-01,99.1
2018-05-01,99.1
2018-06-01,99.1
2018-07-01,99.2
2018-08-01,99.2
2018-09-01,99.2
2018-10-01,99.2
2018-11-01,99.2
2018-12-01,99.2
2019-01-01,99.3
2019-02-01,99.3
2019-03-01,99.3
2019-04-01,99.3
2019-05-01,99.3
2019-06-01,99.3
2019-07-01,99.3
2019-08-01,99.3
2019-09-01,99.3
2019-10-01,99.3
2019-11-01,99.3
2019-12-01,99.3
2020-01-01,99.4
2020-02-01,99.4
2020-03-01,99.4
2020-04-01,99.4
2020-05-01,99.4
2020-06-01,99.4
2020-07-01,99.4
2020-08-01,99.4
2020-09-01,99.4
2020-10-01,99.4
2020-11-01,99.4
2020-12-01,99.4
2021-01-01,99.6
2021-02-01,99.6
2021-03-01,99.6
2021-04-01,99.6
2021-05-01,99.6
2021-06-01,99.6
2021-07-01,99.575
2021-08-01,99.668
2021-09-01,99.668
2021-10-01,99.668
2021-11-01,99.668
2021-12-01,99.668
2022-01-01,99.889
2022-02-01,99.889
2022-03-01,99.889
2022-04-01,99.889
2022-05-01,99.889
2022-06-01,99.889
2022-07-01,99.889
2022-08-01,99.846
2022-09-01,99.846
2022-10-01,101.681
2022-11-01,101.681
2022-12-01,101.681
2023-01-01,102.062
2023-02-01,102.062
2023-03-01,102.062
2023-04-01,102.062
2023-05-01,102.062
2023-06-01,102.062
2023-07-01,102.062
2023-08-01,101.885
2023-09-01,101.885
2023-10-01,101.885
2023-11-01,101.885
