"Date","WPSFD413121"
1975-01-01,54.6
1975-02-01,55.1
1975-03-01,55.7
1975-04-01,55.9
1975-05-01,56.1
1975-06-01,56.4
1975-07-01,56.8
1975-08-01,57
1975-09-01,57.2
1975-10-01,57.6
1975-11-01,58
1975-12-01,58.3
1976-01-01,58.7
1976-02-01,59
1976-03-01,59.3
1976-04-01,59.5
1976-05-01,59.8
1976-06-01,60.1
1976-07-01,60.4
1976-08-01,60.7
1976-09-01,61.2
1976-10-01,61.3
1976-11-01,61.5
1976-12-01,62
1977-01-01,62.3
1977-02-01,62.6
1977-03-01,63
1977-04-01,63.2
1977-05-01,63.7
1977-06-01,64.1
1977-07-01,64.5
1977-08-01,65.1
1977-09-01,65.5
1977-10-01,66.2
1977-11-01,66.6
1977-12-01,67
1978-01-01,67.4
1978-02-01,67.8
1978-03-01,68.3
1978-04-01,68.6
1978-05-01,69
1978-06-01,69.8
1978-07-01,70.2
1978-08-01,70.8
1978-09-01,71.5
1978-10-01,71.8
1978-11-01,72.7
1978-12-01,73.2
1979-01-01,73.9
1979-02-01,74.4
1979-03-01,75
1979-04-01,75.7
1979-05-01,76.3
1979-06-01,76.7
1979-07-01,77.5
1979-08-01,77.9
1979-09-01,78.6
1979-10-01,79.2
1979-11-01,79.9
1979-12-01,80.5
1980-01-01,81.6
1980-02-01,82.4
1980-03-01,83.2
1980-04-01,84.8
1980-05-01,85
1980-06-01,85.6
1980-07-01,86.4
1980-08-01,87.1
1980-09-01,88
1980-10-01,88.8
1980-11-01,89.6
1980-12-01,90.1
1981-01-01,91.1
1981-02-01,92.1
1981-03-01,92.8
1981-04-01,93.4
1981-05-01,94.1
1981-06-01,94.7
1981-07-01,95.4
1981-08-01,95.9
1981-09-01,96.5
1981-10-01,97
1981-11-01,97.4
1981-12-01,98.1
1982-01-01,98.8
1982-02-01,98.7
1982-03-01,99
1982-04-01,99.2
1982-05-01,99.5
1982-06-01,99.9
1982-07-01,100.4
1982-08-01,100.6
1982-09-01,100.8
1982-10-01,100.7
1982-11-01,101.1
1982-12-01,101.4
1983-01-01,101.4
1983-02-01,101.7
1983-03-01,101.8
1983-04-01,101.9
1983-05-01,102
1983-06-01,102.2
1983-07-01,102.3
1983-08-01,102.6
1983-09-01,102.7
1983-10-01,102.9
1983-11-01,103.1
1983-12-01,103.3
1984-01-01,103.5
1984-02-01,103.7
1984-03-01,103.9
1984-04-01,104.4
1984-05-01,104.6
1984-06-01,104.9
1984-07-01,105.2
1984-08-01,105.5
1984-09-01,105.5
1984-10-01,105.6
